seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-552.6753151496324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009336628982375738,0.3482935764685742,-0.041472461210844955,0.4308622849853849,0.04262485903731033,0.15093688752725587,0.6811907059133413,0.6721451466067981,0.8460025119549905,0.8837330449374002,0.7030978512483811,0.6054110300899692,0.5688466934356821,0.7592732810978635,0.8736697451323487,0.9745237268088025,1.0,0.7175944582173427
1,-552.6753151496324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0373519316407283,0.21597866634535137,-0.037442620427657114,0.24923987675948597,0.03481686371199291,0.13874878577788316,0.6721670246332335,0.7135391464458144,0.8910761346970748,0.9182009820569238,0.7069584093720135,0.6406131833691086,0.5605446660748377,0.7254057204070034,0.8140029961016841,1.0,0.9168411976911597,0.7528209872398451
2,-552.6753151496324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04702405732537286,0.17228704519197288,-0.05012390014293197,0.19144888304620633,0.05789436982027631,0.12107283909158895,0.8426848122803707,0.8948167440311687,0.930524766854407,1.0,0.8739499677649616,0.8182809063970308,0.7729451444599431,0.928003878423159,0.7942819507603165,0.7094915950382988,0.8959573877766721,0.7111738299297413
3,-552.6753151496324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030302348775212058,0.1412640337359877,-0.06823347430494389,0.13672658163845483,0.0631403607059913,0.07689244637259915,0.8979612709606271,0.9160890538919871,1.0,0.950193515022854,0.830536572636954,0.869139817322664,0.8146483495891242,0.9999360696400873,0.780634310087804,0.7970133659687872,0.8895327009955409,0.8767905535111524
4,-552.6753151496324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034455477601828474,0.09252267484611744,-0.1027183798781173,0.11154783927272689,0.04486633314449618,0.05227755188105454,0.8932841760144941,0.7242221556778407,0.9193700536679503,0.9903774308123722,0.7990441100964795,0.8791016071453689,0.9316660039086664,0.787023983792105,0.7518955984853036,0.782649595580267,0.9221905730294498,1.0
5,-552.6753151496324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030924208291140634,0.07119638200291618,-0.12244981202904903,0.05654776398811849,0.037443295008691764,0.042524337700129186,0.9201805722394881,0.6144084775830514,0.6386892885990009,0.9084305205528495,0.7746300588383441,0.7175469131202893,0.6392244244923825,0.6107952512257392,0.7773799390462547,0.8431982523580707,0.9669812275971288,1.0
6,-552.6753151496324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014453583094278667,0.06983097363540018,-0.09455543639774727,0.023064493622541593,0.03467909076697932,0.02614582909180986,0.6411291311362639,0.5921440006577832,0.5883026338133917,0.7791437272446431,1.0,0.9013634045300698,0.6047633744230424,0.7236958340940509,0.6623380453528629,0.6813053758468054,0.7348376616996434,0.6518692282699489
7,-552.6753151496324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02086516955109663,0.07194966901455453,-0.05652231580502101,0.028483502919454808,0.027836529489453025,0.020832202480401164,0.6710611348311234,0.8223372572039068,0.8294389711345249,0.7714901341451854,0.8958831656896737,1.0,0.7251596458598613,0.7423227552146265,0.7219961089877663,0.5874415390539882,0.6250808453158997,0.5883543509064842
8,-552.6753151496324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01588354778736887,0.059216315115296465,-0.04841496042548013,0.03798889856054675,0.02097173840540607,0.01604934483349426,0.7447077000919586,1.0,0.9830922529473303,0.7984533662944877,0.748930196816319,0.7363022236351534,0.9076621354864833,0.9889184324357856,0.8455626683864365,0.7466189206485833,0.7177463339498589,0.8347123016741688
9,-552.6753151496324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015900806097568932,0.041834525805113015,-0.03238916578721365,0.03780503609359274,0.010802096765950127,0.012698908938028532,0.7063715222784599,0.8015496172913764,0.8221538357067851,0.6734430515345783,0.6527351569905584,0.5881628294357422,0.8286568327153786,1.0,0.878539247195283,0.8550410072698967,0.7233012707860931,0.879361259207601
