seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-510.65580770089235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004471896618267291,0.03197667168364737,-0.0721723043797316,-0.01412967127996109,-0.0208573787397795,0.014940597625498798,0.9131376729346874,0.82162691013053,0.8096537953227209,0.8808064874092038,0.8149961738563332,1.0,0.6863892594280319,0.5080223689688634,0.6942893697842346,0.8344515415263625,0.8446308757846774,0.8278957813766461
1,-510.65580770089235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002859346380179615,0.03022687851839162,-0.039820889068821336,-0.014802544803732857,-0.013949262792989199,0.007606350625637439,0.7618919255134368,0.7297963155104734,0.825281409185883,0.9139082629681007,0.8912883842132358,1.0,0.8403934043398266,0.7955773394838245,0.8337971366147429,0.8091289008187235,0.7546460159532504,0.6965953169649376
2,-510.65580770089235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003944133589442974,0.02839380798058227,-0.03362891282079397,-0.007529056345756219,-0.00672174684141186,0.006541940805023339,0.6924970049463837,0.6771762014084338,0.8043674016661544,0.826371195248466,0.7310395752564384,1.0,0.8397827276735059,0.7211042857346031,0.7341319358364049,0.7271568533638013,0.5933353743912461,0.5713727239547793
3,-510.65580770089235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004333875140197326,0.02781529483340287,-0.03596736520219079,-0.012213256803433528,-0.00414120956751766,-0.0006379879312359733,0.5997985168882205,0.576584598939678,0.7448693172574963,0.7589591114427061,0.7569551126405984,1.0,0.9373112316259384,0.7554170286978167,0.6720329707673508,0.5280668724769477,0.447728075969145,0.49558628773282015
4,-510.65580770089235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006821903330992303,0.020457855424423514,-0.02397776339797783,-0.01896523817957909,-0.012714583334528295,-0.005447195715051853,0.6291944216951509,0.7352941652766753,1.0,0.759992904225912,0.5625812054551639,0.5619379472376921,0.8484273314293875,0.9601819330240707,0.6983925823342625,0.4405098882005769,0.497691974392696,0.6465654529282496
5,-510.65580770089235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012008081162799975,0.039942649841967576,-0.02635583538751904,-0.01975472922756753,-0.012870760443288113,-0.0074607850761955925,0.6396369647553152,0.6309460520791981,0.9877671379113143,1.0,0.6380696541847592,0.3496692905782458,0.6810540817555668,0.6271241353461913,0.36995162032395934,0.3665459894681885,0.47496532291193655,0.5416691300253442
6,-510.65580770089235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026207831702105715,0.04664379307932345,-0.02985438300430182,-0.044438329211549464,-0.011287540517058051,-0.009265637402531838,0.6071683840084804,0.6289861670595761,0.6023882543955408,1.0,0.6310367382903191,0.2689310176357569,0.3670381248367587,0.35781192182804855,0.21620741209517655,0.34876976439636637,0.40866770286640985,0.5014375896051338
7,-510.65580770089235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045748032475398714,0.05790555168871315,-0.08571044483538753,-0.022345078658885357,-0.00505617655924288,-0.006973805313214204,0.4995813625279595,0.41998721202969896,0.3987267925171778,1.0,0.8060010299762048,0.4229574606449298,0.36008994691522317,0.3142533833622143,0.3487269735161828,0.690650678162378,0.6249235818398663,0.6302372134690435
8,-510.65580770089235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05946457650086782,0.053043071106132475,-0.06966687526212209,-0.050272320008393254,-0.009634204167891989,-0.02789179927096379,0.4765753209370433,0.3332618137379822,0.34127751206597584,0.4999603513101279,0.49653123280698963,0.6520819220926128,1.0,0.4449894369870096,0.5055756135085014,0.8211259919987558,0.7003108842927623,0.7226265649179745
9,-510.65580770089235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06260608151539573,0.06100790630945851,-0.09273097940483682,-0.009995693976138757,-0.0031734566101975473,-0.01789077271582263,0.4874823042179879,0.41609052762513876,0.39511657814174544,0.34262848751027186,0.3805852693148442,0.6115877618981803,1.0,0.4736319974696412,0.4933416411402947,0.7785271814381981,0.6777044329360901,0.5552313067831073
