seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-467.8281699457622,6.200479856025398,6.11433392504697,5.972480460074545,5.777457094610821,5.532724093398654,5.242575536064881,4.912030125450666,4.546705114636406,4.152677350830302,3.7363357923751073,3.3042300553014217,2.8629195825228213,2.418827902760118,1.9781061647583935,1.546509708466811,1.1292908871141873,0.7311107056374113,0.3559711183840131,0.007169061542318847,-0.044067876210131196,0.06899679048543174,-0.23247080273033696,-0.010275604937714056,-0.04558919011833522,-0.04326372502326036,1.0,0.9726821006953204,0.9157138527243109,0.8842378209737717,0.8298023422992542,0.7749024384912647,0.7344218203966875,0.7922778602401023,0.54937131257674,0.4802433624664461,0.5241427049426999,0.7572610023877893
1,-467.84852799098843,6.175120639259549,6.099470278205715,5.975744181207466,5.807308698539993,5.598551592559755,5.354591996130491,5.08095388202063,4.783231670361761,4.466776866198369,4.136432183846727,3.7963347279265944,3.4498029448723817,3.0993139015979487,2.746568778020116,2.3926361087009567,2.0381550697459905,1.683575660079887,1.3294094723351608,0.9764641632917413,0.0073009494220833545,0.05644925388481914,-0.14313142467438877,-0.013190397277233767,-0.03237681676290615,-0.023785899094507887,1.0,0.9003886340303832,0.860019044747345,0.8178922674803158,0.7783745373361534,0.7867065768699479,0.7661164020632618,0.8095318258586096,0.8617426435520031,0.9061124263279644,0.9403278505462237,0.9971008127242481
2,-469.48255653870905,3.871589501140499,3.8174870440569966,3.7282034894790703,3.60505228887978,3.4498379325591486,3.264822478792218,3.0526837418737607,2.8164660173439877,2.559524376513986,2.2854636929759016,1.9980736681957039,1.701261199275202,1.3989814779311012,1.0951692247720186,0.793671446881183,0.4981830600789201,0.2121866412997727,-0.061102526795634195,-0.31878508498480573,-0.002528032767855175,0.055770828303145115,-0.020546031777040424,-0.04345565689942681,-0.021916159330185078,-0.008784149375263107,0.5394844365798717,0.4976621354189324,0.6319277195516529,0.6058834062953079,0.46401555388787524,0.44881418948215235,0.6024797940137481,0.8814510175538698,0.9241541095261891,1.0,0.7728712160007958,0.7009231658189351
3,-461.2697508515037,15.17562095720115,14.219951660620273,12.725610107508933,10.82835178099089,8.695937294467946,6.509170705927646,4.4418048970893,2.641755192629919,1.2158729881149364,0.2200597703336506,-0.3441889922200678,-0.5265407285582719,-0.4184571584610326,-0.1390318405610692,0.18205785974448735,0.4222523017456384,0.4821994507907322,0.2982254064686638,-0.15031208151888742,0.010132269634244344,0.02698033222911432,0.04011825849957221,-0.05789008437195762,-0.008323306349194004,0.0072391972512877364,0.31046296248595595,0.20230662496797874,0.15245535846213748,0.15184626632149442,0.1893812460315804,0.27746793976815265,0.4125143344327548,0.5332547031684202,0.7963329383538834,1.0,0.9189542613237887,0.5815154005831069
4,-454.69188283245103,24.09027524456142,22.03779450907175,18.921009381101076,15.13005319726727,11.098150212005418,7.226246358297724,3.825869142574562,1.0911018523935219,-0.8993426011415657,-2.1579775605866045,-2.755488076021484,-2.7917830891968345,-2.3793882476158044,-1.6402772668948353,-0.7107257435870018,0.2546289174758912,1.087528071820417,1.6232402271287165,1.727715467946297,0.016906781890069448,0.034505248091599924,0.02313618619712199,-0.005271917570429776,-0.0009190131859150782,0.020017074762816084,0.21929522011236421,0.18682714629333816,0.16464954742238158,0.17795172258698863,0.25018662728326907,0.380113194546418,0.4790893262854669,0.5973122944271763,0.9447240549217244,1.0,0.8188724221833527,0.4934694862097779
5,-441.08008917793927,40.60094490661118,31.70712616665101,20.92055744619895,11.828777511335515,6.233368672419802,3.6363452353506007,2.1693661968192344,0.14067523400984527,-2.880484974690774,-6.019990422454761,-7.903366610465543,-7.645163982083352,-5.404128284660226,-2.265242039185968,0.38947992196167025,1.63087524776902,1.4377060159140747,0.5957348100163338,0.08026076013274835,-0.004550748216329095,-0.0011011316420135346,-0.012924368689237714,-0.004955859703827578,0.010357470582575428,0.021757444190037833,0.48296747851564265,0.3311414320954529,0.2616698165969797,0.27096249622484914,0.25986457121410356,0.22087779457396006,0.22905628516537777,0.3003949915516356,0.367145655178044,0.7270423520171231,1.0,0.6787860592084809
6,-432.0670036494811,50.680263761092874,36.28130710394379,21.34587403753519,10.635297419517457,4.66497411761919,2.4616009478979732,2.343678768766788,1.1813710985197476,-3.5290400519143725,-10.27722371814714,-14.423141351250104,-13.119543756177247,-7.941180616759625,-2.430914428498491,1.2745636500738284,2.7857616363298683,2.202332455967145,0.1502216880451715,-1.5754838789902643,-0.013799031023949766,-0.0031735486470754618,-0.010211129339243369,-0.029912653041585194,0.0019447711640814887,0.012236566226808687,0.33393204372682145,0.28088196773741503,0.17982552497691232,0.1596084387423717,0.15346502941675827,0.17184508669430348,0.1887267828009551,0.3039009160553144,0.6761760756046769,1.0,0.9370217770612794,0.6207329687532634
7,-365.0553832359901,67.90565914266743,16.034836210825347,6.952174062598218,-3.3345247608884137,16.027671851740607,-0.6831288804569452,9.413907631647668,1.4305355667554416,-8.282593760960529,-6.286827826054376,-10.043315128365546,-0.688361183344808,-4.42707689786292,-6.095918253285012,-4.582735193937221,-5.699925269217264,-5.1408794032950365,-1.6037630167934411,-4.913140188701126,-0.002320582021223432,7.088845466474593e-05,-0.0014451636592735795,-0.012675550711138146,-0.00035352919611123207,0.010579071621131461,0.7091077876518469,0.6723898017706819,0.6814601422948221,0.560854254134203,0.4047790978576995,0.4437243355116213,0.5393588786106561,0.4310497650164646,0.5088417458488866,0.7597598766610998,0.9621083597800839,1.0
8,-257.5444240363414,78.22013976715618,7.926483159537894,16.183903257558985,-11.629107133725096,27.62144351275934,5.23374153894189,26.588183243931258,0.4779224349288585,-4.664703380691703,-6.240946103579615,-1.3545997458085233,3.1319808821457946,2.350619645510377,-5.822539092758191,-6.959121441695244,-10.963046565737468,-10.893075327952758,-10.453581329972195,-9.456882197208952,-0.00774804678182665,-0.008596267484947037,-0.00664066476237099,0.032946454789410475,-0.005988732417060819,0.006397823929480753,0.9806841127208619,1.0,0.8135028406634807,0.7795747547803938,0.9214054935673829,0.8323182565593829,0.7469277517889465,0.5505742800520435,0.4062286163318828,0.42456685078854883,0.6888658890229837,0.8188699406089707
9,-218.79588569496673,101.40080153984371,11.847309591889092,18.56182609657114,-2.8098656859805784,22.49517579759926,6.543911191756603,27.51228415122071,2.2242788912008526,-5.820688369048545,-9.735480163044413,2.652413239597806,2.585867910817334,4.229940887389546,-10.92881602842202,-6.6461199203650025,-11.521528733376401,-6.554280809236569,-6.506980706649131,-4.021095506376231,0.00330372903768959,-0.002628661263271547,0.005310979858583004,0.0493332104906865,-0.005512254237945573,-0.006322961745442557,0.7562934490976033,0.6887217031508367,0.6743949561619148,0.728097766386637,1.0,0.9132611419797706,0.5450494910164204,0.2873033822612376,0.1848728085452177,0.19304071458884856,0.3209385355442702,0.5327222715185846
