seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-547.0912086999139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03223496499946422,0.06428225298611669,0.037632043831224454,0.023292985066398385,-0.04030591840784537,0.024749538544402476,0.3358359535555691,1.0,0.709163382117781,0.06396897962827575,0.02814889243482158,0.028911740608894308,0.03158695044155543,0.04235182175740724,0.027239884530733324,0.030199272883642943,0.03303983356054095,0.05932556989131065
1,-547.0912086999139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008653349759922649,0.03179511634039278,0.03386319096111062,0.026808979940659585,-0.028788439809740142,0.011122114432711078,0.3050098053044725,1.0,0.8599436064980336,0.07975135200549134,0.03492349496537071,0.034787789078506326,0.03285137375430307,0.03698726077627387,0.03343494540757112,0.03530784533731206,0.03835432715220455,0.05811511242734106
2,-547.0912086999139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035497995169289275,0.04306027960905387,0.006495868418861739,0.01831314594830011,-0.012407989665217507,0.019163536760290673,0.2819889585868925,1.0,0.7905567942530302,0.07943969459191179,0.04252666666534517,0.04052718166793589,0.03341623131541746,0.028675770129092604,0.03836128397410773,0.030308652664190742,0.03776147621415963,0.05731683275667619
3,-547.0912086999139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008005510483978897,0.04398947187955641,-0.027379996196175038,-0.023575162567254775,-0.01207206369375298,0.0012024957817925314,0.25021931960135985,0.9880859166278335,1.0,0.10816679270391694,0.04254862479872059,0.04187241760556647,0.03848692016977016,0.03598831584200523,0.04531177015472635,0.040130336910093586,0.03812474231325422,0.053136667835108245
4,-547.0912086999139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016643146514940415,0.020555100668942596,0.020774722266404644,-0.0068010884152298594,-0.019667986419015362,0.005374310202744197,0.22230817178765144,1.0,0.885339468219259,0.09820345358050381,0.03687656831145907,0.030823604749695276,0.02863281128620649,0.030093776495838873,0.03304708409023969,0.030528503705423864,0.031185501182798094,0.04570395880116245
5,-547.0912086999139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015932058670283883,0.03965220548661106,0.009827217235474583,-0.06832148683842533,-0.03097002117284504,0.014093435974014822,0.3065073487437704,1.0,0.9578133319732854,0.10629388896586939,0.03727104749675521,0.039272759237229296,0.04219973725532769,0.04106368068950708,0.034882926997370584,0.02952467219117449,0.030652395499384717,0.05429486759753118
6,-547.0912086999139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074820661557592665,0.01601811056529953,0.06769174901943617,-0.020115514995126704,-0.019993419437494563,-0.006807779088058741,0.37679131215124306,1.0,0.8736355768041061,0.09136259293210536,0.03932959181633241,0.03900626089452347,0.036170891734347836,0.04820077458033093,0.0402797042953017,0.039519776057019854,0.03301821296057309,0.06655771429135086
7,-547.0912086999139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01543028026727705,0.010351511268021961,0.04883827921977196,-0.011261533469345174,-0.012276219851366928,-0.008985592716050192,0.38832470775605865,1.0,0.8053425465787226,0.10449959355582752,0.06227186027710739,0.0477088157034643,0.04540730785845313,0.04014654555140801,0.03679306788910985,0.043329870407264076,0.04419956774495038,0.0773666350684383
8,-547.0912086999139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03068671755784443,0.03671145314832734,0.08101881896438284,-0.0018728370159256048,0.0037076901587982723,-0.015244778074595691,0.3707593545093395,1.0,0.8787547681514125,0.10834863591169158,0.06431683133592346,0.057854387573299935,0.06065255630051505,0.04931727856668591,0.04801820816213946,0.03633937362807086,0.04441849948280925,0.07787408009346415
9,-547.0912086999139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002179349109823465,0.019049706104972003,0.02182429400273883,0.02071887777612208,-0.004872111333318403,-0.0033166729016532726,0.2893687583915378,1.0,0.8704315318628966,0.0930678250025983,0.03894031565247721,0.04462340747299259,0.047989995975452567,0.0380037933709179,0.03716147792312645,0.028107712068840402,0.03428495929152712,0.05739197030148198
