seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-485.9466805745077,51.70570229137469,45.95779043237027,37.43443200771771,27.46743025784448,17.485309790965804,8.719344792350622,1.9811214972466966,-2.438455773478527,-4.735156649548765,-5.446660664864975,-5.2492544952626545,-4.758679375055007,-4.3889760929718635,-4.299313839533818,-4.428575818623225,-4.59089311381204,-4.59036217983781,-4.313405129687299,-3.770930553606811,-0.1543284032820386,-0.03043218262677296,-0.07508884123625068,-0.05951918175411364,-0.021271814098659712,0.07832142228622364,0.23657583672868687,0.4618862212872165,0.6499929416384073,0.6002831406427328,0.7640687424418605,0.9501402936934578,0.6585200707461168,0.37118072342868047,0.7620837594465282,1.0,0.8803711873215107,0.4441308366649672
1,-489.95980305096765,46.5227455284279,42.12808667975151,35.481377009989956,27.45800525939859,19.036397663643076,11.123310841583688,4.410223553595111,-0.710392336415974,-4.15717953995078,-6.107322221285811,-6.9012874737438885,-6.934448579275724,-6.563872032845744,-6.049749617358094,-5.538072553409389,-5.078465828775216,-4.66236618542985,-4.264011357335835,-3.869938902800766,-0.0607397777044313,0.018158196629569863,0.014586541286743138,-0.03860031251942721,-0.005481620268364302,0.03621575614030889,0.36320476594418233,0.31958623193033264,0.5440718936161284,0.5357462242859151,0.6114058458329961,0.7678007058037309,0.8874617751741207,1.0,0.8141299462109216,0.7264077693044396,0.6941606787321831,0.5087542113480923
2,-492.5491859196622,43.028876547377536,39.24171211596136,33.83993097154144,27.737451985819472,21.585015800777917,15.607623905835855,9.72707616252993,3.865486856175055,-1.7829013859818947,-6.6967799657088944,-10.231246045064772,-11.953813247782794,-11.901509578255844,-10.596066371932098,-8.803778237166355,-7.181768602991682,-6.016450205360357,-5.195876991367549,-4.409644275728925,-0.030318057989277527,0.0013967294899457354,0.013042191304407952,-0.041961749483526836,0.0027379183993226546,0.019046206988261066,0.23345630620115,0.29224275117309595,0.49278712918027245,0.5344074650921595,0.6747329355479463,0.8833528325100877,1.0,0.9143625282938589,0.3563222035945305,0.1408633796323287,0.19446852366861903,0.2181541344663326
3,-492.3696048824044,42.90620902333357,38.254800722937766,32.140769824811045,26.109523230319954,21.047499875280643,16.850217279120447,12.69497634569992,7.734331866038341,1.7808144879790124,-4.434062321607849,-9.583363618611706,-12.457728110959726,-12.643861521324657,-10.76819974241001,-8.165401711986139,-6.169675428772103,-5.4421462487077985,-5.715252692996487,-6.080626824063132,-0.006485998876964295,-0.03027559630830531,-0.07476061522668412,-0.010885089235442375,-0.00043218515104895917,0.003808728742596565,0.04051986209109833,0.12204242927958706,0.2511211399259245,0.47152469510604383,0.8584231764180361,1.0,0.818872284686674,0.5253853809847105,0.1841467636499425,0.043580962957555015,0.025401623476875905,0.021047917182614978
4,-493.34224913662416,41.451869782789586,36.549995888298746,30.00882888010139,23.454202685884912,17.976906306402764,13.742909182245654,10.123906573748712,6.248625118049968,1.649371549303706,-3.363503994610441,-7.8050441654366605,-10.531619529652943,-10.875330067120471,-9.041966526832876,-6.05378645640223,-3.2711904607178983,-1.75450138336371,-1.8047951532718491,-2.913978108394569,0.01653375601678135,-0.04627565585902961,-0.1752170996480433,0.0347557666992262,-0.0014283709167545139,-0.018674758345369066,0.02623633682922477,0.08277237675301521,0.1790634998840544,0.4215710626915122,0.8606116546609206,1.0,0.7602567356223388,0.40780578592682587,0.12596551209771403,0.01737525642493666,0.00455691360638217,0.00847513300940923
5,-490.41603438276746,45.752782419526206,41.165340882312236,34.68251340591715,27.556560171801397,20.80018050988253,14.888691708253697,9.751460368571284,5.028883841812197,0.4391858936661328,-3.948385104847086,-7.6784303435032495,-10.124678647052036,-10.833316863451593,-9.805181316119038,-7.561998935959428,-4.957169733059139,-2.825619275690416,-1.6494403595570877,-1.4046020494031826,0.00718922460588456,0.0027256521669052815,-0.2514465577826147,0.07818492177082242,-0.02872100288123902,-0.03971194263528578,0.02070927834302706,0.06717618431659515,0.140276941022629,0.33766003517098037,0.7897677559748784,1.0,0.5910340342639413,0.2353070373338503,0.07260137998790737,0.00968999666982967,0.003980486458631227,0.007159873094197018
6,-491.2079576304336,44.913264903546676,41.11074424279532,35.757598323833065,29.87114594417084,24.19938289380037,18.980052352377186,13.988347883286636,8.833173436379269,3.331407954329957,-2.2490911409666583,-7.214254540066193,-10.728007017457038,-12.207896120538862,-11.62352464644724,-9.539175922598375,-6.8754445248353955,-4.5105302005872305,-2.9232867728262457,-2.055119249588485,0.010176828950003517,0.023770382250260114,-0.2691427917179765,0.11563543390310647,-0.03420903413179235,-0.04225920001973868,0.010964864488884972,0.03456561044230066,0.08110008880066193,0.27998678731823184,0.7713108880582058,1.0,0.4427067954874144,0.1367917960460358,0.04217261538299417,0.006454887787407385,0.003163446697467589,0.004424362707892108
7,-489.7092730530913,46.948965060174054,42.90566098251023,37.18096422506958,30.82323335361156,24.60980819333154,18.811056427867804,13.251318098511963,7.614100914448223,1.8077261643417901,-3.820838570700619,-8.54811970429294,-11.581705015032998,-12.446884824537637,-11.242779200582492,-8.62951086841319,-5.552619724256309,-2.8491716834215395,-0.9375373018947287,0.25891329300906696,0.013920865232540628,0.022187470747479687,-0.26324592322204654,0.11076150124393626,-0.031452288168367565,-0.04158809554325098,0.010343723306225324,0.02936212334190889,0.06501106868646504,0.260065305194764,0.7535684330316045,1.0,0.41774665692724067,0.10298307750386622,0.0313193856696164,0.005875312352684785,0.003226865208933912,0.00463141547408833
8,-489.1345900549819,47.2931649271199,42.093567652794036,35.12769355795359,28.053618451445047,21.9265964224641,16.835050873509253,12.11483033819806,6.986055079801969,1.217494897584892,-4.581141820753917,-9.210247890817975,-11.522511447923542,-11.076314573657651,-8.418910315088855,-4.838189095704086,-1.7299121226607808,0.058190066339303015,0.5443952232243414,0.4392817024767728,0.028344600634945788,0.01511205988111278,-0.22591817712544845,0.1008105453986545,-0.015389992571258155,-0.035142441980605565,0.013941025864379617,0.026545624203869474,0.05741502643558856,0.28555241982613555,0.7822440304806028,1.0,0.44429661602863096,0.12693904802392045,0.03846321039248718,0.008948574680365981,0.006008157428629105,0.008837166401047836
9,-488.3232576490116,47.69014829208676,40.66590804876927,31.843752413090012,23.96196729637981,18.598113750701334,15.523475709931752,13.1016770670607,9.465563503282617,3.7711214286041526,-3.1978977358454546,-9.410057337922911,-12.713362691133817,-12.049761891893453,-8.063930682286069,-2.7757573910674105,1.4758670565820065,3.209772016814748,2.451050245273217,0.5293469171707581,0.062283712987561114,0.00478943685898351,-0.13039675603124826,0.11070444935928513,0.023437405699393808,-0.041051687006960505,0.024301632641328296,0.04226009498750373,0.09075973588849294,0.5089198762271978,1.0,0.9032876402342875,0.3141823567272657,0.2163399265703535,0.057114608450786974,0.015508761128410193,0.013382792411827923,0.014889737961544709
10,-490.9612959464996,44.61234262456467,39.176198674398236,31.979864621596516,24.855168174324085,18.980443061097457,14.449401152850026,10.46344734136698,6.011712755464788,0.635133879733662,-5.166450415685212,-10.114766584606718,-12.815629845142183,-12.526875390495249,-9.599509165265093,-5.346736904113429,-1.4152730028993539,0.9952104776685948,1.6449680606104848,1.2390072916131567,0.018413964969107667,-0.018903000617641608,-0.11963563599381492,0.05065193620445783,0.014894087819781207,-0.026829627234315256,0.011585790704019924,0.018742248480647008,0.05144399364729184,0.3356994630782579,0.8339638891888665,1.0,0.4165891432564835,0.11063890382015061,0.02406611379578378,0.007833051740378605,0.0076221211532526735,0.008764676795745776
11,-494.777300305227,40.00820718457696,36.56951051821503,31.635947596227588,26.033852075949614,20.391034579166508,14.974762708189486,9.760364899459496,4.666778606645719,-0.20036809698763663,-4.456492608013388,-7.5591613907773105,-9.072746723648544,-8.91722161141836,-7.448067751431842,-5.3124092802067775,-3.1576558470090323,-1.3552358356541765,0.10734545305560687,1.511719409768244,0.004144836001136072,-0.029406396857001617,-0.12045488780742332,-0.02713680847655791,0.005416023604761289,-0.009787321542636923,0.009293191525099314,0.010364944380918416,0.020127687694010434,0.12085227956532384,0.5651133782828153,1.0,0.5696542089166284,0.06706059316560707,0.01546482435678003,0.009681447835371896,0.008172233971810054,0.0086903892535194
12,-495.6969578712616,38.5845306634546,34.81605907472471,29.44900525855233,23.437785566048518,17.521321814756373,12.034526674432183,6.974626167545306,2.2529340496426564,-2.0422382112553885,-5.543854733231586,-7.732781280467611,-8.21665001460217,-6.989847713808321,-4.512680662132395,-1.5537686286422834,1.1222544295887704,3.051908508267535,4.197968195702963,4.848435061574534,0.0014868656335736182,-0.051665434882482084,-0.08358897260296753,-0.052023740648885375,0.018385648713215998,-0.003123424669778052,0.02034620769961035,0.017450796555401132,0.01911569212392047,0.08549361514939843,0.4964130060817626,1.0,0.7068186719504816,0.11145386511147272,0.021479811361727337,0.014908396187346488,0.016385671781231095,0.01767640404377456
13,-494.8496367671667,39.700294832128236,35.75596764757073,30.297595755398728,24.46892793258214,19.102329397828754,14.46283896379806,10.323478805905516,6.304026568448264,2.26164417791578,-1.5002403778337037,-4.328150270382084,-5.564681968707982,-4.944075461907071,-2.8064512172179517,-0.000605395714266932,2.480831527280387,3.941110057662086,4.260207417297679,3.8716362136194435,0.006535730628814908,-0.04603537976195482,-0.050774566600053334,-0.035966940803156745,0.023014757908728808,-0.01757870752250365,0.12734704021867752,0.13714308766129654,0.1696932981648501,0.3683904519223715,0.7606449638833469,1.0,0.7286104288822959,0.3556853011468047,0.1295774727699563,0.08365463450995063,0.08362018230807573,0.10717293806526641
14,-496.12380569229396,37.82470249014226,33.72719590946703,28.2047244629878,22.582387349524307,17.7859382309859,14.02096953493113,10.85341879729489,7.626822165258664,3.9728341201688906,0.12656104292875348,-3.129915340546555,-4.865793618365611,-4.522773344946728,-2.2716327360065716,0.9958197655295944,4.043739631746729,5.845087566950452,6.0242961390298735,4.964212154772312,0.004486171425272974,-0.03691220737187147,-0.03033468110145976,-0.06141547885967295,0.014755261935300532,-0.03781423416397122,0.14844173728741042,0.12547096644580005,0.13586480005028526,0.336098930726401,0.7786548364723668,1.0,0.775154208565612,0.5342270732382342,0.1978204871719926,0.12122107108723539,0.12532202829051167,0.15293651758965005
15,-497.2882391324304,36.3440372167017,32.60365113690065,27.2947799768817,21.429933772191347,15.860578034041417,11.044653660497481,7.028026268630418,3.6207034200220445,0.6518045187480221,-1.8444657520310541,-3.6119994676342655,-4.3264151700879925,-3.8246440622418207,-2.2744005284668325,-0.18089156670241918,1.7831634079752865,3.042731430677039,3.3481943748254244,2.8520091008389272,-0.005857667032250241,-0.036146372615472454,-0.03799043744998519,-0.07642851016297644,0.011562399355128688,-0.03484719085347378,0.12673328230267533,0.11534621282808999,0.1328051708116553,0.24347919971497087,0.6057745413280425,1.0,0.8684225926614391,0.31656919311250314,0.09341185076063684,0.06176728844427213,0.07292716006767218,0.10379969944269893
16,-499.6327359836278,33.08496638477017,29.56205450419388,24.727689215114196,19.632554573523436,15.025099402671133,11.127167796964361,7.720296476004295,4.460886454007213,1.2200485318972354,-1.7542075017933165,-3.938542512696245,-4.829343513174008,-4.254613899105257,-2.5238045702895553,-0.3313457973346077,1.5362468449504803,2.5383180142009625,2.5920948472314334,2.055550576440999,0.030365660236801168,-0.05334989524137572,0.031171800120466595,-0.0659782530600333,0.03714079053484862,-0.027914611454816537,0.23335834637185654,0.19380845333322855,0.17817760078569625,0.3715339558800966,0.5471377633110566,0.7290119831467387,1.0,0.552373453404299,0.18426265058243718,0.17208650022082594,0.17933485975512986,0.2099781815289402
