seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-604.6449609778664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047762332441791185,-0.13585972708649233,-0.07135581760079833,-0.01336947656884406,-0.017517080928065594,-0.04535259641209226,0.5074902221608584,0.7833288363282356,1.0,0.6923223107972725,0.13475464566476691,0.08663195430686833,0.056288728943713714,0.08713532294289937,0.1071874659525621,0.1253439831669277,0.17810703749174311,0.33888561294972885
1,-604.6449609778664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031304324949759876,-0.07399778468721094,-0.0535377954983948,0.027464259701354212,-0.008959307317362953,-0.015433463340456303,0.5767735163737415,0.9107267498754965,1.0,0.7406996824887829,0.13440043074179978,0.08713911657419789,0.06624283336698611,0.0871583839908536,0.1027397745055776,0.10805310192190692,0.17365111873600803,0.2999736206701565
2,-604.6449609778664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0190893186783173,-0.021902626348056942,-0.04951987592367582,0.02658029781804549,-0.0020811193935085905,-0.003939964416833766,0.4526930523754362,0.680081745594916,1.0,0.7544626952689857,0.11743469909982317,0.06493767170726092,0.055426535088286585,0.05216605557624922,0.07455912125159385,0.10919427891359594,0.18950447059688022,0.26352103067113986
3,-604.6449609778664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0055228064866233535,0.0025470185346143552,-0.04996707096055478,-0.00150374840758748,-0.0016597316896421958,-0.0011860808534488662,0.48032689560323377,0.7407768984251075,1.0,0.7182213489031644,0.103387182108904,0.04987960601719814,0.04596692062337773,0.041923919140613185,0.04945776378373598,0.09014612358749882,0.16442392011902585,0.25940280359558693
4,-604.6449609778664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015053184478052745,0.0013696261150308944,-0.03727641969933815,-0.024903276191707697,-0.0010815003222546657,0.001305535362296474,0.5828998704790957,0.8014332339938312,1.0,0.7861527708798944,0.3320046012056775,0.26001426195545874,0.34011004468470185,0.2632092064918498,0.2384419274226675,0.3845156464476162,0.3827158753305643,0.3933494401664657
5,-512.4086873738698,86.40339210326158,13.040335554487939,-15.547188948437713,-15.791918019739528,-21.841550377643525,-18.05658315453666,1.109707183549596,6.019797417293803,-7.151675166551097,-12.167771737814224,-6.339031873367841,-5.970872855620399,-8.65178533049459,-4.3420094655813966,0.6945312183869314,-1.2562170664541674,-3.4455440958111736,0.110284755346159,2.629202523015647,-7.350787255391946e-05,3.200723736510459e-05,-0.019469644447920625,-0.03026536872176061,-0.0030650451228759912,0.003813753788528468,0.9199555604246199,0.7352349288279898,0.6009641953916346,0.46943438986912683,0.430800181288102,0.4358600102307456,0.49018335287395526,0.5851849835878121,0.7517460324115322,0.8469052237629445,1.0,0.9861450708513063
6,-318.28640915846125,158.11645409075487,-37.18853861032484,2.995193381383395,-21.45609629211366,-15.83637745736539,-13.287846831156674,4.179632675590678,9.311638525058472,-12.114885687440097,-5.489989357211366,-12.840156051203838,-8.606691295787085,-7.068283551664502,-1.6426975991346955,3.282927361441467,-1.1548990872958615,7.3126367805240005,1.3390102296571058,0.37888443289637674,0.0007207005649897356,-0.0033489997952161525,0.009301642004778926,-0.0150614964563309,0.002685861907804137,0.00276248645951414,0.5126282044779087,0.48891425409874334,0.3497622556960487,0.31280180694222554,0.28929303745690965,0.130976196495859,0.1324681070203178,0.2094370691376463,0.43673249785758816,0.7745243612081835,1.0,0.9035925681077099
7,-250.8949634165537,163.62285382974306,-50.7972896595252,14.739651919559233,-29.059888074838547,-7.088956909728882,-22.364621960368208,-2.1901145571301788,2.3062634368971446,-12.136434983126005,-4.294099168300789,-8.652859589930936,-1.9087196856850646,-8.826151513983856,1.5269204393348714,-0.8045926002497147,1.3370683691629515,7.1771697579917975,0.3431180154292319,-0.11295080804390256,0.002006042711096971,-0.059347573768543396,-0.024969810818570276,-0.019736675455014452,0.006855276419123981,-0.0030957761784734528,0.5640333600164821,0.695233894578596,0.2938666632965998,0.38690655024304715,0.5759926789106062,0.2682845711408718,0.3063365823422445,0.2840968435939261,0.48207595619203775,0.7837113038172681,1.0,0.7797962133799037
8,-239.8698382182797,150.58740623775452,-55.52437182494276,20.652986698517093,-26.12168636056347,2.7516477837929303,-24.010235819373946,-11.08068902513915,-8.016729300550061,-7.638490540554887,-3.0833937964120737,-0.3566614341059595,3.250859505978091,-4.579722081065178,5.240733303691398,0.20209321335391572,5.470594301828157,2.9552976277580667,2.8744974730995603,-5.221795319777714,-0.014687636959794985,-0.014903107644338642,-0.049016586585565236,0.03263877008127114,0.036263500130598016,0.02045204580963307,0.4939391683121527,0.6821962507523909,0.18825943966635567,0.5496814644128799,1.0,0.3001805297014156,0.3914203068289114,0.3771926347314101,0.5492183859110221,0.45141446436422067,0.6024630413639646,0.3191518620209702
9,-231.67089141825505,147.6566643997815,-54.96108438205158,22.34351192739313,-25.841225685359156,9.88392682826446,-21.077791867845974,-10.510456982061907,-11.448337204467151,-6.745919053967111,-4.269189818831083,2.1106559058303445,5.711389563326821,-2.798575496196369,5.546180602424659,-4.56215095121791,-1.1346643871866289,-4.772784531880616,-0.6142260297282327,-5.831067147177448,-0.033791977181658134,-0.021430061267927215,0.038144098278475536,0.0652118599453463,0.03795348350620992,0.019034243549303498,0.13739591642960264,0.24279498136585684,0.1396072715370814,0.5622730089462625,1.0,0.20782273734686946,0.15397392079050462,0.2523777113923513,0.38219694661288744,0.2547904380998004,0.18388837346608033,0.12221842401519359
