seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-623.5165658038637,0.005104824944983236,0.004909519071995492,0.004589525339528525,0.00415297068077721,0.0036109423458730826,0.0029772063171537057,0.002267857692277915,0.0015009119143795848,0.0006958472309120593,-0.00012688999857633733,-0.000946404582000653,-0.001741883173344171,-0.002493122872616047,-0.003181044322205895,-0.003788176268459348,-0.0042990992819606924,-0.004700837367295799,-0.004983187516562666,-0.005138978836804933,-0.06448381593132277,-0.030376787487883628,0.019093062032022753,0.03360951462228087,-0.03443009336667248,-0.024389461644294508,0.44120596981041393,0.4221905456485642,0.23356848682964565,0.24544372207205079,0.29783198362040536,0.3538726176580243,0.4398300966740053,0.7255991276510136,0.9903421986832561,1.0,0.591435466772854,0.3964438522323174
1,-623.5202218872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04050123807476113,-0.0009654678381257247,0.007907878049830841,0.03369194878847612,-0.02474636476327771,-0.010410646038951334,0.46551296660277963,0.4941236355801159,0.3826554963858944,0.3427901167456143,0.2698715678195514,0.3117378644569106,0.3517450122931778,0.5641437495447237,0.9034556034643692,1.0,0.6197340592195227,0.48557531144374616
2,-623.5202218872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03090183418122888,0.03855038517128722,-0.02194525632594796,0.05896863495731524,0.0023770400752912797,0.0006173120863556085,0.5212531985046113,0.5751293539594673,0.5159762558448938,0.4738927503610469,0.38857054657927925,0.4659564621180288,0.527951202393501,0.7134869237783397,0.9822209526860313,1.0,0.5715138459563773,0.46238137285820463
3,-623.5202218872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033805484850140045,0.031231747736103745,-0.0343839289423582,0.0873349941377327,0.006421318862277092,0.011893320180198362,0.5068618544778535,0.4934724529811765,0.40178276579801925,0.38700704532009106,0.4489120489484423,0.5806815419467144,0.5510730733364543,0.763460170118014,1.0,0.9487072420048408,0.5427924905119589,0.4472988016824643
4,-623.5202218872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01716873710318642,0.04521422904192146,-0.020488954944280824,0.078108755942622,0.010433125220644286,0.01848585008842548,0.7374505360850306,0.8158141865450298,0.6296977455605501,0.4759878887145507,0.45256607506037616,0.6304307154189095,0.5162622365853664,0.6898998258048942,1.0,0.940490831603468,0.6287920259073042,0.610946429041965
5,-623.5202218872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013823044129427562,0.06459288697648956,-0.013127302145423736,0.10283067951115608,0.014019406661172159,0.027281588688878762,0.6665066376776554,0.6907071452385795,0.5014549449373162,0.44772483040378835,0.4643516756229486,0.5905853716139445,0.6086504110366169,0.7927613325037334,1.0,0.7813388130764177,0.4835124303434016,0.49715329051414103
6,-623.5202218872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02683393101410711,0.082331647922734,-0.027511303199924786,0.11966078921917354,0.01385419611319571,0.03094337118483621,0.5937559629541244,0.6253686999916482,0.5318307111647991,0.47915564637896535,0.3623439033611252,0.4422968475423052,0.45332324499811283,0.6304058674033716,1.0,0.8693977697654979,0.524563748000473,0.5185078522378819
7,-623.5202218872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038220508263105676,0.09113890657551461,-0.05102946218910118,0.12480910345485768,0.019960050446767852,0.032036010282327235,0.721474928095443,0.8528159877245154,0.7935852817515138,0.710475783206485,0.5597819390146371,0.6299779138890205,0.5038668175557252,0.619754824828964,1.0,0.9618651887898148,0.662985139869844,0.7183583477675967
8,-623.5202218872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03399926283239551,0.06812857949049923,-0.03725684143070784,0.10455285568321018,0.01537629884281589,0.027145771503301906,0.690109058602405,0.8547793911657982,0.7392865454481197,0.6173498738966975,0.5709099649111264,0.7050665232426355,0.6977459081633304,0.8356189028648322,1.0,0.8391226421962357,0.6286089971968526,0.6997096390350535
9,-623.5202218872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026819990388720738,0.055109525417670474,-0.02698708604897579,0.09241076422554322,0.016375638703859205,0.02673997584945037,0.8475061704428208,1.0,0.8263938803933064,0.6693958947106431,0.6239820245142612,0.5150939679899316,0.5429310279901705,0.7337762115973552,0.8037108591346511,0.7260546249034435,0.6578613155199676,0.7479997397501986
10,-623.5202218872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028116426882896534,0.03477814956395226,-0.03257975467594945,0.08341951326035421,0.02212936958673572,0.024603686289540197,0.91396659953823,1.0,0.9325894749564659,0.7831860295016646,0.6693534203578073,0.6422569581530069,0.658729268586616,0.6580497971124427,0.6994149670160786,0.7519065882212963,0.6893045932135602,0.7578154489957402
11,-623.5202218872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020543439997696884,0.030328666906198218,-0.029357536104542503,0.058143119407570054,0.02210102256820844,0.019521670849193637,1.0,0.9212917476757382,0.9217703630725954,0.9353770308840759,0.6015619925751569,0.6065701080798196,0.5902704722824046,0.5990274208151289,0.6852625622789879,0.7711849191495695,0.7003868654137723,0.7725291269907658
12,-623.5202218872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01676102151166432,0.016496672752855313,-0.019114143795153304,0.04269092729936652,0.018873019682564524,0.014558237513884471,1.0,0.9985901804748643,0.9389391809318114,0.92094677948489,0.7744003023015025,0.6876846312901551,0.8278195552318608,0.8389053003970226,0.9353721592940103,0.8719543441367589,0.7814657699341898,0.8510721183041698
13,-623.5202218872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015103256586667066,0.009685781594312971,-0.0036070917578327477,0.030593339027817707,0.015130631627242102,0.008976253821158596,0.9825014325365647,1.0,0.9846504249530919,0.9708566357434505,0.8530550639202423,0.781673857281921,0.6890698025942195,0.6807666351006513,0.9911009704797854,0.7989700483954021,0.7131855483607215,0.8068389628964402
14,-623.5202218872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010210145503702257,0.006607085161261522,0.01618838629753877,0.022705884484954343,0.009976192396037722,0.0037654895732754518,0.845195627319343,0.9741088659543834,0.9935949271597522,0.9790067223111272,0.7039845782206008,0.6109326276775973,0.6869563570785364,0.6643402678470256,1.0,0.8277013789774676,0.7588461763968996,0.8274920195412054
15,-622.4554352814201,1.504928818034136,1.5022109836968374,1.4976902112775519,1.4913798905809494,1.4832986926967962,1.4734704957878244,1.4619242902783747,1.4486940638922103,1.433818667082984,1.4173416594920758,1.3993111381574899,1.3797795482811386,1.3588034774425053,1.3364434342214744,1.312763612263458,1.2878316408842383,1.2617183233708689,1.2344973641869605,1.2062450863375438,-0.007842405304596149,0.004635803834633805,0.026578707924781536,0.0234859386624758,0.006701559575651544,-0.002470561880186635,0.8126717269552791,0.8234915939239277,0.9538481270615714,0.9820051367666589,0.9335830120523715,1.0,0.9058878191465055,0.8464855430958694,0.9101587964265504,0.8590167011547283,0.845931962986227,0.7885519000376986
16,-445.9220212304181,52.012177763945076,-17.972834423719643,50.226825539548734,-12.37474904276068,10.05651614082958,1.0029624426594972,-7.1463821604415525,0.6240600116002901,-7.996805696377616,8.686653626817314,18.150140208955293,6.805504815197422,-8.35730627980196,-1.8845329492424567,5.707082588869519,-10.838219576802148,-10.376411485626477,-3.5389330934930774,-14.141865852237729,-0.006215476850737742,0.005149580639785968,0.027854726857527767,0.028390673935231203,0.003961614605453175,-0.004457709333192068,0.3317143256703274,0.33703093854609034,0.3940303791733794,0.45484334639008056,0.608440653791975,0.5467337366802305,0.7855106816188205,0.8526545030778645,0.8433772576389831,0.5225473891850322,1.0,0.7696428904743841
17,-299.7003843873023,77.60313811923156,-33.31566417445285,56.88945815786319,-24.08818172590562,13.695563638201108,-14.459908648679423,-1.3785797657436485,-10.398506814996294,1.4900933112650314,-2.1141650420964515,16.873424211669896,-5.198478329903322,-13.274135168423765,-15.218891637453565,-6.643687276008295,-7.164253418146059,-11.89509338965522,-1.2623331412091485,-11.962946330263312,-0.015897716904136494,0.0027109625685870597,0.018211315340946582,-0.005403821201558543,0.0023765558390745106,-0.009293388097219787,0.4687190418788398,0.43308386177309877,0.355484791201093,0.40260931766715924,0.5021212572280849,0.5137776390012793,0.7868579083367546,1.0,0.7745221594041921,0.4520595907851442,0.6612466932434421,0.5736980048631226
