seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-505.2690462181323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009531938418743818,0.06922396955114536,-0.042523165019667714,-0.02751223284104296,0.0004069107728797527,0.04173286942060779,0.9483602216184251,0.6587530990399204,0.507689144213723,0.5971794945235005,0.49262741938612065,0.6311414398160325,1.0,0.8438940729223208,0.7797614392250909,0.6604877897059187,0.5012133106888613,0.683461052883326
1,-505.2690462181323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008678485096580554,0.06294937249415149,-0.013245022685071883,-0.03063896542868768,0.003157647951954619,0.03336575725646853,0.7366027006976803,0.7225002207297184,0.5807180289877093,0.5253808024802683,0.5696427565266924,0.598025784677734,0.8476128860827431,1.0,0.80961437632384,0.600113838972769,0.5822171497220103,0.6928611197668253
2,-505.2690462181323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027314452794670215,0.03769016776334121,-0.03909425712720829,-0.038340677093939415,-0.008975327198555635,0.034129839024534606,0.6839008169893602,0.8177011156340135,0.7678044428448683,0.6534025407749243,1.0,0.9033015010292837,0.7249984527671699,0.8212068105843713,0.8795450955905494,0.8685306516986467,0.7764407104470789,0.6327433599701632
3,-505.2690462181323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02133697627204128,0.03679498599238548,-0.010472384348668207,-0.05319791478436495,-0.010226632147169252,0.01587917306760444,0.7223223044720805,0.8090990093292255,0.6950697964393039,0.6270503672658272,0.9855806986909169,1.0,0.8299333629308769,0.9803174763930015,0.8577635950605695,0.6499635918579582,0.8149474410301685,0.6361624887285207
4,-505.2690462181323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01120915096727917,0.029124931461828804,0.03638030954001045,-0.03883286530794341,-0.00746116655944835,0.024269480906254547,0.7111784599488067,0.6155233994436713,0.5545168703424768,0.7138791816252404,0.9522527723100798,0.6655494263549968,0.8336422066779712,1.0,0.7419723017344568,0.569430097665137,0.5822163914988472,0.7383943444351347
5,-505.2690462181323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003224736223236989,0.028991121515988368,0.0005973223028517272,-0.028046811983050805,0.0017601494002047317,0.007062500608315481,0.5951503799624366,0.7491969370917999,0.6098462161277325,0.6172204616307985,0.9276285564393075,0.7277768991273615,0.7601331893252178,1.0,0.9520549192089596,0.7642677387428212,0.7477121992479322,0.6780017926464036
6,-505.2690462181323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003127048918262713,0.022879758543014567,0.011364891219079132,-0.02595866860834027,0.013634190075069188,0.012263060068095799,0.5185143146638649,0.6883881790524204,0.738086643220073,0.6878874913209543,1.0,0.8348317126232864,0.847088720413719,0.951793674391798,0.7658179859409217,0.5441073035021337,0.6396670302541257,0.5377466487380698
7,-505.2690462181323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005136610422487076,0.008181200041956905,-0.04502120518879943,0.000776986997683515,0.017796122649876997,0.017546304712111244,0.570170035452422,0.7254626757751139,0.7148824779399843,0.6607793231161896,1.0,0.7917552976969494,0.6076270818925459,0.9299089472515633,0.9578799816911925,0.8922357548022656,0.727923398531544,0.5063156522536192
8,-505.07079257864854,0.2803518741776042,0.2802885426463871,0.28018300069163143,0.2800352642075657,0.2798453554427592,0.2796133029967751,0.27933914181586006,0.2790229131876741,0.2786646647350943,0.2782644504090111,0.27782233048023514,0.2773383715303997,0.27681264644194076,0.2762452343871245,0.2756362208161212,0.27498569744412227,0.2742937622375842,0.27356051939937454,0.2727860793531797,-0.010540598328071171,0.017538372808615362,-0.026038402678199568,-0.0008332369635551226,0.02332928353592654,0.013636889882286347,0.6012261959820197,0.6258619236731756,0.607470488258233,0.6575869731992959,0.8522089009087906,0.710729579492629,0.6752774003241089,1.0,0.917579895910538,0.611357922537102,0.5640857928331778,0.5030285929342159
9,-505.1669210179474,0.14441596808596222,0.14438334449670392,0.14432897730684813,0.1442528747038918,0.1441550481486124,0.14403551237332402,0.14389428537967644,0.14373138843593722,0.14354684607378163,0.14334068608461586,0.14311293951537427,0.14286364066385066,0.14259282707354035,0.14230053952796864,0.14198682204456653,0.1416517218680418,0.14129528946322234,0.14091757850754333,0.14051864588287669,-0.010360168119099705,0.002752156286086123,-0.06314774763886419,-0.0030539707941350035,0.017236871527737924,0.017030601110771523,0.8541214967390378,0.7842780349351185,0.815866013187074,0.8195581391703836,1.0,0.9513906431121821,0.7666353816631438,0.7319783481836962,0.697521855496573,0.9815052582722714,0.8712575654059429,0.8281013267735174
10,-505.26391653874225,0.007253915916319793,0.00725227725560674,0.007249546428613189,0.007245723846596966,0.007240810085215989,0.007234805884473519,0.007227712148574783,0.007219529945812089,0.007210260508396842,0.007199905232270448,0.007188465676897646,0.0071759435650386744,0.007162340782468734,0.0071476593777256205,0.007131901561769632,0.007115069707664671,0.007097166350248697,0.007078194185678833,0.007058156071098517,-0.028924930076515733,0.008537522416289904,-0.03508009028292142,-0.025689846788373164,0.00889362082586432,0.01946853818397526,0.8946688908514735,0.6669798841652231,0.6919781806877998,0.5657503769717748,0.6558722891074967,0.7812781207019753,0.881364534014451,0.8082781128412257,0.7168637792574678,0.8414442076509213,1.0,0.9911955918528299
11,-505.07093456390794,0.2801510918178111,0.2800878056433615,0.27998233927562416,0.2798347085974514,0.2796449358414715,0.2794130495867723,0.2791390847545656,0.27882308260295613,0.2784650907206862,0.2780651630200359,0.2776233597286371,0.27713974738044567,0.27661439880569355,0.2760473931199525,0.275438815712188,0.2747887582319208,0.27409731857541814,0.27336460087094716,0.2725907154630973,-0.0377152291109754,0.013101685982996481,-0.03383948425382066,-0.021845368459569046,0.017412947016618413,0.028289014365547288,0.6786530806867909,0.6871475303384929,0.6421699774155883,0.6174035616663469,0.7689195318557318,0.6431542648705725,0.8352292575164035,1.0,0.6245231179470487,0.4200041465289245,0.5981708798033629,0.6479849350079394
12,-504.96827990785556,0.42531576719147507,0.4252196882946765,0.4250595728768998,0.42483544505094345,0.4245473385696247,0.4241952968207287,0.42377937282044265,0.42329962920539294,0.422756138223205,0.42214898172161996,0.42147825113617193,0.42074404747642513,0.4199464813107413,0.41908567274966013,0.4181617514277794,0.41717485648426045,0.4161251365418325,0.4150127496844769,0.41383786343355383,-0.05324216472064629,-0.011438919163142732,-0.04400411739663676,-0.0072753794540128605,0.015481244435681475,0.03449392725578036,0.5973490436108984,0.6761928427319059,0.7126229904226474,0.7325962591925639,0.9811444654171031,0.8021116066317387,0.9265256572568479,1.0,0.7802791071494377,0.6143870248765111,0.4582108213443075,0.506511738852598
13,-504.87640672858106,0.5552342799782435,0.5551088524695522,0.5548998276095316,0.5546072368765514,0.5542311243337087,0.5537715466221601,0.5532285729526237,0.5526022850949284,0.5518927773657409,0.5511001566142963,0.5502245422063731,0.549266066006275,0.548224872357001,0.547101118058476,0.5458949723439692,0.5446066168545871,0.5432362456119254,0.5417840649888546,0.5402502936784365,-0.039391977702182085,0.007809722430813009,-0.09002436481008702,-0.029887300784761723,0.010495065933660263,0.029579214610254465,0.5424984657911418,0.663845731616043,0.6758441911973261,0.6398392575119044,0.9303318072100081,1.0,0.9086624972245612,0.7237891801255262,0.6077291627957735,0.7202146900878136,0.6424052425752154,0.5039129558851541
14,-504.7618560603471,0.7172211903387264,0.7170591699622322,0.7167891631122942,0.7164112104509492,0.7159253688964761,0.7153317116148277,0.7146303280086086,0.713821323703605,0.7129048205328978,0.711880956518485,0.7107498858505263,0.709511778864102,0.7081668220135685,0.7067152178444819,0.7051571849630927,0.7034929580034094,0.7017227875919205,0.6998469403097491,0.6978656986526082,-0.06392371208777534,0.007779924694909936,-0.053208489472983206,-0.05852223055665179,0.012346298001332363,0.027091238157611497,0.5063370739141168,0.59866155970487,0.5104854457054175,0.5644037620425676,0.7327241172059036,0.8682279716779117,1.0,0.9955946245330821,0.7938285507220706,0.6782681420201446,0.6382359738669994,0.5146577899908572
15,-504.94225780453536,0.4621138075949659,0.46200941601521545,0.461835447516819,0.46159192829878726,0.46127889503422753,0.4608963948647893,0.4604444853935964,0.459923234676544,0.45933272121209234,0.4586730339293776,0.45794427217488687,0.45714654569745455,0.45627997463176256,0.4553446894802171,0.4543408310933272,0.4532685506484715,0.45212800962713906,0.45091937979061447,0.4496428431541069,-0.05698330658907727,-0.012368416988421463,-0.052528178027658995,-0.07861875306529528,0.01661805882602772,0.02330844545102337,0.38018783894019503,0.6321405441217696,0.6842932318884849,0.779593718041043,1.0,0.9044533058893252,0.9610207286203164,0.943744972244254,0.5843987027836713,0.3502932250152233,0.3317211861588588,0.3131680486172652
16,-505.2690462181323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0597597591291109,-0.014188037692572516,-0.028718720120171043,-0.053771484941477626,0.019860060113821805,0.02998337568274867,0.4076562942762063,0.6087558990961266,0.6818895425147773,0.7393087743819323,1.0,0.825350673400538,0.9001839775431406,0.9357771608519069,0.5261915297314455,0.36058791184501093,0.33087363575129464,0.30158324844120826
17,-505.2690462181323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057318334717459216,-0.02121331047064885,-0.006055249253732353,-0.029463075994123858,0.02762896888174997,0.02323695956597848,0.3714404766330121,0.4582807620426333,0.42373446887153743,0.7170880332154365,1.0,0.6150660860660899,0.8245313334235108,0.9618900573733565,0.7339896026839824,0.6643777517037576,0.4268610525883265,0.38233547349717584
18,-505.2690462181323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0591205123836089,-0.027073179068113313,-0.03017960213413101,-0.03445314854721333,0.018667468418682498,0.010560191290808416,0.45121740439341435,0.7014062460216087,0.5746898408543027,0.6432431625553235,0.8789583849540223,0.61850849907874,0.6713987682035468,0.8304237553496082,1.0,0.798533392745209,0.5825164969316177,0.4884898161421412
19,-505.2690462181323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020566181031454862,-0.0016214986725687044,-0.003773217011700969,-0.044185078682944086,0.04247223802092876,0.018639961630710848,0.5235262766735973,0.7658341167607697,0.6404844101925891,0.6099772728543508,0.8701884517748067,0.6674538804101997,0.7067138415749434,1.0,0.875506565255152,0.5850974019427555,0.741292618583204,0.566470761701696
20,-505.1279780579015,0.199485483396302,0.19944041959511927,0.19936532080034677,0.199260198321585,0.19912506798989085,0.19895995015539703,0.19876486968424376,0.19853985595483423,0.19828494285339604,0.198000168768917,0.197685576587325,0.19734121368504365,0.19696713192185758,0.19656338763310613,0.19613004162119588,0.19566715914643695,0.1951748099172362,0.19465306807956778,0.1941020122058386,0.0032662861804332328,0.0027720015558765354,-0.0636970626817226,-0.01637646273408155,0.035954455246920675,0.023543514332272402,0.6202359545348476,0.7873503034193353,0.6589260866391256,0.6169398528150013,0.8835381731955058,0.7728316874859797,0.6487110138747735,0.8200592969003963,0.9473604424181569,1.0,0.78385807323881,0.550116127517876
