seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-471.8518739495735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10566203406555938,-0.04510066889655777,-0.14153382425450298,-0.30069711712942254,0.010598690212052526,0.13667792404432402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-471.8518739495735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12074133359731738,0.09053304665684167,0.11119100040452187,-0.3212287617897801,0.014483046398791225,0.020656580832679843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-471.8518739495735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011572498671839283,-0.04314887912440341,-0.05154976187940412,-0.23764725979996582,-0.003603207902150105,0.10232704837642159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-471.8518739495735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06671312595171795,-0.04978306741712875,0.06605697083573403,-0.1758053313428913,0.001267487002336555,0.09221906456745199,0.7277474845821634,0.7576101928734745,0.82648190092475,0.698427372847909,0.6771909423593067,0.6347809053042187,0.6465448404948353,0.6080884244117996,0.798161498274365,1.0,0.9502418975918122,0.8265361512964865
4,-471.8518739495735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08592168894579717,-0.08016885830702536,0.07245900585821237,-0.08593509004756114,-0.03275655235509683,0.0329372572216434,0.8635149008460312,0.9342600275633467,0.9405650147883274,0.9444865719542779,0.717539466998603,0.8358625021694656,0.8679792589746542,0.8820787750351636,0.8775878035039304,0.9843945908985354,1.0,0.9916603449556204
5,-471.8518739495735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0481888616497542,-0.11954982536566072,-0.007635478399439205,-0.06539252243780214,-0.09158821851658284,0.021422316569981337,0.8749237974539738,0.8630883316051469,0.7614161213077931,0.7820008139333428,0.8133251982182703,0.8626072682221062,0.9231102014124097,0.9633566294280556,0.8740865468749209,0.9492073786241677,0.9844465291875156,1.0
6,-471.8518739495735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13242759815570673,-0.07631444075800213,-0.0026372103657158336,-0.08513989740751475,-0.04950263644878393,0.02383822819713516,0.7699989813706629,0.6805699015778491,0.5997185714039709,0.6354383534236021,0.7303788823877129,0.9172466659786137,1.0,0.8986673523245335,0.7628726936055704,0.768988485949403,0.8055828621832183,0.8183258400040638
7,-471.8518739495735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023039685622533782,-0.01730794571976228,0.06820002350070886,-0.11249770348241629,-0.010931431550008872,0.01867425999817602,0.8537912740513619,0.6674350131685934,0.5777438252683624,0.5994874200995163,0.5818622160934427,0.7828610078870536,0.7956863142736744,0.6269039786679966,0.6357858133651071,0.7417183250242135,0.8886564542137233,1.0
8,-471.8518739495735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11625565605330909,-0.08432581593465574,0.11137664547961476,-0.12613375723824022,-0.01979824000401834,0.03565390694759055,0.9128097407545969,0.8457923070298176,0.7033197805344733,0.6768230578408242,0.6229026452840553,0.8784317706843792,0.7544436863022685,0.6192499435253576,0.5666775497432269,0.6129275668574891,0.8746252833953582,1.0
9,-471.8518739495735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12405964928551888,-0.08605423881747769,0.13505407151290066,-0.12663478389796803,-0.001450221393428127,0.0721310114275494,0.9408415214955279,0.883871798669576,0.8642630509166878,0.81013859387953,0.8324575181488668,0.9976604712388404,1.0,0.8388878682164168,0.7626441843121409,0.7738311009375743,0.9332149394718285,0.9880501579350867
