seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-532.7237642648327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03492198948778917,0.040461143575513545,-0.03308197206881994,-0.0024695470294011034,-0.048286516883884155,0.01031265153835513,0.18141644479532304,0.26436073463648346,0.717570271822577,1.0,0.23314598084076765,0.13473843550542114,0.11399468620156004,0.12290329154210441,0.1496903947005094,0.1589485332813374,0.1539632904258519,0.1515413465314582
1,-532.7237642648327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023314913799538064,0.041372855072962546,-0.038319261133020976,-0.0006845916310632291,-0.043919071262107374,0.011234589361607747,0.1514682003196619,0.22972617757367395,0.6319213745480963,1.0,0.20695078548907483,0.11123566513743857,0.1105728483592496,0.11689635433727943,0.12507387566830427,0.12012411723006976,0.1262424807812889,0.12590388824758555
2,-532.7237642648327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013611753328348903,0.045100350642036435,-0.04709032705586469,0.010808529842753897,-0.033092133946589684,0.009705156525728599,0.16561822273140286,0.19142011396307418,0.5913610011130538,1.0,0.1892034625654242,0.13877773352274644,0.11730044693500227,0.12710247504206584,0.09378217679865143,0.09354968876826232,0.11751516273767652,0.11171735760563714
3,-532.7237642648327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012093809105700936,0.04535432840196155,-0.05355468801605223,0.019322743292743468,-0.017528949052894004,0.006252221263418442,0.12711953341903234,0.17396643046955113,0.5557867915386117,1.0,0.17441544954955668,0.10056487505803709,0.10006096882345136,0.11092852082496607,0.0952861238607915,0.0768899672154997,0.09538145440750839,0.11329530239045196
4,-532.7237642648327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008687795452416481,0.041906680393099964,-0.0541340784619086,0.026520186021393687,-0.0030972800031275937,0.0005314530450100247,0.12709374949144897,0.18313277646114462,0.45985771948344584,1.0,0.18290498114622047,0.08599650205262853,0.09615525420290835,0.09176186154377702,0.11067293588952515,0.09412279967564754,0.09941942943902198,0.10000183538773608
5,-532.7237642648327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00444002831802093,0.03565303553558733,-0.053130539735703364,0.027166078287505013,0.004869815350394022,-0.005001225176953825,0.5400291671960349,0.5186080287669993,0.6732099445729136,1.0,0.4910747502266227,0.4436836695128236,0.44242390492179423,0.5147959701018285,0.46731144705277555,0.4542378026481705,0.46766775786367903,0.46402454440811874
6,-532.1513353068885,0.8092531854705243,0.8084026988807003,0.8069863689630361,0.8050059157033814,0.8024637438597317,0.7993629397452917,0.7957072670998422,0.7915011620550549,0.7867497272005632,0.7814587247587319,0.7756345688775279,0.7692843170517555,0.7624156606843526,0.7550369148005259,0.7471570069285864,0.7387854651625951,0.7299324054229129,0.7206085179319812,0.7108250529235038,0.003756465810399778,0.029403474017003703,-0.05724039664588265,0.02499005313742099,0.007605959038072719,-0.009232444441358217,0.7536791652107048,0.8326719077920818,0.8624219740027604,0.8751234933872312,0.7888394250886435,0.9005018264519864,1.0,0.9885481792782794,0.5870595273117113,0.5123981719457815,0.5073270019991656,0.569104646615698
7,-530.1556238988421,3.623015450756433,3.596494223220267,3.5527206632605366,3.492329592328041,3.4161940966973847,3.3254102134175314,3.2212777328465765,3.1052774737325306,2.9790454517166634,2.844344418980329,2.703033300451243,2.5570350896362175,2.4083037940522916,2.258791035901795,2.1104129178108866,1.9650177560836055,1.824355265198048,1.690047747591055,1.5635638027598713,0.005641541568446627,0.02742270624006738,-0.04697949868263673,0.011485837197071124,0.00685052124100164,-0.01673390773178292,0.5547754581754349,0.7131485839238362,0.7349919040199013,0.6744632092282741,0.7401742299051148,0.8703963862642486,1.0,0.9660679397152404,0.5918968363819922,0.4981279453214963,0.5766157567534932,0.549565565593237
8,-527.451186049713,7.4335358612148585,7.364853181743451,7.251590191500451,7.0955341089593205,6.899137605052502,6.665470649842408,6.39816039930234,6.101320414544041,5.7794707320765255,5.437450495613328,5.080325013288913,4.713289215530692,4.341569555865059,3.9703264182537445,3.604559069857304,3.249015128170007,2.9081063980700956,2.5858327802862897,2.28571576182699,-0.0011483567723648636,0.02343031663343571,-0.012009892183968696,0.016013740392125903,0.0032912104209764435,-0.016347792222588912,0.6498070004813632,0.6240217869724374,0.624687949776725,0.6341953083788224,0.7049005484941441,0.7948510310093235,0.953375505378905,1.0,0.8365787433992213,0.7694064405433539,0.7475762706716553,0.6899489043724607
9,-527.5024923983767,7.3686016200909075,7.322590205725826,7.2464496318544835,7.140990027982112,7.0073305976441835,6.846884903496352,6.6613423190466605,6.452645917213365,6.222967117212923,5.974677457597237,5.71031790385304,5.4325661332339,5.144202266897933,4.8480735395710575,4.547058409558444,4.244030616822973,3.941823693998825,3.6431964246965634,3.350799725490516,-0.016696365753619664,0.0216903924960829,0.02068660578652695,0.017957409575398896,-0.002199691606424824,-0.022060801301967674,0.8043865794175036,0.9189988684526232,0.991785651274861,1.0,0.952726505261695,0.9264787211810079,0.9114739668986042,0.846884630134436,0.7699075785636501,0.693313537635349,0.6647150644148516,0.7299305754195773
10,-528.6277622322655,5.782162657199962,5.750974259026465,5.699616558957521,5.629005293488225,5.540385718096858,5.435297306592433,5.315530412934079,5.183076331372998,5.040072402815159,4.888743969314593,4.731345069333044,4.57009979089085,4.4071461574322495,4.244484313993253,4.083930613283731,3.927078978940035,3.775270654763995,3.629573144148245,3.4907688142545434,-0.021308722674217677,0.021631855381842008,0.04066866110955042,0.013869125352161027,-0.004837214378317655,-0.018369650373646615,0.8692050969189108,0.9129848059790472,0.9661236253970451,0.9872377828151869,1.0,0.989203562694278,0.969910580193132,0.9166118675304734,0.8724315217102836,0.8085388184981865,0.8546891609347491,0.8135106613902887
