seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,19.315097497423995,121.93757291248842,-61.65351016430219,32.15856715830182,5.883504776167379,29.22936274337414,-12.648562894617335,8.047841658563003,-19.39629014502374,4.377083093991734,2.235546637712807,11.217208787980216,2.2382530466116823,9.982890715353157,1.3174043185284052,-9.417104031224934,-2.3388874820172525,-13.153494806937395,-1.7061886816516751,-6.29954929532027,0.059329783287761145,0.019555621223590038,0.025844146481003638,0.026034774693159648,-0.0121149768291378,-0.034126889893908774,0.41084142427994375,0.3099602869625984,0.6650360182987359,0.7157312273868041,0.527963632219913,0.43002499464700167,0.4822539627344604,1.0,0.9637021823725476,0.6218795688393365,0.638095269426425,0.4801774572094468
1,14.357325010884708,128.6416094807717,-70.4978669030994,38.52519712431598,-2.2235206240795238,34.84308114865757,-17.523309943952544,15.013726718056475,-16.42125153766289,4.552344946428305,-1.534916583896862,13.927023993606339,0.46962379503718255,7.234201066925325,0.24777151159515665,-12.159940827824466,-3.139759915090634,-13.31114855365678,-0.8454544171363183,-5.901007724455189,0.019557098759185067,-0.004209816872705716,-0.04654801805702494,0.044023046718277066,-0.0015163114182991093,-0.0047236859970463145,0.5510828350898722,0.5524274131556314,0.5197673864355095,0.5913582697857661,0.7427612815138683,0.9116789787454996,0.678356505899229,1.0,0.8858374965093612,0.6294523956330043,0.6507276193417416,0.5060751895595236
2,1.0401324307515394,134.21335999256956,-78.79799797294598,51.92932994184409,-15.967449949720015,42.17730450846893,-18.90726942760967,27.674707448426798,-11.979646319474629,8.987790193071021,-5.416442100116172,9.060205848336652,-1.904765746528207,4.979311833010449,1.94239679911936,-13.445070209985108,-4.556046262022079,-17.257962186339384,1.1667866574571832,-9.960468394743756,-0.006378029901758786,-0.00617768512074511,-0.04017999879339598,-0.028191238203573932,0.002052958865047837,-0.030580171486127454,0.6134773320570416,0.7614751014780888,0.6273728621488948,0.5200578605961518,0.6748586848267641,1.0,0.5271507543597943,0.45909771708952524,0.47247920227166396,0.4404034850020295,0.5532186033046608,0.5174133373185299
3,-1.6250263024842109,139.60442945362323,-77.87667200013527,48.02001286944321,-19.038276232308313,36.996526985130096,-20.12665751460525,28.288965607875866,-12.538318012453345,8.764804156387834,-7.3045223424086805,3.892956253435757,-1.2648014019737288,3.372640939257866,0.15508075805395527,-13.694520948619544,-5.42897822233307,-19.131384378264663,1.4861157369852915,-13.929724425733678,-0.01271241781711331,-0.015088253102594287,0.003783912121874164,-0.06754243132171546,0.016957330680751725,-0.013823509519148182,0.5939609900865238,0.9300977779835348,0.8857117982467267,0.8079143234511715,1.0,0.9173777803367472,0.592808870140318,0.4941775674493775,0.5017689818120089,0.4229974315309949,0.4595723528768805,0.414424089968505
4,-0.9791492069638543,149.8527135011735,-79.83323591621897,37.5660953543165,-19.65698117186389,41.10112842022659,-22.8262995338533,21.856611679054524,-17.099049569371473,7.815580422490042,-1.7123378847465718,1.5315652796678827,3.155126866332533,5.956289016559208,3.296008854993925,-11.954470099680746,-6.805561333714745,-17.967323946964527,2.1734171366793937,-13.508982872043212,0.03352052165645431,-0.013550294096641559,-0.004529772192822398,-0.034298348933847235,0.01767658568851671,-0.023568430239307117,0.43999324606879203,0.6845476302398573,0.6673332236167528,0.7253043634648417,1.0,0.9823448521066027,0.5152887550294776,0.5244285393443359,0.5580408280599836,0.7636107044838956,0.5821635714526312,0.3295094529363238
5,-2.809332525206105,160.4823461428585,-74.47880079616638,42.972331580854444,-24.207291887655476,41.64161036079848,-18.87990372565867,19.514196978023982,-13.355001877128949,6.670075428050544,8.481153183914174,2.1198552734746348,6.429818384705396,2.7168317739344867,4.91281668486398,-14.100829663708165,-7.938226154644936,-14.145228061053444,4.469419205876072,-3.1422970766251117,-0.012632838169994142,0.021041645587782137,0.03160443793945597,-0.08828971704306496,0.0009420920994542053,-0.002617117272923126,0.644157788422519,0.8539318159998114,0.7414717561926735,0.9078190910379417,0.8009633390229949,1.0,0.7919424085193253,0.7246969050271834,0.7313729384655204,0.8385436060100452,0.7480585187139042,0.5973394505206635
6,-11.463780833359284,163.5674795108797,-72.74046013995113,48.45885997777659,-24.33743615122844,43.09807522806094,-20.34855641971781,19.144336367634224,-6.451397853645259,-0.04935069630263067,6.511046322889176,-0.6914544538604342,9.99763066773152,-1.4095896082088464,8.345082765593913,-12.77134541329989,-2.284279861912322,-10.169810222470606,3.7839925694714394,-1.3343786618733284,-0.015154130948383053,0.038722851045337986,-0.016836435956697218,-0.11890519356725168,0.0035455342885679325,-0.009902540171810331,0.6502429272418969,0.8329740965417992,0.7611444244087905,0.7667585520903536,0.6469838581818245,1.0,0.6928285167777449,0.6517599303788817,0.6009491864875132,0.5624922358953299,0.6490657479098797,0.6617839569619798
7,-14.16530489885833,166.5735119224917,-68.63203035817688,46.23073291248999,-24.181019618416393,37.85191968393043,-21.5320185590691,18.139469524894864,-6.813038282545746,2.4291881853300215,1.854440645234559,-0.6400250235978632,5.17670817026777,-0.17699070693755425,11.573711613780802,-5.144990606892831,4.599629201014043,-7.578389167604147,4.609083414600494,-8.58019987906642,-0.004606185076843212,0.06814712890917833,-0.023161716137634257,-0.13010207026597892,0.012983001926197816,0.002490168838412779,0.6830553253346556,0.6466633293244963,0.7705183021847641,0.9394556596293212,0.8596387100569725,1.0,0.5277129441207576,0.6526901322207797,0.7245832873067316,0.695456032094085,0.680226166747101,0.5991962145056525
8,-14.620122522434913,164.0589714899359,-68.35223331082997,46.373079258999894,-25.626064349658837,36.52941689067107,-23.12547812027232,14.930070923096855,-3.622897853958448,4.990689683130509,0.8834413781374457,3.3193414586507592,5.666876043822878,-4.251645317247538,3.102497326935598,-3.9713648753164454,4.177018045937233,-8.734747284620585,4.29720727891146,-7.730379019154137,0.034701682345013654,0.06062782677720432,-0.003600026411034518,-0.140273133142106,0.007381613846470713,0.02249122485874943,0.8346592571383495,0.7679240787276695,0.7319757446549361,0.76430851485282,0.7017846516321775,0.6458846241309005,0.34238529435069287,0.7009811680321892,1.0,0.7158170825671389,0.7077589595973219,0.6984706089069559
9,-13.939473771735729,165.5763965682477,-67.34426781202461,45.56888161682254,-28.286516450931465,35.62268188460952,-22.252154310851637,14.885067256182275,-4.460969300766559,3.687480094811504,3.048257852502248,2.4346604524107383,6.309088489168108,-0.0055008252792676515,0.8311130285880004,-3.685268882200376,7.892610704052219,-5.22204522242291,5.39607184540707,-7.990518096290553,0.02452616732655425,0.05715502068127125,0.003633963883372275,-0.14412581532989968,0.011231317717311728,0.03479205618519811,0.49946872155232674,0.6695876422247092,0.6839842347224875,0.8966163337594916,0.6886997885585989,0.8257383971033548,0.4566191954965372,0.6345012568106462,1.0,0.8480442290758474,0.8632038974381615,0.6550294174389963
