seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-550.1402618189325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07326490281507692,0.2437036933637974,0.12945894078816678,0.1947206812674024,-0.08682809208744438,0.0178106268294436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-550.1402618189325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009141933159265552,0.2686595898572641,0.03418216609363314,0.029682239121336926,-0.06256994945387033,0.06786334847031786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-550.1402618189325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020061519240977554,0.32612355673011023,0.03785973945323995,0.15858909632145868,-0.051814041156865276,0.130463056724893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-550.1402618189325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08571996753400865,0.2958137443171417,0.0628155076057801,0.2294481569723047,0.01125775380080485,0.08355988431617511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-550.1402618189325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03334058446598167,0.13240762626071467,0.06131388375728404,0.211534608279752,0.031446261356515,0.062195567059982776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-550.1402618189325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020035807778801526,0.024569558562751587,0.067093360544744,0.19721029608665444,0.02788071038985795,0.05490053507196524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-550.1402618189325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036933924607698246,0.10268359665079038,-0.00030420594170676996,0.08891851493804671,0.05906466366223952,0.05196963303121424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-550.1402618189325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028202476359608927,0.04635137075148226,0.014028171915293902,0.14287054886803927,-0.009067822139332972,0.024630623731289436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-550.1402618189325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02265992346506249,0.04517937720977526,-0.030683917013016204,0.11010497305223449,0.01419943532752299,0.029498058922258284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-550.1402618189325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02732763679522214,0.04097041462681381,-0.008840437150052533,0.0813011208622299,0.00750518191151176,0.009395798648402433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-550.1402618189325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0360299767138263,0.03877111464646198,-0.027175454825926648,0.07227069240425461,0.01174453822530595,0.017239578542767114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-550.1402618189325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022182884029187264,0.03682343593893545,-0.0243158965188619,0.09303143104853587,0.002351733591221787,0.0075923818484430125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-550.1402618189325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014404804893118893,0.03149019120273449,-0.03043289458080664,0.05855867864252923,-0.0022295371105588175,0.020251429913328185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-550.1402618189325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002809982006449504,0.031136532630194523,-0.007554127715423797,0.03974554557369023,0.00797012368977774,0.018526447005674587,0.9357852154498575,0.9053091844269239,0.9361492225512367,0.9813175084058966,1.0,0.9933764638143001,0.9019763890678103,0.89589584008463,0.9107249351737504,0.9284536308621376,0.8965059475951228,0.8974793459020535
14,-548.4674065760412,2.3650527001358115,2.362887928987719,2.3592827946018238,2.35424151933006,2.347770006591718,2.339875833012795,2.3305682383377055,2.3198581131269576,2.307757984257461,2.2942819982450957,2.279445902412032,2.2632670239243424,2.2457642467282306,2.2269579864160542,2.206870163056177,2.1855241720233423,2.162944852869063,2.139158456274132,2.1141926091278886,-0.004494402982311578,0.014473254995391496,-0.011719823575541688,0.047516300466577545,-0.001600575711585569,0.00701738620748437,0.7383038013904678,0.8216518207313295,0.9188963411204926,0.9746577252949956,1.0,0.9985985366318935,0.924987808854675,0.8675778653796896,0.7663529584677046,0.7034599393776654,0.642528147227315,0.6385231600234874
15,-543.7119301314156,9.057980822705558,8.959466722064526,8.797410343618068,8.57495610224694,8.29639527138022,7.967058830830346,7.59318493804018,7.181764734684211,6.740370792910971,6.276972969725418,5.799746760643705,5.316879415733749,4.836379098045338,4.365892226557304,3.9125338581841245,3.482735535707177,3.0821144745837574,2.715367299086198,2.3861907880025326,-0.010695850848248341,0.004005240390028579,-0.013213491224276563,0.026878307386204902,-0.007815772767193557,-0.00047716956089550316,0.8449542106202484,0.8568111859823676,0.9428352990641284,1.0,0.95784838601152,0.887915956986447,0.8140634685692676,0.7690684627688389,0.7887461179152474,0.7974670730937041,0.7869404963965927,0.7855560687557547
