seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-223.16460804885702,103.73470595826431,-11.43613297281098,-1.6245123115001296,-0.8517761704966719,7.46466283059409,2.910233692940399,-0.9489924889112388,-0.5694286624167817,8.49577847750302,9.659642265851716,5.205920726828882,0.608646637190265,3.758828575864103,2.5546360185551373,-13.936923276449003,-18.622415713181958,-1.3172557937420086,5.123500753336037,3.96569469496998,0.07864229021610519,0.09570423009910586,0.05685929955305742,0.03402239147574831,0.005811524974009238,0.0716360224663842,0.5705486238160087,0.7656867529465318,0.532786031862262,0.6155765063096816,0.39540477273021873,0.29527407711410586,0.670394508773329,1.0,0.6872838297540513,0.39147606301532095,0.25048913683054724,0.3117285210159402
1,-213.3371209096244,145.2542957523313,-10.79361126536582,6.4489871728083346,6.981036842239967,6.408339250786547,-1.2698847817094432,-0.7849747677378127,-5.216724381287801,3.089899609008807,2.8681883415586618,2.1158963835488653,-3.3136523096571793,-2.3205998761814324,-2.6563090804337675,-6.930296798564706,-2.7414481456277495,9.734654795034071,9.067411129098915,4.273167011762532,0.04888610013543784,0.08175377709174785,0.044235897068829695,0.046426189529659774,0.014080834920973211,0.05087038914044323,0.8356823559963877,0.7420012895602222,0.5543498358064664,0.3898467848062424,0.40144291769121104,0.43663031472243546,0.4158264144839947,0.9594709655963923,1.0,0.7436415226072154,0.7048177020707984,0.774187206780441
2,-214.48097060684916,180.16201483978602,-36.15349861748683,13.78491657374292,5.49044188643487,11.91923999976251,-9.616905189273837,1.9810963260700742,-10.75924369977145,8.671061169235834,-6.25958948729429,8.871285425083844,-3.510997271598369,1.6358601248417868,-7.518023758799486,-1.5306688057689166,-0.1899864671681789,10.530386615404396,2.0784881121325673,1.5412976860700274,0.05991804196989514,0.050258743527092954,0.04530903187734607,0.0585912982900876,0.003369613607230477,0.03953595768567492,0.7544495892327089,0.594622224397182,0.9957259123998964,0.5082086391332253,0.3832522070958621,0.3792918898218137,0.36587889056792366,1.0,0.9614122746605674,0.684815186037431,0.5850941069391732,0.8170600557952337
3,-156.12318252964678,154.11339039334595,-28.561490600276045,31.37819005478977,-19.135503877845913,28.403781064810214,-15.046835446765051,16.622822639227092,-14.105732180622933,12.44055383234703,-19.13961564613299,13.17463928615636,-10.514722314388369,11.86963280818263,-11.92539512720446,0.4168730270328123,-1.0850022462643594,9.235514991549369,-4.551651947438737,-4.264866517112877,0.04181471633324703,0.03680423389577728,0.01846444728006666,0.05439148767894731,-0.0011508770782029465,0.032332117899544204,0.887349737923089,0.553491881569376,1.0,0.6133418794765442,0.5276411275025504,0.4845018052083665,0.3602401188287499,0.4048909510138432,0.37971338233733165,0.5505397799355644,0.49229838851066093,0.6911380819096904
4,-89.88608732847533,142.0422915639955,-18.17532843631109,33.27362982750163,-16.87045253400089,20.55425621063002,-9.40843237575225,23.875074731591774,-2.759204927013908,14.138869586220503,-16.578528305668016,10.597562404029901,-13.173805964706302,9.787898696753164,-16.490471818018825,0.6478561598188378,-4.508398145142219,9.951480259334067,-7.84456418507009,2.240469155127113,0.020205416844766618,0.01966863310551582,-0.034355211196942265,0.08573995328928069,-0.0019385821175163132,0.019947761523713366,1.0,0.7416548549666615,0.8438749778686327,0.6095214612461362,0.8185766250261864,0.7925680265479308,0.5145304519401648,0.47361707437425915,0.597862490673588,0.8417408572656838,0.8336905382237834,0.7963308318420517
5,-80.46678176821803,138.9223245262759,-10.829769311621785,32.04246148482561,-11.49392047047742,16.48532423000896,-9.46795088727385,21.766957986727057,0.1967718259467074,9.203877325540983,-13.87294295415764,8.396633370672285,-9.99744024309651,11.222102906916398,-14.149236415599166,3.4253561994043435,-5.100710761996622,10.254265457899983,-8.32740052029956,5.668694483417694,0.026625357461227364,0.003394268207666808,-0.042997398918752566,0.07542829577711994,-0.011324312823795653,0.009880046341972589,0.9555422304805634,0.8805479167110974,1.0,0.8145678360933172,0.8274284258847979,0.7797799103806426,0.5215928438669367,0.4536485702326115,0.5386758954400677,0.5757204260791633,0.5717046077338904,0.6592769865901649
6,-88.78918336189827,134.018045926703,-16.43415868462723,33.63812213264341,-8.631781048902115,21.736543460769852,-6.2595676208742805,14.972508439043427,-8.638948059541967,7.054063588029093,-7.965337871306746,12.830419610004778,-1.7693094094492032,16.352514663545367,-10.808565756491202,3.9381097574613593,-6.565914523933924,10.485142802840459,-9.119507918100958,4.571132415726165,0.02748107476977013,-0.010598341260628513,-0.039532712057005245,0.0495442789524021,-0.015174526314264384,0.027638748976391535,0.9444568833131641,0.6485530801554089,1.0,0.9505059822626045,0.7401425957299103,0.7548188346025407,0.6744627807900021,0.5529949839278212,0.6178991581118795,0.6074913675871061,0.5556681324586958,0.6858990807843486
7,-88.16831957297346,136.7306406548344,-24.704929262694268,36.524650645649686,-9.446122379634478,14.679141974510646,-16.015812494719633,14.127099204267356,-14.72006362680004,10.138551516723183,-12.24819270317303,15.21291955081795,-5.698351001605963,14.847040189623156,-10.55444898590121,5.001733465919867,-8.571797769467286,11.250816806644103,-8.451018945408787,4.23640883413338,0.03764365289014164,0.0009267725757802497,-0.07762920612256925,0.02959487515718866,-0.009493872507439225,0.013816936469373138,0.8311650788473351,0.5791246785765239,0.6971990052872133,0.4761390630979213,0.6818384141243278,0.9824460767268817,0.7204285631637795,0.6084078226842532,0.8800887967075223,1.0,0.6360977181427568,0.519242363378446
8,-87.46750454887295,135.47044538286568,-26.692538307431,35.7894302377381,-10.830377390899873,11.043384037518948,-17.40168275040197,21.827550068572428,-14.155980753168468,6.492252939486961,-16.931736087049615,9.874489768495796,-16.081539550740498,14.55010698955152,-10.974710345256419,3.3108854419524745,-12.481522739024733,11.407847726638103,-11.937178312628275,3.0114548073640224,0.03568853461456527,-0.004545841398189927,-0.1019637514513739,0.0009341944461366572,-0.012084170875276901,0.024148142080944696,0.5495675288132739,0.4461500429888098,0.7163227631448819,0.6912838569197233,0.9524918267438545,1.0,0.6398131351336792,0.27534957978156765,0.3628093983449432,0.6166310710380071,0.4116044442257471,0.39465760883054396
9,-86.98563979640859,135.5334331404091,-24.9104182697312,37.754081542615424,-14.0492512775567,9.770241841787378,-15.129546735070697,20.097485402151797,-13.932576295760395,8.636996409472772,-13.20905339434569,9.737439975165902,-14.181129073166822,21.10680192169438,-8.877128675741389,1.9174415801814768,-15.480011738226269,9.798845307139462,-6.683828800441986,8.382611105407875,0.02880722672655905,-0.0025369037838928023,-0.09966085848663858,0.01747584741537859,-0.014726380576483651,0.03407364533650641,0.6637094643842596,0.5926399386405741,0.8867166527917484,0.8849215301774518,1.0,0.894984722288763,0.6090239505585159,0.19458943695523706,0.32479008607748716,0.5896472642644403,0.36922548158727003,0.38697091176127335
