seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-608.2410528448723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039330258248164,0.19937926108363463,-0.14849132546611435,0.36803674196445685,0.0752382596387647,0.14076381988078437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-608.2410528448723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05607677281653207,0.16178377833478033,-0.09340010831567169,0.23467729619313268,0.04074520804796572,0.10260252499844709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-608.2410528448723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03413180939880294,0.16450290448793636,-0.08794170784048984,0.15518698693023034,0.016225106171259943,0.07459177969413239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-608.2410528448723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010429058386422264,0.12656998166330752,-0.11101451891821859,0.10864243531666418,0.00391613390610726,0.05599001985560395,0.7325228832531349,0.7233276749530102,1.0,0.7691105108173253,0.5760571087341695,0.3790419186238808,0.38708219422066065,0.538373927659688,0.5830421421968515,0.4884647983391503,0.5590860044573339,0.7099779811747955
4,-608.2410528448723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016911360010331517,0.12483745990996077,-0.0857303259037897,0.0941334885089339,0.024427047034390956,0.049361798038593835,0.5236549701842158,0.5898584170451061,0.978361285525729,1.0,0.6819983962187357,0.38331329180976226,0.37131247538569206,0.37021980161873,0.4074817499411029,0.38676475966338036,0.43498155630849494,0.5109501261479307
5,-608.2410528448723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011302828563029487,0.11498426415078268,-0.048870416039096115,0.09729998478131595,0.027047766761626346,0.056431353740266914,0.2981421141635134,0.4752856823861349,0.7986738231459835,1.0,0.6536532286676526,0.27927924441580537,0.18841373962266658,0.1553064206987711,0.1862468523425842,0.20374022427546704,0.20301130412022556,0.2580703267399332
6,-608.2410528448723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011145875620467772,0.08301523539315558,-0.04887370774645647,0.1120425163492585,0.014363124432839526,0.0586020382687715,0.2623715064344652,0.5421793687714859,0.8993578390231227,1.0,0.6845978868361747,0.2651112311712424,0.14851980739726203,0.13272539381900006,0.18048990256817138,0.2654932960997783,0.20530198037588912,0.22139898342532394
7,-608.2410528448723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017487687568407105,0.07638463788333652,-0.07933787981110568,0.10739839323677748,0.01850586342543807,0.0562435499582469,0.34392333772032496,0.5952922020366859,0.9775366506175014,1.0,0.6878971324376393,0.27781323660837093,0.2093169962461653,0.19224667981144183,0.20799356402190355,0.3283704824894943,0.23255412379551224,0.23655755526029684
8,-608.2410528448723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029554126733488652,0.10232741313973037,-0.07371542943102227,0.10038597078774461,0.022916384736344622,0.05261567149004243,0.3174911604543704,0.46040540852564504,0.8451987952769561,1.0,0.7112382953312263,0.28853294842001503,0.17689700769026825,0.18371086447822738,0.24319281433538975,0.2737505263808426,0.2567581371544949,0.30213103468945324
9,-608.2410528448723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0507809591364857,0.07411437629696965,-0.0555640135956143,0.08852659414918286,0.020787696730391252,0.035477462620039826,0.36435648724174297,0.5614746731274148,1.0,0.9913241493712048,0.8207464398661725,0.32360689522427144,0.19500942610528066,0.22665854436490143,0.2854112656368279,0.39235035298001375,0.27065670161372324,0.33709326081537105
10,-608.2410528448723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050069663275518025,0.04795388221193192,-0.026969355246503346,0.0660511344930709,0.017294319177524855,0.018953606340224742,0.25874100978900993,0.5535554658234011,1.0,0.9376937111898864,0.9100527252282686,0.25542709155928,0.18436053404002808,0.1850149138021619,0.15934761109209689,0.2080742006922038,0.16331927632036952,0.1975486230534162
