seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-551.3054084588322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08678658769334774,0.08787363290536268,-0.010229570784471426,0.013259029540877739,-0.016875470805361004,-0.01794327458471131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-551.3054084588322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046924213157297695,0.03919618503151207,-0.022452336587464927,0.04107200159618788,-0.019016374398714366,-0.01853005723248878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-549.0262707396041,3.2161701684682122,3.195182336157381,3.1604154637389534,3.1121861852834307,3.050932549100115,2.9772088635866476,2.8916791908171735,2.795109575679416,2.6883591152040602,2.5723699880221518,2.4481565774140934,2.316793832985289,2.179405025452892,2.037149056226756,1.8912074883190448,1.7427714675626973,1.5930287031365242,1.443150674000623,1.2942802230905635,0.016954547901360414,-0.005257349721480678,-0.025945238942016363,0.043500345962442045,-0.015166361233223086,-0.0075732022130561814,0.9470406661407961,0.9204809692816632,0.9592760870155018,0.9702769316256645,1.0,0.9866644010874014,0.9308550685991706,0.9354505632449254,0.9434184774291358,0.9304678543166748,0.9134876944437258,0.9387859229524416
3,-537.1965732977455,19.765957892392315,19.23729359403266,18.447618536869733,17.487547091874532,16.41782364404865,15.250456956140049,13.960779491961354,12.52272560287744,10.946331511823473,9.295156484470493,7.672750876354783,6.1849549315408385,4.898658432574321,3.819806452330228,2.9026662118599327,2.0847872178121056,1.3276766897688146,0.6401561872970263,0.07139010430790001,0.02109188645229119,-0.01917238155970931,-0.041361754197932116,0.04551667890767097,-0.005706732537354382,0.0018806327239629037,0.8756587273421667,0.7592238242775365,0.7125425857625727,0.726543319290494,0.7547248815781943,0.7641812081005267,0.7923085183667435,0.8951180240192512,0.9967793755079094,1.0,0.9311375279762425,0.9371050011992215
4,-535.1492680121961,21.935253673426374,20.030731790161802,18.404836535895225,17.265346857895835,16.384751066956277,16.03770103274866,16.144826891220006,15.529590468682372,13.31263435750978,10.263985483295627,7.70270442138501,5.913860657610083,4.659058511013724,4.19079221198015,4.4884977469645,4.407508612406631,2.9567364888090473,0.7586770193456804,-0.9038501463093087,0.01158848643820661,-0.007069510433622307,-0.05826912606686943,0.06945468266702662,-0.004000627842182293,-0.0032546881911955892,0.5746927098418286,0.4269487043162239,0.3623673989620399,0.39794025263487,0.4760883044249832,0.5439782328364261,0.647183069644073,0.8381397772778134,1.0,0.9773299638714239,0.7984865177397864,0.7149224285926462
5,-537.498474326804,18.499124872423103,16.570476996764967,15.324475581100454,14.62398840274688,13.861000753390393,13.584623056955504,14.068694943692627,13.879927049215102,11.814503633898228,8.913729552811422,6.809805251863416,5.469405277234587,4.2679647023987455,3.7164377020767154,4.162668407659721,4.218889191063248,2.5594422910405035,0.10928131005211458,-1.4373983120308838,-0.034317093238376235,0.020209772473586872,-0.08191290728990944,0.0761378113505342,-0.01570304002635493,-0.005348111848725762,0.2274806044459886,0.18200168190684743,0.21505841321882715,0.2616482006914583,0.32296700563321085,0.3751867279034945,0.4756860960494226,0.7282131997406859,1.0,0.9755429910035899,0.6823775008704099,0.4442626058177874
6,-539.4063345729373,16.24475816260343,14.922654094143947,13.640522141643242,12.8185542122635,12.52832360178099,12.724773642060628,13.035223076018166,12.707082818472724,11.286323435380936,9.16753482311022,7.14416838781211,5.672567824276204,4.840156764452619,4.616438781332392,4.6653402198334675,4.251702287521413,2.8813895008943966,0.8942001545997893,-0.9285171280410892,-0.05042880302210812,0.007436233739981733,-0.10330229605625155,0.06492312017246975,-0.024545496379106843,0.018033628833586095,0.4057196812783389,0.26955431191663903,0.20791536550686127,0.23103969739255525,0.30195002786098,0.37201421409235846,0.49884634791152055,0.7480205228689967,1.0,0.9908526810202146,0.7672122142068082,0.6109640356638592
7,-538.9541148695592,16.947795546146875,15.655770780434793,14.232309080416584,13.314410908355514,13.168124453204811,13.547182770015294,13.848381778289532,13.463757544778527,12.128686194524754,10.076548702417732,7.916603112335675,6.298448425383095,5.545857623975295,5.470585149464872,5.483830023150112,4.948763474709534,3.565356749541379,1.5530540897606184,-0.47816704538884114,-0.01086643393676382,-0.02637632540805422,-0.06493264594510073,0.022538804809369494,-0.010078052255053965,0.04035880225458695,0.3750578573619275,0.26272829354555705,0.23766000682553282,0.28514414686861933,0.36311292399580375,0.4358868743757043,0.5673827603211996,0.8001701767623273,1.0,0.9645961090190935,0.7354650060077967,0.578925123392939
8,-539.3289922249407,16.280087687311525,14.89624658036887,13.729707538178113,13.045456144716969,12.745951899827832,12.93396795153243,13.403576044274153,13.251624236767132,11.848420915924564,9.732448977121312,7.8758778051700755,6.594260617617404,5.78814244108141,5.554521244655058,5.736826205969778,5.468430868721301,4.069481668074467,2.0095078482577295,0.2644442501097356,0.008412432245765307,-0.04524356997641219,-0.04147104532148754,0.02844385226106705,-0.0049532009061581395,0.023685378450826862,0.22457744648677247,0.17949999062077152,0.24221499463165194,0.33202126029854184,0.42786084967139365,0.5044312261929901,0.6176867074300978,0.8277171015225033,1.0,0.9368064132678668,0.6541612982024493,0.43751388042544226
9,-481.53774969687254,66.95057069605033,9.390170030732074,-15.814840946223793,-4.194038993940291,10.559694543371547,13.279783442449883,11.821563799503803,10.149779846714678,7.33771532307547,5.655444471182456,2.87992837457979,-5.123761701975241,-9.367083035315915,0.8730899012308534,13.154901260610846,6.8878394131228555,-10.847039918742798,-15.06631431000503,-3.15928760220621,0.020265254723924774,-0.012405805353362068,-0.031066915910902465,0.03300236422930336,0.0028371539374273387,0.004651373668220805,0.9320892437085254,1.0,0.831500911515079,0.5028692405399391,0.37437371459326235,0.3971306919030231,0.38753178479937966,0.6213907581478068,0.7725073743827827,0.7152794126380139,0.752595363504287,0.9786121413823748
10,-277.9235847241795,164.90516316239845,-49.65448892326923,-10.705060975418904,-1.7839100446167917,4.368864813372493,17.45352198216981,-8.737954146841899,-14.706042204768485,-13.365655241155524,-5.673052446224769,-2.23624307776996,-14.950600625926587,-22.87292525522269,-13.872688114159306,8.790384726046074,-2.719432135642449,-26.25779154224366,-19.13262996706107,-8.812969333403773,-0.004444853216994324,0.011138715669431101,-0.03809795170476529,0.029805923214681576,0.01093994596583744,0.0015614126734042888,0.3462925954043478,0.4427281192485503,0.4745660864788688,0.35163655509396646,0.2884370493147171,0.19773716217667756,0.3218190469207849,1.0,0.8049112574083312,0.5154032594011595,0.6419150436959818,0.6204295158803129
11,-188.1429276623875,180.27102483940047,-61.72078342103603,4.761022121871835,-10.600459628114056,13.715795774581737,11.683331296103852,-6.476628434964027,-13.098630582986733,-7.302051346572318,-4.864605969066022,-6.406554169008931,-16.81100595162838,-22.678226589494912,-8.255936716622688,6.867036047697347,-3.076805966970362,-23.93236459959905,-17.465410568091865,-10.720644260357473,0.012300345912433137,-0.01366014654651297,0.04823938248618395,0.02536547572709801,-0.0022401308242983708,-0.022772442954093846,0.43275055498074655,0.3636988987123814,0.3334468397857736,0.2736685962279079,0.34199389453713996,0.21047415080626117,0.38681372071782805,1.0,0.685691754123121,0.41005144576802033,0.7381272090984158,0.8093246183659236
12,-113.43961848648561,131.45378351156637,-49.1478014578266,30.259562805192175,-34.843242376830645,31.79732274957399,-13.594393677381053,8.331926395255666,-19.64312469660451,0.09485174478525796,-14.4068943134667,-2.625722334001921,-20.275251351270335,-15.546909027455214,1.1977379882643833,4.570894318046644,-1.189178303816801,-21.03381429373482,-13.621892341033103,-14.893842826999652,0.014072494162507825,-0.00834143089312707,0.04813740135576486,-0.030242310587017703,-0.005292273641599117,-0.03687237676148627,0.524444833023451,0.5551867866791106,0.5762391561914241,0.34133433944250036,0.35856480648931377,0.19270438033228757,0.404137031380507,1.0,0.47290295986563485,0.22708699498567506,0.7771770968817426,0.85564814983246
13,-68.25594616364693,108.85331620842814,-51.60999360178751,49.09261637547547,-46.799687951436816,27.03985374306548,-27.059836890307388,19.447913355443845,-20.680502589331994,8.051666009055168,-16.38919421012389,-5.919773942244083,-22.42280401461977,-11.357764576036988,0.8221024735070752,0.43184874508993754,-0.11171026855054067,-20.172579926912704,-11.061873190311198,-14.42919777135085,0.004001192560723469,0.005050782601000773,0.019073860119881547,-0.01303616345522029,-0.005172367478286577,-0.0032479870594052107,0.940693105390315,0.8477449754008276,0.7839024484682878,0.5063282489486585,0.472668621815232,0.33289903041846547,0.5973795819779935,1.0,0.4018569270610086,0.2078038334405303,0.7181285726336707,0.9140023167419571
