seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-601.3436316907487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007775075306245906,-0.1450598756964278,-0.06403648924817334,-0.010866557548885181,-0.030206248168241703,0.03121473186035889,0.6623602848809261,0.9548112861124961,0.9827137229320528,0.8069771649892759,0.9047896324908955,1.0,0.7908534623325382,0.7467309622734206,0.649818399007687,0.65432008759286,0.4816645524693429,0.579792100985709
1,-601.3436316907487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0424472068693073,-0.06849961386314318,-0.06521730420378838,-0.012574482043084406,-0.03379645721939291,0.008944655938095479,0.7256542540529701,1.0,0.9984175318937061,0.9842786304734822,0.9029471991961976,0.8730504925472727,0.9352096817768956,0.9246315165683975,0.7387046425072795,0.7891774929548648,0.6646099681501744,0.7908892481640565
2,-601.3436316907487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007510870115916183,-0.0403244394764183,-0.03486109606985946,0.015311046685580885,-0.03965987015430248,0.016318048445051872,0.8488588523917812,0.8516399860151809,0.7572790289291782,0.6703449037880441,0.576296732921923,0.6856986901639902,1.0,0.9159938278243647,0.7355701568966563,0.6726856860379017,0.8373442731982724,0.9827399048829989
3,-601.3436316907487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05764167629011467,0.004954962332332778,0.015780494383256627,0.0024379583721551223,-0.03806370241261583,0.006805832651379427,1.0,0.8819418536581471,0.7036777306843048,0.707543653849401,0.624848728380135,0.6050349926832692,0.7240087383185114,0.6400089079392086,0.5391997781384171,0.6264377959220694,0.8517321303023326,0.9548445905822164
4,-601.3436316907487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08348476331348723,-0.000896068386008749,0.026910342430977063,-0.003670391459213353,-0.023043641369450134,-0.0009375876206680483,0.8761512543866616,0.8202145141760324,0.7355912690456659,0.7440492599926771,0.5319276536642876,0.588237139301296,0.7265552980508669,0.6298465604447865,0.6036562825765197,0.7110935747603662,0.9177426981335349,1.0
5,-601.3436316907487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07600253052945466,0.013386589009297019,0.012137188763091139,0.01774931097891547,-0.022673290139182053,0.006619727918944732,0.6923272226277951,0.702463885206029,0.6740876680504635,0.6923613591235984,0.5912353136029969,0.6462594361037394,0.7470315742845616,0.6487332078821079,0.570128727896653,0.6061638678032585,0.682637271494905,1.0
6,-601.3436316907487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03725802435674013,0.006453665483805438,0.017357839197359864,0.0516758191700463,-0.024948230566139876,0.010180889619575653,0.8806531959447635,1.0,0.9458021437593718,0.9512115547173755,0.8717545224028564,0.785887131071853,0.8523773723380373,0.7645943496928851,0.5584600244781712,0.6544926867654459,0.8383245321666108,0.9985563577614504
7,-601.3436316907487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010575682128143698,0.017603242002274217,-0.07293346232283562,0.09787556754352303,-0.027833059467531923,0.02774120869257621,0.9758272485655349,0.981007547050823,0.8381207567461677,0.8007052455037712,1.0,0.7311786441406217,0.5330777465125534,0.5472390206804041,0.5194759115395001,0.6039399870895044,0.8512467947839002,0.8180285821636321
8,-601.3436316907487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002910377626129135,0.024706664303485,-0.07159644511701632,0.1585816012050958,-0.021459617506149033,0.05493006561392867,0.9960668474444194,0.9428615945893168,0.8292664762152357,0.8344186273151956,1.0,0.6462177432470865,0.6099337435820861,0.6775124177186961,0.7128673672674732,0.6326070396256223,0.8364633134020293,0.7839211185632692
9,-601.3436316907487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03296109593362155,0.05774564476630856,-0.10440709930351226,0.2017011715985882,0.005398330066285265,0.07565809217380204,1.0,0.9611615171698537,0.8021794186724556,0.7696074747986131,0.675130543509735,0.5856497066703744,0.6984817093978002,0.7248855761893113,0.8425810537425993,0.711404294895709,0.8642450484014496,0.8176020545401745
10,-601.3436316907487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054270227334944146,0.08403846665156738,-0.10249662100814358,0.2163991523456045,0.025513980571286107,0.07692271112373704,0.8713183339738038,0.9451231600018792,1.0,0.9385629049880151,0.6620222972843522,0.622342312546624,0.6933592089633586,0.7054306802695646,0.9008089945071509,0.9450808961560122,0.8823038399026956,0.9167945578458166
11,-601.3436316907487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05721223822602836,0.11227927424093723,-0.13376417525285642,0.22023175042655613,0.02378515026390893,0.07688257190450211,0.9084743392729082,0.9262083994598477,1.0,0.8065089130182339,0.7506943758322784,0.6723158199842625,0.6791480031014256,0.6821745940320268,0.7341464655577233,0.7274105307484702,0.629655715318018,0.7802774394390725
12,-601.3436316907487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054423161788633545,0.1275872684573004,-0.16933853472328522,0.22183977753075054,0.025459821583339756,0.07387886483004444,0.8513767935302552,0.9582715674715973,1.0,0.7994159375645536,0.8272787001548423,0.8482040296209529,0.7958110606313189,0.7914202729596602,0.8422169650584598,0.9739097985380051,0.8667785730710231,0.8739061662244211
