seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-599.2710700160549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04264594221030875,0.07311350026632082,0.014319158400273035,-0.04418283995267855,0.004388547000487952,0.028426153604838494,0.8143278318616125,1.0,0.7305729291441433,0.613387056537833,0.4803980821141489,0.3198014650489609,0.27435757370227776,0.4042328778410853,0.5241215366925579,0.48898633475350206,0.43889772141422007,0.7365093895472297
1,-599.2710700160549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006614704550247065,-0.021613391827298843,0.033955995611997025,-0.000974821334554394,-0.017799547361075984,0.011227797919030523,0.7656322916172144,1.0,0.771209115818222,0.6862432233368639,0.4837835109621274,0.36706961825308515,0.3352916268080253,0.4531253046115837,0.6154991742385607,0.5808058693404425,0.4017304969230516,0.7049141991421526
2,-599.2710700160549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020009919389785795,-0.0037511703252962555,-0.008163682109736226,-0.0073341460209327795,-0.008332136466520389,0.002010946614073167,0.6597588553598757,0.8859290828344037,1.0,0.6037876276694505,0.4283191462094487,0.39482460739035136,0.3963118219748833,0.5603443069493388,0.4191892358595249,0.5276993276936773,0.43820833115702984,0.5663161912100314
3,-599.2710700160549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006330204388868246,-0.036456386192576413,-0.014323812553912213,-0.04824322843528561,0.006707413049461495,0.017419830617764295,0.6960933376423096,1.0,0.9167152100858927,0.6770563709450121,0.4639812714424228,0.4350077450473138,0.4956429878383454,0.5297454650154645,0.46025503692421266,0.5906485570817217,0.588968676245602,0.6426690428313041
4,-599.2710700160549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035728027045266175,-0.029928030844397747,0.013563278420398145,-0.05536668536956736,-0.0026821450734104855,0.021532336427928206,0.704499432306288,1.0,0.8611463233447478,0.7484093399729049,0.4774122111025572,0.40534396796733485,0.549567629545546,0.5369764526285797,0.5087563007360494,0.5831441191889678,0.6264772605615957,0.6176156050187244
5,-599.2710700160549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023395029689001492,-0.000337663578810957,-0.02213357395246615,-0.002790717757947171,-0.02242891523075136,0.0021165865053584462,0.7615446312365326,1.0,0.9202573852979218,0.6460783374450753,0.5716647278158853,0.5510692950220403,0.553709708565962,0.5030139695296613,0.46587914654070123,0.4771363958479252,0.5245322562954838,0.6496645400622186
6,-599.2710700160549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01899705202104356,-0.026094432858326144,-0.04028414063562233,0.07144354871983842,-0.020984119244982922,0.015630605986886578,0.8410649094902235,1.0,0.9200771048453484,0.6328959098636963,0.7429564719962377,0.6556486354584334,0.5095151862011822,0.5022401876167302,0.6985703326655734,0.7236920794553208,0.6577933229428269,0.7798012200789203
7,-599.2710700160549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03985349226142172,-0.011889210124366263,-0.019730574134911694,0.05004329761145853,-0.010363868401166104,0.02820325916545713,1.0,0.945938433370396,0.8492711006780196,0.6159307647594249,0.6085274491784092,0.631247686757564,0.6127745533050771,0.6639956008510826,0.7201876108491684,0.8391577514968056,0.7300747216594711,0.8738017257505053
8,-599.2710700160549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00179046845877486,-0.035869791074249806,0.0008742321049091673,0.04059132759070901,0.012177525655553465,0.026457461609661812,0.9976056278790372,0.9174563671628702,1.0,0.5533736209982392,0.5566627496476689,0.7714869102310223,0.9118828833233051,0.7169590226066554,0.606932726428862,0.7055296804995923,0.7320763988237582,0.8396607451368244
9,-599.2710700160549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006418291525596774,-0.0005914071300481838,-0.031299421795918575,0.03900545880129505,-0.011078249723457735,0.022998913471933356,0.7924957965854676,0.8896988929017382,1.0,0.573026916841297,0.540719018424607,0.8160021240027504,0.7141657382239954,0.4972873266435389,0.4902038175297865,0.4991663551524768,0.5022310917791404,0.7305362796303555
