seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-544.3064599981353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07037842439257898,0.27339649823454626,-0.16256331647189642,0.266323116432184,0.03201451331367927,0.12060344913821544,0.9185162517940404,1.0,0.8063675844002021,0.7289059020323851,0.5456420636171457,0.6378242533568249,0.6700464037612495,0.7106472554648643,0.7612235232045744,0.732874758094569,0.6367458351144815,0.6126555386959877
1,-544.3064599981353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07378942540925293,0.21933621745797613,-0.12033801430401361,0.20908967654833166,0.027445766632762478,0.12428198496452672,0.9012514716792286,1.0,0.8557131231432156,0.7234354816284402,0.5579830172746405,0.6615055974396041,0.6852271567365947,0.6144640593501532,0.6697438488638824,0.7161012959069177,0.7247559372819322,0.6666969120377251
2,-544.3064599981353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0453930145765099,0.15293769430269158,-0.0754630060021097,0.20812299421052233,0.03877132231104665,0.11099141157309042,0.6632691716177496,0.8710814851513194,1.0,0.7428240388795496,0.5901823334355814,0.8399821606191601,0.7285906102472546,0.5882552684671482,0.7978306451532331,0.9387910696476216,0.7119626483499039,0.6918686300221808
3,-544.3064599981353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037358767737291625,0.13159542492865328,-0.10764271611111723,0.17429760448620696,0.0361524396240339,0.07872487555291577,0.7413773650646065,0.886763666835417,0.9095113289517186,0.7379899633427222,0.7793606616692393,0.8748985986023273,0.8743284317765606,0.755633063366093,0.9764797494738474,1.0,0.7888422219413136,0.7220584289366325
4,-544.3064599981353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026382280472499832,0.11325525669153168,-0.11603077045040511,0.15024800731962826,0.033150220502694505,0.0631108766191753,0.694614144181583,0.7408360908303584,0.6620175499275199,0.6966013491638365,0.8389846946670374,0.8315075106159743,0.9724734211197075,0.8542067658833519,1.0,0.7839836205961123,0.7652290102704618,0.6996491764798068
5,-544.3064599981353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02064111240936365,0.10586115814847394,-0.11225746659952748,0.1297807448174222,0.0295270459202244,0.04943581599674161,0.729409770350767,0.6570631222022628,0.540610925075052,0.7546430395397472,0.8131297333104661,0.8661774492334509,1.0,0.8660795983371323,0.8402570010733387,0.7494092901662223,0.7459402378501675,0.7610339597965092
6,-544.3064599981353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014714493267533029,0.0969733270643346,-0.09997935398749785,0.1051365820684591,0.02406497344663053,0.037883137988211774,0.8396586357096265,0.8932858923802593,0.8735321983139394,0.9165219611178715,0.8871719323962648,1.0,0.8759713102957545,0.7191304888391965,0.7397269175842072,0.8981234822936751,0.9339263894383334,0.9177206500960442
7,-544.3064599981353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016012603312415705,0.08401460179788518,-0.07585880015702848,0.09208142255516326,0.019550479382872972,0.03420687508480969,0.798801457525045,0.8396537494815381,0.974713168857722,1.0,0.9098175602685681,0.9088473744892973,0.8682270316353431,0.8873252390102935,0.8674750605820628,0.8335167446061984,0.7561916861423723,0.7405911668555565
8,-544.3064599981353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009521656657099491,0.07193747375318023,-0.056305576637972504,0.06187235974430571,0.014458286173176424,0.031789699916102726,0.7824086869321761,1.0,0.9463360379888507,0.7886789189775697,0.7654932109826605,0.6317656208125135,0.6363538138109469,0.7896349364225417,0.7693634666520895,0.7602251460258133,0.7858648093656843,0.7572723833809643
9,-544.3064599981353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008982265012191556,0.06471241562121717,-0.047267369421741895,0.048885220880407566,0.011369468474076112,0.032781342388702145,0.8575802049291544,0.996936274397213,0.8411444260034563,0.8105231882389223,1.0,0.8423894961202284,0.7140804023241571,0.8612529223301255,0.936504193685531,0.9304580632241994,0.831332983755204,0.8542451101738625
