seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-595.1883047860385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0974116927952955,0.21782125377098202,-0.0032845174211027783,0.02356357923127155,0.032379682234469985,0.130429654706945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-595.1883047860385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06086028509057409,0.14950476217084818,-0.008203039609757184,0.03368202722832328,0.022389576480723553,0.0917026931534042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-595.1883047860385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028741760506314534,0.10401216039561594,-0.02110906506219551,0.04300724545476609,0.01592270529244522,0.05346235649784277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-595.1883047860385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013745964357581426,0.06519230530803986,-0.028426661355279298,0.027248168899361908,0.009533543944246693,0.033051725234516154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-595.1883047860385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007853059861889526,0.04164203010004945,-0.017275148455083794,0.01860120861250039,0.004735873643171863,0.019702535937816325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-595.1883047860385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006609883575449771,0.029372230687770656,-0.009670953066908572,0.015409344043594259,0.004514166370805326,0.014846567557325652,0.5310941451243031,0.6093634532219123,0.6325539087361524,0.6784798281868395,0.8947632953098953,1.0,0.7877277661269735,0.7663449592608882,0.7103515047008909,0.5107866303353047,0.5832587437197274,0.7151998880742897
6,-595.1883047860385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034663102773147382,0.016819477316367914,-0.018183688738721143,0.02280310837609559,0.0050381227940532675,0.00842717251879671,0.674165611253668,1.0,0.8741397865740348,0.8587501540482378,0.9441201317677098,0.9130088612449552,0.5766011436658275,0.6345399435443685,0.612779573891689,0.6684234652630735,0.7420439824130987,0.4338100270922283
7,-595.1883047860385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004312547530685276,0.01163671371039297,-0.03259983668257094,0.018993563626005967,0.007295767304774054,0.007084698823085288,0.6842154659355235,0.9228555321105401,0.8460082390378612,1.0,0.762219994777463,0.7348717965632818,0.5284204774551211,0.597508386039981,0.6993574834777179,0.8338862695790533,0.9120179974532616,0.4952040467006218
8,-595.1883047860385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030919358671619903,0.011863984359628326,-0.011899986383976574,0.013189804045209735,0.009308646299603707,0.0023143257881927566,0.7702506238179745,0.9124294674759623,0.8617137293519171,1.0,0.7155425442282186,0.7754837082635848,0.6777444153913784,0.7576725240296407,0.9091979002757794,0.9998318584298388,0.9246767592959263,0.6023811914322561
9,-595.1883047860385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003197268339803858,0.007180261400341304,0.012765276661378722,-0.018126225139804053,0.007346400391403975,-0.0012268765121903683,0.6991766967274315,0.7713000410747983,0.8811987508712569,0.8392114097842296,0.7298437382838051,0.8377302900035931,0.8082452833714022,1.0,0.8231414998462293,0.6879139868051266,0.7251685023441067,0.6946263705339127
