seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-524.0258707484949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20277808957988439,0.04451882573133191,-0.13623688945366075,0.05805432648181859,-0.06948008751347934,0.06293787750426386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-524.0258707484949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15440873737998828,0.042955825488816546,-0.09478223462539706,0.031118102716647816,-0.036379618894951386,0.04066627491955019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-524.0258707484949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08931735383757808,0.02958796834706168,-0.05537115455724695,0.021765021432283507,-0.011415006454618836,0.02690962813606807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-524.0258707484949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04873155376399798,0.020300073392381275,-0.037523336780329264,0.014170503922234975,0.0007831440806596653,0.01928781976919365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-524.0258707484949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02552057713976455,0.015475601952357202,-0.030958323538256033,0.010791762864122865,0.00601717195776071,0.014908954258252893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-524.0258707484949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013225395534745502,0.012026290641271156,-0.023217647109610884,0.005001186045045928,0.007663060828478932,0.010606329013319891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-524.0258707484949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00730468778386168,0.009325617738206966,-0.015996403476633336,-0.0026937623305158405,0.0075847781386112235,0.006529574569999912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-524.0258707484949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004234430643857595,0.006800127556781618,-0.009840188032886388,-0.011507990372495948,0.007205622720362412,0.00217166171392711,0.9671965852425002,1.0,0.9465920839693743,0.9264814852416647,0.925471344478559,0.8555378395809886,0.7463699138464209,0.699757241107819,0.7115670330137793,0.7942161397479386,0.897275310995289,0.9217778968256962
8,-479.1345796876679,55.216786060054204,34.956392871153525,13.338481059780445,0.3043358426046413,-0.6282278798903725,6.535913989631213,13.870130509013944,15.003124261094847,8.947586031631719,0.08420613017623282,-5.420869794400215,-4.128350823391932,2.50076715783203,9.657745812547788,12.857308999851362,10.699009168242899,4.992802103346934,-1.0850976227051103,-5.017825207638991,-0.0028856850345188373,0.0031188896542230587,-0.0037917773416547285,-0.01889389834829288,0.006614075335817095,-0.0029352435326109524,0.995061539073883,1.0,0.8303720186487022,0.6856183488073235,0.6048400929338132,0.5155876680308549,0.4152519431103509,0.4053644725423694,0.4540105632862541,0.5931817602440238,0.7639833810610175,0.8815347395442864
9,-423.134075376191,114.50557963817616,59.6933413031597,8.962716032953312,-12.158608532992428,-12.161863768870141,-3.686394735395808,8.102779031333974,16.46268190633556,15.794912960479275,4.4724892495834325,-1.8753842254028168,2.5659321686581342,14.920698644142458,15.17080107650324,8.665627628014013,0.07355269698440386,2.611086202166785,2.3908530955422993,-2.467600536386202,-0.0028255099532234194,-0.0032651600373859386,0.003291562324478303,-0.022692438290956237,0.006584168806846219,-0.008770802639385886,0.7592974633374635,0.684478060481429,0.7951229195431921,1.0,0.8055820586003037,0.739019694979645,0.6877667360582103,0.5269328845283845,0.501864693908639,0.5336045096648012,0.7106709725961303,0.6628470422549316
10,-406.45234490304694,120.618758706916,57.70641387995238,3.9204890083466486,-18.372802036798035,-13.156656597085604,-8.593279571864004,5.008548404833567,17.565321064936317,18.126641426135343,8.682039298050167,-0.14522098499931424,7.1815704092540305,24.347939352395844,16.51252731431593,10.834599045571471,-4.3353476203816275,2.165651413921375,3.4455676562995063,-3.586893735282105,-0.010531209819869795,-0.003817739445962115,0.028703600546527985,-0.06721559871443712,-0.0011851059686077692,-0.0031710224548474747,0.310860770791744,0.3415145332865336,0.5456003295008387,0.7793839731175474,0.499244480928891,0.5765416350714989,1.0,0.4883738241911374,0.24536454950393813,0.23015488066940754,0.3124695352509775,0.27015442117910066
11,-413.27948264384,115.18190147454229,59.0290058476353,5.177760622552542,-19.866039163408608,-15.601819111089526,-14.073699637012847,1.2079325971074457,14.375546448325814,15.680872917028083,10.723268112543558,-0.7072582539529292,5.343803324417949,21.92728444790582,11.885008533588636,8.7798658503342,-4.14350375265084,2.6225658026832357,5.595947109813125,-1.1021240991252377,0.0037629922885046387,-0.0350984711934079,0.005910626778576955,-0.07572431133259706,0.014222956990332448,-0.010072885154862952,0.07017666101464241,0.1254451499551534,0.22606031641061258,0.2434181103405907,0.2772347827504651,0.27094346045177004,1.0,0.4625483893116349,0.09411665995585168,0.07155872011941392,0.10630531637673384,0.09413139567076853
