seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06928343476939011,0.02991888757512458,-0.042443639510668374,-0.05631695295620393,0.0009469754211008964,-0.04386284973516348,1.0,0.951573436304294,0.948907601960341,0.8891095336403932,0.9380479189479292,0.9358497867352549,0.9374609661261517,0.9637750382892778,0.9183412604173984,0.9051822101600034,0.8923594180803084,0.9039980968150209
1,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03931151511405983,0.02543017826081747,-0.032431742188501894,-0.12209546819335217,-0.016287345186164287,0.0025906573026052704,0.9779253443065186,0.9622792048325677,1.0,0.9294079955540505,0.9296216609801079,0.939394535753388,0.9785496569964348,0.9287465322994216,0.924933276454175,0.9472622541478781,0.90317524770597,0.9006774474121503
2,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031380823234404304,0.03077621809603625,-0.012759666520280266,-0.11965327523644634,-0.014266761362315574,0.016850447956175563,0.9587558698090268,0.9587017110677467,1.0,0.9335097002259415,0.9380366956828446,0.9305115186532018,0.9835814166894804,0.9232916271724002,0.9148352077643762,0.9735223511898731,0.9026623716921962,0.8799791314881075
3,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03259192733539056,-0.00871617764961199,0.013400836600843347,-0.1420567052991345,-0.014347749353172878,0.008782551063821788,0.9366110356677709,0.9426575902725407,0.9575451558718152,0.9099396120200481,0.9614091842646056,0.9199352431548119,0.9567164187904317,0.9000829701802657,0.9012274074725265,1.0,0.8805717969960406,0.859503109486604
4,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034705413783282846,0.010795846817583683,0.04694205318658137,-0.16479551156870886,-0.004921733374189814,0.029561281998762387,0.9528840005641465,0.9554136873036366,1.0,0.8920642103782787,0.8538906700907979,0.8480437802442824,0.929553243731459,0.8879918522739493,0.9066305764972893,0.96127493589041,0.8943676936389299,0.873394850764687
5,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219413322763054,0.09154494145083535,0.02949932155665186,-0.14605468592691032,-0.015015043506454367,0.021633177734654313,0.9476599087042473,0.9489729108469781,1.0,0.89274856265094,0.8449907535177487,0.8450069153401656,0.9243081998389342,0.8892534487431777,0.9075485545576814,0.9435600140282318,0.8973763640238728,0.8787607839216346
6,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036285519806919915,0.020792411683211203,0.03039021561707206,-0.20631352989286653,-0.0252156519662982,0.043967001732575006,0.9464208930916829,0.9449608558502945,1.0,0.9092497364938955,0.8763326791653291,0.8757285766160811,0.9467908281246219,0.8947290381974778,0.8986179694581439,0.9308702559790972,0.8870670582299816,0.8729219317465186
7,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050169479770880675,0.03967557827171757,0.05089999063905001,-0.13919156669321384,-0.03273714847159524,0.06278302884902043,0.9488064576038882,0.9460819726729479,1.0,0.9208317372427562,0.8972689633567363,0.9009473101837177,0.9667779949857642,0.907176751462481,0.8997468122151431,0.9262025757222421,0.8852883577571548,0.8722828352363492
8,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017254976899296802,0.056171291709489875,-0.04513534046805509,-0.14057138273187078,-0.030885841354926336,0.017324484427533295,0.9484128674714903,0.9474745820316715,1.0,0.917478011983672,0.8922998163899013,0.8966156509399155,0.9631283007002045,0.9044119411656604,0.8970170529218353,0.9223210678576057,0.8811386484026463,0.8704984006158758
9,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00446718213608058,0.011040440168854864,-0.02611852703047865,-0.13618973462319836,-0.06433289206929203,-0.0011876296614575649,0.9514283351272736,0.950234786290231,1.0,0.9102925306960735,0.8755181933488897,0.8713045642718548,0.9336476858329754,0.8741744874429532,0.8727266133918565,0.9053566634524065,0.8709798027740074,0.8699991080551368
10,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449930896263729,0.03703787111622866,0.007056717409524224,-0.004924912090978773,-0.06669046518550607,0.02078671715103703,0.9602686846784388,0.95264775306902,1.0,0.9088123724508177,0.8665955471872173,0.8541086243231855,0.9109831785348622,0.8537914903881569,0.861555198082493,0.9045214652912095,0.8784362032965631,0.881996558940833
11,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036072785471405425,0.06578768479421132,-0.030969586703141233,-0.004037119683429046,-0.05458670744287832,0.033709296971892524,0.9501298349570915,0.9511952125846116,1.0,0.8979205771924446,0.8491354475800277,0.8481640451873453,0.920979627786056,0.8878341171628862,0.9054120064955373,0.9415854966607013,0.9006281071935738,0.8838280971510128
12,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005765527536845635,0.10704419458464534,-0.02044970959013065,-0.05603611445294058,-0.04764646743933457,0.027589357501329074,0.9449342012406191,0.9513731023021916,1.0,0.8788527634704268,0.8121187604542813,0.8124465234597288,0.8954535558956236,0.8798478610188667,0.9117923323446124,0.9514677782429869,0.905703870359325,0.8819991704692058
13,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04940619558086616,0.04178642789506922,0.0346712134925249,0.0011128389959131487,-0.05845831525025643,0.021269719525899792,0.9453644842983951,0.9497943608627488,1.0,0.8990278633623701,0.854431017700265,0.8555844732946455,0.9280075757528794,0.8849806791939145,0.893005079665692,0.9239551556496073,0.8818161784985725,0.869968981939586
14,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04209623767714033,-0.033963467620767636,0.011320557968996323,-0.009469171604495398,-0.06257152578741917,0.02779705060179144,0.9463346943928482,0.9465730921432238,1.0,0.9148144079783733,0.8853014522286756,0.8861788408898735,0.9527391786481822,0.8942024562620435,0.8891847064766695,0.9174219709196246,0.8773337371418194,0.8670509171304406
15,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04100913560212877,0.011579912248255676,-0.05820065665066959,-0.13988972450658474,-0.052241057727963586,-0.031505100947197454,0.9457050068425522,0.9548303718873165,1.0,0.893299715822828,0.8412550982753013,0.841867970034965,0.9157157986434109,0.8857841481480432,0.9013330194443315,0.9331146002979342,0.891482323116502,0.8756148842278444
16,-676.5925221437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02145652083452871,0.05532724472651936,-0.0042811604498518285,-0.20251879615649754,-0.056265098337559945,-0.07678860329126497,0.9432583517562595,0.9534990768295295,1.0,0.8848311648667052,0.8247502093879957,0.8247787046417476,0.9029302952876858,0.8786928767727912,0.9008160606050429,0.9353185881113647,0.8917681751337273,0.8740975468811193
