seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-552.920396825265,4.070078056427621,4.061076879383302,4.046109396781922,4.025227145459398,3.9985019143744918,3.9660253846359192,3.927908670429733,3.8842817636249443,3.835292885414675,3.7811077489073477,3.721908737113361,3.657894001274481,3.5892764849517738,3.5162828797210235,3.4391525187185112,3.358136214633321,3.2734950490514625,3.1854991203215315,3.0944262573278265,0.025914823798122665,0.005354777302699689,0.04566906687130887,-0.014563525288459356,-0.009220930961665385,0.01777814588728442,0.9874250411882073,1.0,0.9142827437397604,0.8743647475786832,0.774061622777747,0.7348789064600215,0.7004799992117685,0.7320751983909491,0.7984405590099373,0.9182668474707858,0.9221080736559231,0.8755724348017361
1,-552.5902112596578,4.537117742232716,4.528374122160667,4.513826643711547,4.493513053634777,4.467486026178468,4.435812992617324,4.39857592311271,4.355871061678412,4.307808615191712,4.254512397552171,4.1961194302487845,4.132779500750462,4.064654680283224,3.991918802700611,3.9147569062905,3.8333646404913893,3.7479476396138924,3.6587208657782355,3.5659079233852,0.022992803795873287,0.0074171839771077835,0.054011682595750565,-0.002490209595706109,-0.011022554924982721,0.010794748919898067,0.9446673600198777,1.0,0.9960397884694301,0.986712388032922,0.965954403966198,0.9226143725589808,0.8157147623370294,0.8077057210281489,0.8065613734758187,0.8229902569345724,0.8341390412609976,0.8576662643433746
2,-553.8344574113306,2.778584470307187,2.7731293430858135,2.7640592099929897,2.751406562219917,2.735216633852442,2.715547150299532,2.6924680077000906,2.6660608854225396,2.636418794210904,2.603645562952543,2.5678552674435977,2.529171604904707,2.487727218350523,2.443662975238289,2.397127205111639,2.3482749012137316,2.2972668912670096,2.244268982803428,2.189451088578984,0.015390299850999531,0.014503643656223525,0.064578493619378,-0.021787148424394737,-0.005610205532001892,0.019773558592757604,1.0,0.9529756178893076,0.8720436171774079,0.8341038602415841,0.8444889131064431,0.8878241841244079,0.9234295523940462,0.8889032086257984,0.8836757889057094,0.9463258985988641,0.9607537330301867,0.9672146227045014
3,-553.0861923793767,3.827581114702751,3.7947665129648573,3.740989776181096,3.667593212487251,3.5763988230987094,3.469653261790514,3.349960116824068,3.220201664791051,3.083452577113948,2.942888310956495,2.8016910790090783,2.662956361866092,2.5296029003979497,2.404288984653455,2.289337644504171,2.186673052500243,2.097770080996002,2.023618525657542,1.9647030301004413,0.008955293175474796,0.011910745825696172,0.085813968726902,-0.043763484136011624,-0.004110329329998318,0.01790891461444328,0.8842856744559295,0.6569556594143103,0.5363798182067828,0.5099870358228864,0.5197971908745929,0.5530023648894528,0.6272154250882517,0.5795655583527217,0.6537282795296067,0.7735814267800335,0.99955467459771,1.0
4,-552.5502078062425,4.581883195490864,4.53806962591133,4.46624121263369,4.368151309174991,4.2461799561592555,4.103262094725603,3.9427992613041125,3.7685575777851925,3.5845552839691623,3.394943386557252,3.2038832102905728,3.0154247254227373,2.8333894888161373,2.661261874979772,2.5020919937798327,2.358413302688244,2.232177436190381,2.124708209385338,2.036676125519241,0.012623992010036863,0.010299904132354364,0.11192906925975733,-0.05991400761394914,-0.0073335856865961516,0.008263372898556498,0.8584605429786745,0.6415507617894638,0.5219050398927383,0.4854178602666746,0.48364083653963974,0.514799023981934,0.545256568073574,0.5378117615901282,0.6192482044064793,0.7355070808908846,1.0,0.998792449251348
5,-552.6087997225292,4.502066085037089,4.467299893602757,4.410267072302677,4.332304328719042,4.23522497191728,4.121263122390379,3.993005169765432,3.8533107220969436,3.70522563197326,3.551889940053413,3.396443737576544,3.241934010551164,3.0912254877783782,2.946918374035117,2.811275613433891,2.686162004167368,2.572997085441464,2.4727232538551043,2.385790055354361,0.01457132782505518,-0.0005210420311186723,0.12845353168572965,-0.06874807880052991,-0.014416051597408728,-0.0034825891759407493,0.8771278219494915,0.6539400517059943,0.5319483301186828,0.5081741196374583,0.5174669143766844,0.5736520479631374,0.6173732005405812,0.5862539360393402,0.6374198605797972,0.7179408812175191,0.9989305265585102,1.0
6,-552.2325677368264,5.031752896272195,4.989906496083568,4.921325963358422,4.827718899396226,4.71140199157864,4.575229924113785,4.422507965292716,4.256891041395487,4.082272538536253,3.902666398982343,3.722086287271502,3.5444256870792894,3.3733427495970965,3.212153549661206,3.0637371225973724,2.930455262188162,2.8140895713879983,2.715797688606162,2.636089982362205,0.038293393038817555,-4.293460122741339e-05,0.140453131175709,-0.08391114999059641,-0.0192253532699055,-0.0054124954339416845,0.8698875020872117,0.6761413615294883,0.5935426929083786,0.590821724132438,0.6168457827038817,0.6863992787950253,0.7339239295575208,0.6755053451815677,0.7002276362368772,0.7650976828180143,1.0,0.9767899136584737
7,-551.5984256720315,5.925375783023313,5.874036427525075,5.789883071336208,5.674988615804896,5.5321657210755095,5.364880864672191,5.1771486614651305,4.973409838938103,4.7583967824532145,4.536990958106661,4.3140767730532055,4.094396536743648,3.8824111381646222,3.682170855686961,3.4972003742471154,3.3304016107426566,3.1839773584803766,3.059378074835477,2.9572733756742355,0.053616705103377654,0.016275707694565367,0.15170165842913655,-0.0763416139644237,-0.027805344081594886,-0.0017930139315933055,0.9554980523175911,0.8187487942505691,0.7638885617772989,0.7643266899839228,0.7775500176771104,0.815772750529518,0.8373531723021205,0.7969996298586124,0.8083366108123621,0.8448491359774805,1.0,0.9894978499931102
8,-551.8905970659813,5.513286327464286,5.465214007469056,5.386364452525363,5.278604038290711,5.14446682431641,4.987078717978384,4.810064188856454,4.6174385065227685,4.413488931533291,4.202648634570176,3.989367341020384,3.7779827906991867,3.5725970621089935,3.3769616390973733,3.194374800880803,3.0275945040783125,2.8787694113718922,2.7493901227160045,2.6402620014453273,0.039891029395702354,0.026549913809790673,0.16813943574768878,-0.09803776969316808,-0.02272602384642953,-0.009784797331728858,0.9382404311732772,0.8211704893488637,0.7531479033502365,0.735741397787272,0.7376875350031236,0.7596463789254544,0.7963622449259629,0.7742897278794094,0.8021092856137473,0.8471557728920772,1.0,0.9881522423375974
9,-552.0639722391329,5.2694027970021935,5.225224142834315,5.152783608108882,5.053829012951022,4.930732533637488,4.786418816152083,4.624276566881152,4.448056450911762,4.261758563017731,4.069513064548421,3.8754577904588805,3.683616717875867,3.4977831481985713,3.32141129025852,3.1575196480921788,3.0086092229121757,2.8765990479991563,2.7627810037416864,2.6677952268128804,0.02218117575851174,0.028497484557883226,0.1790370076253498,-0.11798400391220008,-0.017318557305693528,-0.015216612364167457,0.8881074036608353,0.7391358251016994,0.6673038732976083,0.6613260666150326,0.6677784766407161,0.6918575158890354,0.7359831856159222,0.7052870297281766,0.73387955042222,0.7976689349604479,1.0,0.9800720796444952
10,-552.2983723253506,4.939222822363234,4.898957444816602,4.832965815449915,4.7428879512001805,4.630949098679147,4.499891691080263,4.352891669596315,4.193461851398826,4.0253454381788725,3.85240307034325,3.678497032142271,3.507376295862025,3.3425660561908552,3.18726525034676,3.0442552908005354,2.91582286442591,2.8036991870435215,2.7090175609837868,2.632290483348809,-0.0031833140089496267,0.01541866625268883,0.1846379098590821,-0.14922332653473352,-0.013859172689826652,-0.03908198879286233,0.834373313212236,0.6876818338762742,0.6291460611215629,0.6409732373571453,0.6741766834828298,0.7266728044891996,0.7327594703910446,0.6832362594736046,0.6986375344827218,0.7599335386163544,1.0,0.9665758714383513
11,-552.2266884356446,5.039713786050626,4.996834370821704,4.926624766644521,4.830928130832637,4.712244293192425,4.573652290296921,4.41871511571167,4.251369751054887,4.0758060131706415,3.896338107660224,3.717273007047652,3.5427798656274363,3.376764639646778,3.222753902514519,3.083791536258663,2.9623515527783253,2.8602697657598344,2.7786964140887465,2.718071150671504,-0.016804912922127147,0.007689750575584256,0.18058948764260827,-0.16028398051781084,-0.01251521838185393,-0.04820150109378035,0.9343719983806528,0.8095226659578008,0.7533177565817247,0.7480414160511798,0.7582750417335626,0.7888850116369939,0.7909296472086892,0.748699807446234,0.7625716778112167,0.8079091406827744,1.0,0.9953128723828144
12,-551.582467333935,5.947569316497361,5.895123242109717,5.809185228661455,5.691915530949879,5.546244281856989,5.375780943997148,5.184703005144456,4.977627520466282,4.75946965594229,4.535292802176716,4.310155092571321,4.0889572659445745,3.8762967578326997,3.6763326889217742,3.492666050651981,3.328238879357987,3.1852555783390764,3.0651288130207517,2.9684515922597896,-0.009826938995026714,-0.003532778422151174,0.18068353160205744,-0.16721091835671442,-0.012095757169712963,-0.04463301759858676,0.9671106089534368,0.855931603621187,0.8164889357110061,0.8239730331110379,0.8428742817003124,0.8791971353029912,0.9029767036169032,0.8730975047132417,0.8646947351385513,0.8776760945042437,1.0,0.9829938518729668
13,-551.6421887794833,5.86307654138328,5.810520475413996,5.7243719286344525,5.606751911752434,5.460538701664117,5.289280222452048,5.0970862904678444,4.888504175597744,4.668381460939562,4.441720583396075,4.213529695164107,3.9886745925236866,3.7717364104240367,3.566879580913879,3.377734207268877,3.2072965253022887,3.0578505247723546,2.930913106843298,2.827204381239535,-0.012730886646948814,-0.0038787383655600354,0.1809104151276922,-0.1981134088222367,-0.010980590634297642,-0.045058130896497475,0.9431121721249256,0.795537512038341,0.743269333089621,0.7436665170880478,0.7491335582469401,0.7762500831440693,0.8121413732104888,0.7888982631495391,0.8154687650321278,0.857760456163123,1.0,0.9864042857055765
14,-552.0150541449576,5.340865943567865,5.30344343775973,5.241961471607704,5.157725649295113,5.052509315559894,4.928501172756441,4.78824087853961,4.634544699511486,4.470423612912957,4.298996486139891,4.123401114723375,3.9467059585381596,3.771825381550826,3.6014410736655775,3.437932118517682,3.2833158756749246,3.139201479587075,3.006757333069018,2.886693504342375,-0.025742463367226697,-0.01879085543739075,0.14620587112398692,-0.2081023653753006,-0.01104119250387792,-0.0606709682756294,0.9423175579763781,0.7894697171871227,0.686034942262861,0.6493024157782915,0.636462516520779,0.6754736882928596,0.6915993808502232,0.652017125143389,0.6763127134527471,0.7357913638376392,0.9597818123355755,1.0
15,-552.0454982039488,5.301058461396704,5.273291135944953,5.227618488628292,5.164931189588762,5.08643945253371,4.99363773722815,4.888261352429362,4.7722363573360225,4.647624372958851,4.516564074881827,4.381211240420476,4.2436792628952205,4.105982022381743,3.9699809167363513,3.837337711852295,3.709474670884106,3.5875431752888005,3.4724017642645473,3.36460420310757,-0.03651566971675605,-0.02971275824806086,0.13018904689232985,-0.21502525637059314,-0.006743513840238742,-0.06481592787019738,0.9468971561212505,0.881525452480315,0.844847972157762,0.8499215037199717,0.8666649238733232,0.910032571576593,0.9283958068246506,0.8863499970550462,0.9045916859782113,0.917449305369372,1.0,0.9666990630909208
16,-551.9400120954322,5.451249166256085,5.426492315980049,5.385764416387616,5.329849041611187,5.259810356355986,5.176961576409324,5.0828262253380805,4.979093458875521,4.867568921135545,4.750122740278854,4.628636360794887,4.504949942181842,4.380812028447831,4.257833110421329,4.137444566172544,4.020864278564777,3.909069999401088,3.802781264591144,3.7024503732134666,-0.030025652609340196,-0.02788913922643328,0.13706871406616616,-0.21062001738314295,-0.007174970748521471,-0.06664464550482208,0.9216569272286183,0.9169997163389741,0.9231727581175477,0.9430222024796723,0.9552343262976873,0.9711233874477078,1.0,0.9707583565290234,0.9482229157984713,0.9223627045523842,0.9313572990355481,0.8900465783569232
17,-551.9766900525954,5.399598543933734,5.375482329362781,5.335759999967676,5.281124712191911,5.2125195736992485,5.131111390681825,5.0382583870424735,4.935472931847886,4.824380468959432,4.70667596045724,4.584079229489554,4.458290616084259,4.33094834038404,4.203588902424493,4.077611738232825,3.954249202432422,3.834542762792446,3.7193260785415667,3.609215399013342,-0.032395184201112835,-0.026195705516385094,0.1346293892442689,-0.19828197069599118,-0.0013948424288621596,-0.06780033121325842,0.9348198449203832,0.9364196361644516,0.9435532774231136,0.9645196410528493,0.9738924824113452,0.9848745607970745,1.0,0.9664863743551696,0.941081348947727,0.9138316108942299,0.9160884400504822,0.8877965668348548
18,-551.7862969042774,5.665932032899686,5.633134785948715,5.579235281039182,5.505353612930813,5.413011176556854,5.304085752296937,5.180756294733541,5.0454392105081265,4.900718183008981,4.749269805521216,4.593787413438908,4.436905555972105,4.281127516913518,4.128758183591739,3.981844376915767,3.842124499722404,3.710989044100752,3.5894531316382867,3.4781418559243056,-0.03762295059276316,-0.013059276592833076,0.11541071685935433,-0.1902730501041539,-0.0009293497240912801,-0.06272709458062745,0.9738514571395495,0.9531508643011202,0.9479309131716143,0.9614699141453749,0.9723797027229557,0.9882339390600035,1.0,0.9715865078050525,0.9598299111425954,0.9454303958868568,0.9690385770237614,0.9389945920767767
