seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-497.2091852571752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16045950751721005,0.0745448033589416,0.0029494211649964547,0.0022321625800851863,-0.08018682611598438,0.027953280037329813,0.9704267950774569,0.6813221543553609,0.6294899130448293,0.6605222028887437,0.5623359417384908,0.461374771365023,0.322848626756672,0.47430493062532175,0.6825721874825659,0.5995441900647005,0.6778577627178219,1.0
1,-457.98550744049413,46.878149556984795,30.50704772145913,20.779583616226972,18.313203635967533,15.138367057189289,11.209068863158187,12.70598269471979,17.47387090171173,15.676422043243779,5.645685600383398,-2.4019773102180113,-1.3640832822995386,3.4473975289801553,4.142968275221603,1.6310585984356838,1.559760045285325,4.189329633948558,4.628692980325569,1.004903226997206,-0.1263869948454807,0.04897080208281934,-0.0011502628275802673,0.058993591723417046,-0.04248278204760183,0.032059833119992956,0.935160861507864,1.0,0.9408607501432684,0.9112610071755018,0.8322446863379649,0.7710411255146516,0.6609783285603721,0.6518910748050551,0.6893930927348446,0.782654573967506,0.8190758227570568,0.8515807701606166
2,-380.62772491332674,103.75199921935621,26.965998312627278,20.29304600112969,19.048515722996513,4.646722710870355,1.5862942108311895,5.008799273109896,15.033462752828687,18.619650559208008,2.512752621742443,-9.959214705885472,-4.555542476048706,3.5168337264496543,4.969529942784005,2.825850695786162,3.9405293265460264,10.36112634277482,12.52468203589823,7.550168858847867,-0.06329403678238053,0.025567536575685824,-0.014047698338063755,0.06379583171042263,-0.010044212542808335,0.02504842077668989,0.7620701623268071,0.8512778169063429,0.7531002464395034,0.7930803932318278,0.925898145946753,1.0,0.7877614425135371,0.6438010956998333,0.6799433821200548,0.9480343930720859,0.9860920117136643,0.8134412598473558
3,-341.6165685736788,119.19013917004335,15.214908026394642,21.408904045249635,15.806974049977555,6.745049124570812,6.652995577678332,2.4430311262374316,8.754039827705881,8.597915012895859,0.42754705249103997,-5.434433836380354,-6.731737303247632,-5.238010347268361,-0.8761709041941212,2.214238924634464,2.6427554432109712,11.621280830951143,13.021937216773184,4.982896995816905,-0.024559029386243002,0.023998201948333086,-0.03197582989032163,0.055092657036490786,0.0010633945281306565,0.020071417544591092,0.46191923211002917,0.464893242115926,0.3609885046276054,0.4506418766123985,0.7141549508903289,1.0,0.8033022748079535,0.556505026261262,0.4443180133650962,0.7259761041938575,0.583314546363519,0.3857514505238002
4,-338.8283976333901,117.85485862773201,13.863096773750389,19.551410033716188,15.215961253444501,17.19074231503367,15.574162595452997,8.66962447171084,8.641732461087683,-0.11502004077362848,-3.50534077444704,-8.869313117991684,-9.56279340184405,-5.592479580494484,-2.4591146912175645,3.505441246867358,3.27978445820695,10.196872595836437,9.651579104616438,-1.15440698979581,-0.008803874817780727,0.019983632027115814,-0.045096782411760086,0.05239434163401479,0.002517753454437087,0.01538162619292929,0.4112080633348653,0.47951286079337957,0.3550527341581282,0.40970216729791176,0.6581459652243549,1.0,0.7594994500274707,0.4569522790587628,0.31651127540940704,0.4810490262986534,0.3271964391207061,0.21440753914111263
5,-336.5333179392547,119.76872045750167,13.37247295205681,15.690282889711245,16.290347314236435,23.385069940230203,17.404443524411498,8.496809554629394,7.848079170497247,1.7435798741638135,-3.10314935074982,-14.78522473861127,-11.00401815520258,-3.8732239651979246,-1.9977623553495194,4.285781844967654,1.3086891652232182,8.933843988642925,4.668524913032746,-6.097900343218329,-0.012614188554608876,0.019152771927270357,-0.036898812168976475,0.051260078280455056,-0.0004632612967628686,0.009267700481601424,0.4189074945473095,0.35073273266978333,0.23788971161647526,0.3409719224341114,0.6275005379290853,1.0,0.7585685888217515,0.4249746055119453,0.26852039764809404,0.2906163500626557,0.27827584389904614,0.2441465884573326
6,-326.3777296332533,122.5695413769584,8.005857149691543,16.17703381536429,16.068404199491553,22.11779975071363,20.013954615870055,9.988457946953531,7.847206521063088,0.06304042250026454,-5.058318774200128,-12.520022811756807,-9.136626404820484,-3.053403637719524,-3.3502715426405865,0.4408178653379337,-2.600994008688767,8.066030674811124,10.239389779076681,1.5331790933479703,-0.00947745344127447,0.025855045250138355,-0.037807876082764785,0.036998919950960434,-0.003160630852798769,0.010062565200489017,0.36294556048745985,0.2709487907057043,0.2172150012117114,0.33018667925725026,0.5901216804587259,1.0,0.7482592708210452,0.3900054448682201,0.26600120085885526,0.3308950635030924,0.3029217013696953,0.24079845559528107
7,-296.7307223148232,125.49319474150866,-7.878752017658984,26.752449488919495,20.899822738575565,15.495326398238868,16.58588167043572,10.423755054359479,5.719284943402942,0.031148378399363727,5.661393027803007,-3.1419382831244,-9.096350552459217,-0.09922168281000432,2.539076896525826,1.9078149701835958,-4.748423389983074,1.1931700321910543,5.914474382975618,-1.304876229644805,-0.004482468204237009,0.025361021766204837,-0.04172273500620993,0.017239573266401995,-0.001987438818176795,0.01173721445251247,0.6875096730177285,0.5605142394296712,0.3327382606735903,0.4124826044351476,0.7489450900978565,1.0,0.6043322031234731,0.3678495988103329,0.3217273693890922,0.48130073577020094,0.4906152395773665,0.5117218974130309
8,-276.66914006293786,135.2600596977016,-10.738070055808894,32.13983474462399,20.22404467060161,10.977601297401154,13.954637872863067,7.751659003687319,6.194729663423354,4.099150302868867,11.633066115614753,0.6424190735573229,-3.2314524553556074,7.98899743560093,11.266885695722056,8.444557980262688,0.8389553003541937,5.522692650989513,9.75704257108623,4.403754295387343,-0.010472487938813894,0.04383783452067889,-0.042613982683413,-0.007197210468826318,0.001401128673775367,0.016201923019866664,1.0,0.8649085360208998,0.7024050363438628,0.7586772458868172,0.8817584509565726,0.9378957015393907,0.7437627744767275,0.6566529237349671,0.6499887467203214,0.7494605789992616,0.7708526501109124,0.8553194987855212
9,-278.55542627129245,135.55522125386392,-5.898510956021748,27.71870327783806,11.501346811166737,10.976194590175638,8.890305395775687,-1.2671766693535238,4.581205730450396,4.409116663360614,11.164281841879239,4.6425008683811235,0.0839879289372476,9.39048237315643,14.334766274507194,10.017494405577532,3.599920192026488,10.346295528083623,15.257237042910571,7.779141513524614,-0.01945088366185095,0.052018937081735724,-0.06002549659757363,0.00044318289669016887,-0.001907345405454944,0.0269265673710297,1.0,0.7086129768384518,0.3295033532859466,0.3039294814478333,0.34281340878228017,0.3672209886067286,0.2687136040097761,0.2237573865196814,0.21910557581080284,0.26689492079957916,0.2924352757238112,0.48872036416271447
10,-280.8056173613791,139.2073174248689,-0.1660865677565295,26.506264608164813,15.485241142163265,18.540566964455838,5.729983118606386,-7.881028376314275,-0.5358778894664185,-4.647854173008515,4.013098179100265,4.8624262815374255,2.6576491255538137,10.460304514464022,15.961325965272124,7.770576166293997,-1.3260426676539483,7.125802522740259,5.839755764676362,-3.780448649168532,-0.025986814380853,0.042011233945369326,-0.06666620715029549,0.014035710163605062,0.004434204362151416,0.04299509376656397,1.0,0.5978323978688951,0.11924706238088276,0.10112233686407777,0.12353421306169828,0.15677530010050156,0.10991459282866688,0.09854810054254952,0.09623452211586661,0.10948637297039117,0.09870984459795239,0.2926898010651918
11,-280.2717724172474,150.9915015567746,1.2274368862922145,19.587451871730774,19.41282339984957,14.1941993335154,1.2684697574765216,-11.351139711456634,-1.4984259330415255,-0.8276222579953623,1.0055911505370971,-1.7686708535021722,1.94452222022866,11.694825461354316,11.306013311941527,8.817729553907784,0.9048969036056674,4.1278021272512975,6.330534637936079,-2.1571741190551257,-0.01686113154685499,0.0347273160318785,-0.06537703653635084,0.021606884248416527,0.005945301180123082,0.04573144253140259,1.0,0.5460862931199142,0.07192561926056883,0.05959558614056979,0.09749661218957784,0.15935369988925355,0.13705933153053032,0.13094236859599945,0.10653080543931039,0.11134705242070868,0.0883308243878208,0.2731087201197432
12,-277.43402027655014,156.95129444209272,4.42733220076864,16.849828106859455,16.190441806937656,12.671246288735144,1.2964406573375362,-10.885112399012481,-1.5139614080096957,0.33648441196606194,2.365502446897584,-1.3630825723418658,5.2466159080718,10.255169728458398,-0.2074227288991244,4.847896584553922,8.42801515357208,6.557714387147333,6.292871971237281,4.259647358394634,-0.01174648553527906,0.041902172347822286,-0.05823368210891136,0.03514434491745761,0.00655519574349241,0.04741932179493971,1.0,0.5693105645631906,0.09155073591597392,0.09355779770560906,0.14965511417638613,0.22514283733981066,0.18191279287102166,0.14619046883165437,0.11408457130800431,0.15608082990144304,0.128686935266617,0.24879013080836035
13,-285.44996856664943,151.27548769921088,5.704663691317141,19.897860577920156,15.391202643032916,10.457378400022538,3.979580760950989,-10.860623597178073,-4.4577454235959415,-0.8784183850604278,2.3603736686083963,-1.0872030094526426,3.5602564094838574,9.91076733662154,-0.3232388186748336,3.7699207309835154,10.3428245997188,9.8028597535667,8.48708648427117,5.105800269183807,-0.005707591721892574,0.05032644680507025,-0.0746378560207481,0.06942741069012714,0.004218274072176347,0.03157378516790213,1.0,0.6839274381977547,0.10171993501539997,0.0813667893846841,0.13415008771299253,0.20257709211715205,0.156168964910322,0.134704810556974,0.1124496349440023,0.1728617299027456,0.12645097667598082,0.2216648209207854
14,-289.56341171793684,150.24927883162786,6.881083189217788,21.5230858709879,18.535815844507482,8.640678106033864,4.675709104996606,-5.53358363257275,-1.0420889928240118,-2.7698295619634257,-4.872477342619092,-6.19507157486901,-2.0451273211366714,4.883581292980908,1.305757784129177,4.0401901919791,4.297771761113551,5.588650797359159,5.57005675119116,-1.3441928581787106,-0.016623780686175857,0.037877504321234774,-0.09192435311067303,0.1047829957850992,0.0029906832328195627,0.03358643646213406,1.0,0.6029396176338891,0.09242337535502514,0.0928754487329893,0.16321158814816134,0.2390632643944223,0.18726926053001755,0.13625103306026604,0.12644861539118504,0.19555027937553843,0.14003600813610154,0.21419131947714778
15,-290.0200137811708,151.46510954207892,6.292995170847712,19.639275247492794,18.35799549497081,5.879744527655999,4.474158224274032,-2.811081720167608,-5.0545983053872465,-6.441495004681935,-3.2080389928994517,-6.237787028710606,-3.9072540628752015,2.7747243948383713,3.0387888399405663,5.08601421736417,-0.04826588850596858,1.0254648043058427,1.4543724951267611,-3.5672259073702515,-0.00014886000022215997,0.04147744627429321,-0.11852118809222302,0.1092745337616741,0.001564615979591511,0.029847611880174162,1.0,0.6307504876061909,0.08192554209877749,0.09575278464785321,0.24929504021835022,0.43064798627071826,0.34572181693518694,0.23646558395541062,0.1831850125245328,0.22015815389436982,0.14359606964254207,0.21712343792900324
16,-287.553230114316,151.0627697637927,1.0326091741791181,17.072937565764285,19.740463928977185,5.618709687981551,4.020122814327765,-1.0194839612876998,-1.8665352543445048,-1.0209908792089952,-0.8806452453465661,-9.185287432304566,-3.501369247064095,5.927350058200806,1.3378030400207894,1.1918567635067185,0.34962281537426276,4.205083061197696,3.2334896876176025,-2.2716821670499012,0.019195541923375775,0.07328184201852077,-0.10163428322529629,0.09085498926716144,-0.00696452597775293,0.028710188780448172,1.0,0.6138667128872498,0.16183267226886802,0.1873804019849993,0.4621656418153126,0.8850682670599582,0.614734615307393,0.2262760876587076,0.13462361641083176,0.24443338610301812,0.25231902602496703,0.3653569402788446
17,-294.1358320601903,149.0382424015159,1.2881679945266602,11.560723667962122,17.761295923485452,9.4098404416303,7.302241551293687,-1.0122557387022026,0.8145026605553156,4.314717875604136,1.0366311784847955,-10.192397508838754,-6.838320223421806,2.4849836108888868,-3.408879118168789,-6.525802795832712,-4.473597617407741,3.898890088977521,5.570967620473299,0.4472843914086869,2.5456264633339075e-05,0.07771199717427539,-0.1049236539995785,0.07915240665949687,-0.022744491039482857,0.016367742562348537,0.4358609093450774,0.27262358672189124,0.1325658640662533,0.15726506562118509,0.46437769708937143,1.0,0.7100052708598777,0.18917250385249443,0.1306065677452685,0.3062405684404081,0.17648410645916543,0.17350823045489072
18,-291.3512351422651,148.50603607047316,0.004229942433816969,9.081562509067147,12.91223199502677,8.621509988719557,3.8732587961544054,-2.397086818039821,3.1026260319057224,3.7929503495571404,3.1484565147962305,-10.620740468479951,-11.742328638617114,-1.6719557266517828,-6.111541838606531,-5.7744374350967,-7.892553959318883,-1.7236765640586849,5.412154758704856,-3.6209723929260997,-0.029227456210493344,0.058298668335524995,-0.10971007753179182,0.05314015609206791,-0.03221046091998041,0.016341820799823846,0.6666929536676616,0.38152522959361923,0.13331710153039059,0.12233397662623961,0.35921725240763686,1.0,0.7627247156089075,0.31509542464133855,0.3162142420340145,0.5482528375105858,0.35734028359108505,0.36263019681488323
