seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-489.1437048326899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2433415626650707,-0.058113076621082865,-0.1235163940884139,0.11969344573416436,0.02968871920666169,0.04907900634560023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-489.1437048326899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18624778313200718,-0.03150418416386595,-0.08070622741211222,0.07830149347060113,0.024472024695007352,0.03537687258029726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-489.1437048326899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0878747953966786,-0.0151486376128072,-0.08072212444805302,0.04143988520707979,0.018874951742787624,0.02080789000561134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-489.1437048326899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04976348060674219,0.0053332575807691265,-0.04750531123699256,0.012034812199636183,0.009846478256018358,0.014865216808729199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-489.1437048326899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027377406918287633,0.009874653911802743,-0.02075760699886843,0.0027486866780411707,0.006813571950949698,0.009515550389558598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-489.1437048326899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014190875300371853,0.00475239943958724,-0.013066631781245758,0.015687388864873978,0.002156786482199073,0.0037982945837199272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-489.1437048326899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004729845194282659,-0.0005278274093232951,-0.03039524979142992,0.023730795574088918,0.0016270944473433732,0.001827987472494963,0.5982716955235149,0.5539796246196023,0.7179198450446598,0.8702948503413581,0.5742700919789956,0.6365683063492495,0.8264004613851063,0.9780271269715267,1.0,0.8420278423580176,0.7286027686501116,0.5667588840596182
7,-489.1437048326899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016757293556085996,0.0034853937515561084,-0.03130838473989696,-0.01903140090525769,-0.005065891992050646,0.0038732574596987285,0.9124948985398783,0.5181526896778025,0.3873524319924386,0.5236889261135649,0.5443034889361407,0.6752866023279265,0.8391597340274813,0.7514373440334448,0.41160717647479494,0.44366200401737554,1.0,0.9822609203114568
8,-486.9682396158422,2.809912632192949,2.061260383469241,0.973838431017692,-0.24709902979781592,-1.3765715803701781,-2.2152686579810132,-2.6281833253182523,-2.5683925975735353,-2.081458445380906,-1.2904078794098626,-0.3655727702414431,0.5132782713830846,1.193793979095374,1.578946763852875,1.6406293553330857,1.417224383144273,0.9972141756061683,0.493909623766985,0.017947225667984984,0.017246023999659296,0.007885938385200596,0.0038029481750525423,-0.029772894442685806,0.0049997807955674475,0.01359332995390821,0.9460774964217938,0.9150155073725393,0.9617000535641321,0.9816426796917403,0.9787526349847151,1.0,0.9195526585060204,0.8280803015682355,0.835801384425344,0.8326710652167011,0.820141501449436,0.8033325471879866
9,-330.6849974542388,146.7528029061104,20.170077074936472,-17.122643930689364,6.882174553256492,8.001359023857738,-7.670619080927622,-8.55530560822104,-6.813913344272368,-8.538598247410974,-1.7363708829549815,3.4439690683250332,-3.8132426477791235,-7.43256067324508,-0.43467192996189435,1.4084142431098585,-4.5031971030230284,-5.709123494962874,-1.5019383757232754,0.8790378774832107,0.006130050115524287,0.006806675221642765,0.0036871227892846387,-0.02529575301283517,0.00021422914013240202,0.003632384009212168,0.9215590818024572,0.5759388528364325,0.5599345416142965,0.6130642908087278,0.47989306575414614,0.4900826706770607,0.49526222645843015,0.5197212903790176,0.6850801649853134,0.869318227483074,0.9736510494795001,1.0
