seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03003212916111536,-0.17743507689196134,0.23911984294089095,0.015258476726637922,0.027957635020772975,-0.05260562919631675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05672749646029498,-0.2033775631737658,0.2785782697208979,0.061127353212215144,0.0053856527768220905,-0.02369988311095217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08978858305601149,-0.19906161123854763,0.269689278447024,0.057259276004506754,0.02232633913968511,-0.00806578056566179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07872080357825892,-0.04466307141065394,0.03132521887641439,0.11658149495415632,0.06633206437201769,-0.049489647416889763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10557453454252266,-0.034912483644206536,-0.015264890892375732,0.19941266950888867,0.06021484426769118,-0.04117670791518456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1000745540538469,-0.03936244346114777,-0.0041149731337059015,0.19454637877382572,0.05910904458117507,-0.03471295933451447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08339136170204058,-0.06561539592107184,0.04534402558032123,0.10328709983801171,0.05993464628305083,-0.0492173341088001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032734483941198396,-0.14486009262069396,0.1424859706715788,0.13886841211602002,0.014899143082272033,-0.030632623865361766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019408669265962766,-0.14236868507162714,0.1729982366341183,0.2170931885400511,0.004071417700711968,0.020617082426833633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07051787577967568,-0.12965574564511761,0.30486509389810146,0.11036334015888577,0.015589819832714388,0.053655143547503864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029446786176048227,0.05638199316305382,0.2437189368445297,-0.07162432374703316,0.09298233027362547,0.08123277535169107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08790330087915695,-0.004175937636684721,0.2017573131146442,0.038175619508076054,0.00671366410769015,-7.522888450325893e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12409320908776757,0.001183342739489513,0.18307469205973284,0.2050297184519265,-0.09883827231058967,-0.06100785608961734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10422345446398201,0.010022257275505164,0.1472934010566474,0.021456359378422808,-0.05046805743543428,-0.023873341444206442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02793601800607579,-0.0568979010908131,0.19082650239290627,-0.1420821343631636,-0.005413093772160121,0.026612002877954337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01967127341919486,-0.0691946476501054,0.19521688276775645,-0.12110177143947042,-0.020877446959436767,0.06842641266026284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20667074659902604,0.0317874992830369,0.06473174946195304,0.04640124132375789,-0.0402723560876099,0.014035230804537016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18542692853340598,-0.031857121462216566,0.1025005211751559,0.06555320069869656,-0.0599704412576622,0.00048310802282218457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.065817642124106,-0.08063452954676721,0.13860023565592222,0.03655023426030857,-0.07516223301797131,0.05040376635654093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07319750443447536,0.08336047796282896,0.054974953332720594,-0.0052244769689023945,0.004622311712215017,0.12052619235829162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09640580317971105,0.2266664981127991,-0.17553549312964786,0.1362568216019222,0.01595152475384147,0.11590195905817169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0589157907802152,0.18592276516111997,-0.19211292036243682,0.20435087098870522,0.0041381132578236605,0.08257951821606246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03750614951752975,0.132778126023815,-0.12124241816176703,0.1435751525440412,0.029438662541574914,0.07200845842720063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03829177997539006,0.14732749477274046,-0.11815223091918922,0.11145401504120117,0.048557210168746534,0.0696954196267303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019592735125675522,0.11808679601987616,-0.12822547590110472,0.11635044919412907,0.02548963855093067,0.05315991878339798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035564279304848054,0.10311667466201806,-0.10175824089125075,0.07265777486186023,0.01830706803176213,0.047457511131829944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02729306209195597,0.07599782513334191,-0.07995589459061454,0.056375843040130325,0.014884306398975908,0.03669005726940631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017095163855195314,0.051947937524268455,-0.05510290682320891,0.039232422334580644,0.01151639754983598,0.02713548909498827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014390253806123857,0.038818398243768294,-0.036948459250482714,0.04159882114050257,0.012410466042331869,0.02097923367810313,0.8393433514297088,0.941422842943289,0.8909167249638588,1.0,0.8187188514081624,0.6355009833220603,0.5621756509237557,0.5218342768977379,0.5508080088513344,0.5427334046223341,0.5598244496191828,0.6412238240628603
29,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007297668476427698,0.028896924580062485,-0.023769416127280958,0.03528182342120906,0.010012216918276154,0.013813416046952333,0.7115732984447856,0.7916082627773997,0.7782394013707593,0.8951934416304139,1.0,0.9221589967526358,0.8420571031430476,0.7997667515428538,0.7391684886616594,0.7002842632798205,0.6248213080145383,0.6317728342383497
30,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006828412816055338,0.02516854503329089,-0.018423131912418837,0.03738621740800445,0.0072288715713374925,0.009952501747392331,0.6711364341913018,0.7429314228127415,0.7546407358763209,0.8290711568951874,0.9702251491997662,1.0,0.9472297364823837,0.9561476130458078,0.8112480893375352,0.7322873310511396,0.623789773396368,0.6095020006837442
31,-485.5126214774502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00672604288122001,0.02026163562618286,-0.01877558154513221,0.03861689242153926,0.00504089079099853,0.007121080503921767,0.7940616690781668,0.7957657010303452,0.7619685980837659,0.7480195052555977,0.8002970273102565,0.8449541280407875,0.8662909571578575,1.0,0.8838076818846103,0.8191637144659835,0.7205890670290339,0.73817099064511
32,-485.4270040799317,0.12099923820117475,0.12075320975936242,0.12034353284567162,0.11977076266688694,0.11903567545879885,0.11813926743426005,0.1170827534330521,0.11586756527551804,0.1144953498220952,0.11296796674147208,0.1112874859902753,0.10945618500781971,0.10747654562963477,0.10535125072403356,0.10308318055617782,0.10067540888468077,0.09813119879589013,0.09545399828177616,0.09264743556698342,-0.0054614702293116,0.01641091067610213,-0.02878000986390568,0.03857355698293889,0.00382172469192308,0.006386176954251914,0.9833104341989973,1.0,0.9454860429174642,0.8915911182297096,0.9351789443516835,0.9578031271896879,0.7723407322075646,0.7223488353131824,0.7133976947141873,0.8020289902897572,0.8263905022854616,0.8972884498399798
