seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-540.4189094859283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052332653937861816,0.1907848624059307,-0.04191143345756122,0.1542378605932622,-0.058165182766774515,0.19242019902308932,0.5783658876836113,0.6468888680858537,1.0,0.7298038110555161,0.12610098261539043,0.0924173331135728,0.08476390691683716,0.0780715361964649,0.13635802105633069,0.14916107093512673,0.16031607399650888,0.4423772266036334
1,-540.4189094859283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05023362016090613,0.14485986526336414,-0.035763424174351646,0.07659343360969693,-0.02974214026249226,0.14722977840730628,0.7684083509817848,0.9696323263782044,1.0,0.6062515234040908,0.09492645628824167,0.06721482133937161,0.03802964664206485,0.035486249145244446,0.07438956796699603,0.1447104267163648,0.23147173280679623,0.4522382033566457
2,-540.4189094859283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08491099348333002,0.08090463278552454,-0.03852767086070455,-0.04510704523601485,-0.013178612868981794,0.09288501292145535,0.6621110905642495,0.9024368686549908,1.0,0.5030180767272424,0.07366507356945705,0.04999228652256321,0.029940348114750992,0.039329271749042015,0.06961667862596949,0.12366146122201606,0.1733233201502883,0.3888855630916052
3,-540.4189094859283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05496851744792164,0.1156377821900089,-0.09323551009093461,-0.10242166026071889,-0.02692072834426237,0.028740045076889133,0.6083512619923391,0.8150389923750897,1.0,0.4991502834816047,0.08622916507673928,0.05861322713254065,0.05108654250679154,0.06466226060581104,0.07744429276479783,0.13824721675000454,0.3001185036370348,0.487522195647751
4,-540.4189094859283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014310902250584111,0.09193518497406508,0.00203323232930264,-0.05982109222360292,-0.04411247560087076,0.07399882350043258,0.6490960647344837,0.8455857371614555,1.0,0.41085793260538167,0.07125310518617728,0.047541817573812914,0.04218141081303002,0.04599323816445471,0.0576296052674377,0.11474535339996192,0.3082931181724391,0.4058699184423957
5,-540.4189094859283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156864944259266,0.11294708375403584,0.04493537740095854,0.0630957842529017,-0.09607086775928499,0.09313171852653111,0.6900954224159945,0.8580139145411407,1.0,0.43270403418122616,0.05459491704786562,0.04408718082373281,0.03445343575475447,0.04729625417691604,0.0701656777173148,0.1250646072227158,0.25758578270709026,0.4426260948184166
6,-540.4189094859283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07648623290081003,0.14375515557564916,0.039999262465562596,0.06021027581862773,-0.01622058139994188,0.049688813130737655,0.6143772869783959,0.8406264940144668,1.0,0.3755070856758334,0.05140750608867139,0.038185345727928616,0.03310762290792588,0.03469136460907677,0.06163080149407707,0.11628547799693054,0.26086603952620346,0.5222536928024508
7,-540.4189094859283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12358201402914747,0.17540806920143057,-0.089867988325306,0.04079826409188879,0.020674069388987346,0.020678897334009495,0.4262725913551512,0.6505497799563935,1.0,0.3637645596416022,0.04077431918649606,0.025784024351743998,0.019220253168640587,0.01947863328814819,0.040718334002502445,0.08962575701935846,0.20992618114426503,0.34343683918095097
8,-540.4189094859283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014844956433578986,0.13864736537144978,-0.12160314636888567,-0.05197454385032358,-0.10247199535137647,-0.06493406021981767,0.49338158732908705,0.7644930738356214,1.0,0.4517131723185754,0.05252441020630327,0.03197168538203174,0.023272663350176966,0.017760370157535236,0.04703743361076818,0.10258765089565808,0.21988345674583107,0.3615521412325924
9,-540.4189094859283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0270614182137767,0.25792159470360854,-0.06799699967020127,0.21374890131205346,-0.03418244066886046,0.08228766996018848,0.5090495267440307,0.7924764924723322,1.0,0.4037366945887431,0.05014822576148546,0.026719132142383136,0.02618424052655387,0.0224692284171379,0.04754025371755855,0.08480668560349339,0.18783861905917393,0.38789241784498574
