seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05558105734009506,0.16423252981877107,-0.0710089928782586,0.29435146133652024,-0.01488701166222425,0.16627425529996287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11092493101667378,0.07053885381716023,0.045636592492228456,0.1037786820000889,0.02110855152265603,0.11992347705094779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09745305806661379,0.04748215729029824,-0.019424591038545713,0.10394492327090218,0.0026812108352459313,0.0591401484439361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0955251009047038,0.029185096538768232,0.00021895938270197202,0.0913461825272946,-0.0046791566843263745,0.12895779840603322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014298278116091172,0.006084926822607524,-0.09166847126151567,-0.03232147294928705,-0.03569948918812326,0.06161733439082111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062143589493618374,0.020154732752330363,-0.060660873859725295,0.2453661357452892,-0.010844949292962617,0.058919901514419504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030298880498921706,-0.06193261741544313,-0.21086872521259128,-0.02735668581545116,-0.06346535480228666,0.04511205636065172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016491668021398755,-0.0502515761599436,-0.10355511279628782,0.029816311603345,-0.0785986116088834,0.06567113080659037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0403529560542585,-0.13239210301439663,-0.11493359045138207,0.08571927986298876,-0.08081397485419486,0.016026606827818094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03490116123868455,-0.17364659394762547,-0.07509250906126523,0.11767692700980832,-0.06895759217393772,0.01930307481034466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004925500013101468,-0.03615190027668036,0.04323677083150343,-0.055119066402680654,-0.03561696763494924,-0.06197641853647144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00675257424389703,-0.13381389325428197,0.1570252836184149,-0.05202336247467591,0.0036648440753398303,-0.05735817756178242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025598439012085028,-0.13310789845764345,0.1635002566260049,-8.465664085061732e-05,-0.09393921539658621,-0.03914220341554633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08246848303848282,-0.02492279476690736,0.15256481931462842,0.10342922890330707,-0.04604987715944428,-0.04729523809068183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06904248260820259,0.012262813556500989,0.12298853927099279,0.11904283077284068,-0.0011163663644493582,-0.0542509241243367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013380191024858198,0.01647675275662628,0.07237068405128928,0.10735764141370639,-0.007831453217429089,-0.0417056307309769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018851457780676865,0.05056163316417262,-0.013362702157881462,0.08068666517411865,-0.006799841600193521,-0.006292002925573411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021363715930071466,0.07327796513464785,-0.009483253637164527,0.040231094621015984,0.012405824542917356,0.02467325982251119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00032449205230226724,0.09361960730035157,0.009009242766690892,0.09162014434634613,0.022704974475950886,0.022726376847069983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01017365537624123,0.10105517605912843,-0.007811762222839469,0.12365884565723173,0.01425945080334346,0.03089131450556488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069340821702552,0.1053848351709542,-0.05471467754240211,0.11769778329556989,0.017417119576161374,0.05100241194636587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020182690448795584,0.06938240477739137,-0.07391117470047606,0.12381595182165926,0.011070828860179826,0.060218801208800236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03240906368231355,0.05083830340483638,-0.09403016789768494,0.15772288633040296,0.006227380855814785,0.05818898806088678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0162553146306147,0.08480147195000642,-0.09986167950725144,0.1156959008517421,0.041045391268549974,0.07355324282326586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016996868194623056,0.09340406199598562,-0.09214419876065358,0.0762887363516906,0.05301183131836712,0.05236089345624372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02133092882833413,0.06198782453046751,-0.013627121279082222,0.061847656457123576,0.04956728650717479,0.005747983385475351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04901994830968453,0.024835041537360946,0.007088966254946399,0.07958037191325916,0.012826331692751552,-0.004299169735629618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009095213397773628,0.033209436875865396,-0.009902102692678855,0.14493538763088615,0.00669283477236302,0.006635956185074208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020752530100943936,0.03030892387885606,-0.057738046843820987,0.1291442304353472,-0.002249686605316744,0.008036062026685532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-607.4827027560519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005217411594718315,0.018581152820588313,-0.057651706931534166,0.07266615291511169,-0.000704543263387862,0.020920655610780946,0.7408160924354665,0.6045259652305437,0.5793514585780026,0.6076396459833155,0.752724448381269,0.8510657969333284,0.8874598358485091,0.9635523156742009,1.0,0.9358675428902299,0.8990238601547313,0.8412185805659927
30,-606.2877667674999,1.689421994822021,1.6880044750903977,1.685643739276339,1.6823424804839207,1.6781044640545315,1.6729345225706995,1.6668385494439897,1.6598234910957033,1.651897337740901,1.6430691127882602,1.6333488608700364,1.6227476345183671,1.6112774795058975,1.5989514188705727,1.5857834356461578,1.5717884543218805,1.55698232105618,1.5413817826714824,1.5250044644581313,-0.004194980470990694,0.01298304445854557,-0.041736097955543006,0.0424511838549936,0.0074975638497945,0.011861140489312454,0.870568947146149,1.0,0.9946662587854469,0.7706612813079133,0.6221224124976977,0.6016013820281333,0.7483393283182644,0.7777470093826927,0.6150019803394386,0.5456529194570506,0.5872831054150428,0.6593822575779698
