seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-494.8207191254673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01916429619410243,0.11068829821309155,-0.08204767208278035,0.10614552107250405,-0.061239252530534465,0.007908171427826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-494.8207191254673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014567297185512139,0.08661827211282806,-0.08017958772302256,0.09484236651879623,-0.05159600992887827,0.010154985526444622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-494.8207191254673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039179457574279675,0.06409778376589545,-0.0810086061085922,0.06993652154488418,-0.03265248168088852,0.010457824794521852,0.9961110852309728,0.9933122001884078,1.0,0.996345133430289,0.9981568366001904,0.9847164289059709,0.972282618704323,0.9692217805759133,0.9757832251646082,0.9851307115456023,0.9822323430873483,0.9742236895489184
3,-494.8207191254673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007288584314994616,0.04302175431938355,-0.06154863577738828,0.04639492534809533,-0.0155179578475362,0.00790167013005514,1.0,0.96169079310464,0.9286859497367355,0.8960132772833227,0.8548652721960776,0.7960557724274255,0.7593931730633714,0.7498650704937446,0.7737864976286406,0.8429808403509391,0.9210005817817637,0.9673495641390696
4,-494.8207191254673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031569183076067004,0.012276926265506229,-0.011273573248371638,0.026868532045219544,-0.010863165867940307,0.002449409588376694,1.0,0.9368085117919687,0.8978698959563932,0.9154556762476708,0.8808086782095842,0.7729681903628335,0.728880963752574,0.7437342476322806,0.756302367742819,0.8131269765404596,0.9170437567263066,0.9594383578961755
5,-494.8207191254673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007946037999619851,0.006914775234556833,-0.0048108583165855645,0.05297752890735955,-0.006856572084414536,0.014738729109402701,1.0,0.5103696478732437,0.383331167415841,0.6450233183960338,0.5695336847734601,0.4297529647998287,0.4186555560856654,0.4922716337855051,0.5864000678271041,0.5251051660608054,0.5708867321650366,0.5390569333776014
6,-494.8207191254673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013233582538035549,0.03792167927315276,-0.02722902466208954,0.04633819042814516,-0.005955597971119372,0.024365521469720854,1.0,0.401660426342014,0.2658975964896267,0.4384916140576156,0.3314370824244781,0.31473916822435494,0.3880186501265493,0.3358407952158373,0.3633223386930135,0.4718483048018814,0.42132371555360104,0.3762170987889441
7,-494.8207191254673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05533667888680316,0.004449705518783274,-0.023960140772583544,0.0361561324822323,-0.004400100726418817,0.004226146201629366,1.0,0.6264038303790257,0.4707168314178308,0.747675748934759,0.6427821395736417,0.6295062010877128,0.6206999131553509,0.553931163714412,0.6239245114621447,0.9195833591619749,0.8332801237687424,0.549013732248417
8,-494.8207191254673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008043949616439798,-0.0012647823967358591,-0.04147339094712407,0.044271078773860315,0.0072301575138700065,0.01816750652591441,0.7993660124528604,0.878915320516396,0.4819698956210538,0.6870493849213939,0.6829272886072938,0.5934584502557937,0.5608391814898525,0.6787867670325065,0.6977732919283451,1.0,0.7888521540641356,0.6258750809949776
9,-494.8207191254673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012811787914198642,0.034439699946286234,-0.04485169488476351,0.015218116465929412,0.0032823715704040886,0.01238351302939419,0.8777657030852417,1.0,0.7625885595540715,0.8293931043929939,0.6843965053996767,0.5327346914556526,0.4787902185101882,0.7073320617096608,0.8567811608206097,0.6977807289021479,0.7511901708154738,0.5936298710800355
