seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-564.0450983029536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17508469720826655,0.03698406933734644,-0.08736019200754179,0.33516082730953267,0.13785110666856265,0.106644750838265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-564.0450983029536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12408184949658486,0.049438125266034846,-0.09234211923424752,0.24273869662128925,0.09559752453164375,0.08671754918007606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-564.0450983029536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06945782954480999,0.057533516186085515,-0.08379370379390069,0.13639374499496132,0.053011366603114216,0.05630493138017356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-564.0450983029536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618345081431964,0.051688758956733846,-0.0604320888019434,0.06623706476893579,0.029563614105958494,0.033236830813038035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-564.0450983029536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01547331232385065,0.038871815167336614,-0.03929896622396806,0.021735844363513408,0.016869774230497726,0.017627777851575977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-564.0450983029536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004295196944206535,0.02079335879967321,-0.02666227682166,-0.010920366235915899,0.008217137018367005,0.004768239270303174,1.0,0.8519895711475882,0.38213719194396395,0.32078680271621707,0.26617956847885194,0.22302133322099243,0.25081300697482806,0.4226961698591203,0.6790405894993997,0.6565071513862101,0.5957350786092086,0.7245377882816605
6,-564.0450983029536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002865401030402627,0.004720014189039959,-0.012992491858717953,-0.03522421744781815,0.003312862883081182,-0.0013227921426744544,0.793883304073156,1.0,0.3978264306825399,0.41784004626429033,0.30933586949212016,0.3257720078951122,0.2892107751051698,0.4212587628074907,0.47182952288701896,0.47146446219998855,0.2563889905340242,0.26063529897997534
7,-564.0450983029536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.381763009383866e-05,-0.010824623208728538,-0.004434396920017479,-0.04634099848130915,0.00363604782631262,-0.006072210932559254,0.6220490555770292,1.0,0.358118903340181,0.4884862334053302,0.4031892356922319,0.7125726194968702,0.5342767646739309,0.9585062393665542,0.6809514672328155,0.5417917488035486,0.6331855601231056,0.3374232912198627
8,-564.0450983029536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011747563847598697,-0.020115517722633872,0.0022848803550575905,-0.05314019054160446,0.0043577883873618314,-0.008935139499565842,0.709996290259517,1.0,0.44488200757777097,0.709111878818545,0.41377434723245315,0.7387864001907608,0.5436759885382854,0.932263961534686,0.8067547828180823,0.7195605454546458,0.8274872327230712,0.4675931627622291
9,-564.0450983029536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006754643249530044,-0.021803264633110227,0.008776388351794936,-0.04980247604248574,0.005173630745039514,-0.00727463235559301,0.9523322140008518,1.0,0.5547465873956742,0.9047330085574353,0.43804336917270187,0.8168289907467908,0.510771586277031,0.7138365933778377,0.8628732711548933,0.9370159699420152,0.9918064407835381,0.5649402623621033
