seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-555.2651191095224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07266825461661447,0.23631921782105172,0.11853816377389333,0.057354897640659694,-0.03232961223782298,0.15006910238361298,0.6019611013771852,0.7368813226468235,1.0,0.8898839236783769,0.5897449447652267,0.5791189235835335,0.6779172629052524,0.7261867937918884,0.7158153325021386,0.582306028380789,0.45464790174220754,0.48667155704742343
1,-555.2651191095224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03643417956275704,0.23073364786965841,0.06225801116812306,0.05535284666480764,-0.0066244954247168045,0.08100320589037144,0.7499311936988594,0.7186874684771305,1.0,0.9119330977200422,0.9081976916756673,0.8247109445005397,0.7284983460826163,0.6589653478741427,0.6061769347215019,0.6443575562000251,0.7284079156276356,0.7177238935861355
2,-555.2651191095224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05912319496969649,0.13461592957146631,-0.03587310516013735,0.0575356787837489,0.01379958212418897,0.07451215246889956,0.6678521537786538,0.6894587576840222,0.7796338678844054,0.7842328205483725,0.9819243412904425,1.0,0.939981601380037,0.9809944217491046,0.8709080952177116,0.7215367509236554,0.5293654100846065,0.6005790696121993
3,-555.2651191095224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03056930633474051,0.0960032914406834,-0.026379923217396427,0.07431285391239334,0.024626927281669,0.05736062985186643,0.5739558454195787,0.6334410711959712,0.6226479688106539,0.490208878644988,0.5453417909820686,0.5929554849292196,0.812160855650664,1.0,0.6833959321984773,0.46507097004749354,0.38845090005050076,0.4625642327950232
4,-555.2651191095224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005011993127232762,0.05621563264093599,-0.010909322811541805,0.08073023743082593,0.018654041760510276,0.046157161444592684,0.5612015731127419,0.5325480421314578,0.5612217780787228,0.44335780771944666,0.4350581440184393,0.3760581141561368,0.6996132789628974,1.0,0.739309817837003,0.4450200882767765,0.3647734824083891,0.4610489443481138
5,-554.3539366962073,1.2805208831423873,1.256378471290669,1.2165210960116095,1.1615126214380473,1.092130353344571,1.009353169417728,0.9143465884647621,0.8084450186639249,0.6931314700167108,0.5700150564644182,0.4408066480105417,0.30729306207364065,0.1713102057098404,0.03471559593019978,-0.10063930614976473,-0.23293651027581946,-0.36041822996788847,-0.48141251517373884,-0.5943573862582237,0.0016414165041435344,0.044582881906811825,0.0035778542141405786,0.05026287478211222,0.011814841897499907,0.02497586887232512,0.6328555135619738,0.7223794459232145,0.8474828353637957,0.8447800880588836,1.0,0.9199530468135235,0.8073484296987014,0.9131458056040581,0.6556708604453592,0.43219715465363423,0.43743965462071316,0.5596542356479636
6,-553.0840931692212,3.070592098427868,3.0292492464134284,2.9609757180980862,2.866708141791819,2.747737549815909,2.605689527697834,2.442499250628418,2.260381813355009,2.06179833576131,1.849418394336113,1.6260793884221667,1.3947434985873217,1.1584529318709258,0.9202841744203202,0.6833019857345244,0.450513870172373,0.22482575056828247,0.008999545947394022,-0.19438667913247393,-0.004462740388122534,0.05524091271890874,0.0025723999249921414,0.03659282946872389,0.012394462214914546,0.017401257169307,0.4425701503196596,0.5513089238934658,0.7184820074005354,0.8066553221774664,0.9674172465294959,1.0,0.8774645591008956,0.7823921897111172,0.5005973881234799,0.3890642822525802,0.3591188146902643,0.4084319360285732
7,-551.6155949422368,5.141974012962528,5.084583303014271,4.9899493339167895,4.859576966090151,4.695531542892306,4.5003984931033205,4.277232884093595,4.029499999140565,3.761008200942605,3.475835503804906,3.178251405712893,2.872635625770519,2.5633954502597183,2.254883410710347,1.9513169995538404,1.6567020737341966,1.3747615054814015,1.1088705145460347,0.8619999605406065,-0.02048659531434035,0.0599655220116755,-0.00922822633039503,0.01043104756951584,0.017652819951089346,0.019091191038162328,0.3575138223193938,0.40633300552619783,0.3988044880813137,0.44935652025443684,0.46899292208902615,0.5512381503811595,0.814826948458901,1.0,0.6923403314690838,0.5335031966061969,0.47171508526622874,0.37960541576160667
8,-545.6110025425229,13.581710525883867,13.369616370599665,13.021796207534026,12.546514774299961,11.954877389908997,11.260399534277386,10.478500147158424,9.625948458870475,8.720295578445533,7.779321097100841,6.82052176623787,5.860664221034867,4.915417243178302,3.99907180065671,3.1243497342037063,2.302295136778304,1.542236784333275,0.8518058914736739,0.23699128960684804,-0.018478383649929625,0.07834904163573576,-0.012625988735778887,0.0031305395700137284,0.014738844550643032,0.0178940762057355,0.7959762724033149,0.7152203956848034,0.6538377607648341,0.6324414889064788,0.6779749753494724,0.721077031926919,0.84299260617043,1.0,0.9514593130261021,0.8845850434306325,0.8321937157653576,0.8252389388039639
9,-543.4277490195603,16.631687578154967,16.309410410602,15.786567567707696,15.083648042454254,14.227530829302886,13.249845132769686,12.185083459617378,11.068608016993505,9.934696326782166,8.814765596899921,7.735897819943825,6.719760402746683,5.781982774564121,4.932010874115665,4.173421999803855,3.5046455817566438,2.920004101035153,2.410965218804626,1.9674830216572188,-0.033534669573252525,0.0800756177528307,-0.02418563714438607,0.011797822627090695,0.006547733277075859,0.02228010175311248,0.8730115355566074,0.8180690249633007,0.8633970646746767,0.9206423797682636,0.9465253634681258,0.9534316406832158,1.0,0.9959212490900169,0.8307229089199704,0.7648375727418277,0.7689523087627932,0.8362197854077993
10,-546.0515190265689,12.957694123470185,12.742872041595188,12.39171697771068,11.91425712702081,11.323958710926156,10.637188096680514,9.872568338126694,9.050262142421825,8.191216204115047,7.316402735632464,6.44609285849209,5.599193433595147,4.792674156148683,4.04110567855072,3.3563225858786474,2.747217709670251,2.2196670111098427,1.7765775529337202,1.4180453106278859,-0.032747496416478304,0.0702603139786418,-0.019561533883340226,0.017218112617698747,-0.006464154998052054,0.030175117776319378,0.8179535112837025,0.7413815983573953,0.8437770213236138,0.9238932603163365,0.9965331921362828,1.0,0.9320090458753393,0.8883501912396411,0.7808411764603438,0.8001746103510535,0.8757808193900543,0.8508312604121242
11,-548.7631383004741,9.159804711398888,9.054399679350405,8.881200806988385,8.643849455259804,8.347300091743339,7.997682331590532,7.60213117825765,7.168590817115154,6.705598121223016,6.222052626405788,5.726980102966189,5.229296982717353,4.737582789700065,4.2598673766700195,3.8034392011092466,3.3746801057244724,2.978931127578309,2.620392781360611,2.3020620845443327,-0.027004473879944133,0.05109095868488895,-0.009332153187825432,0.02157730469549041,-0.0022424678182066194,0.035907895484807,0.6624247029526484,0.6353436458104582,0.7539411797930956,0.7835996826235193,0.8367893167980929,0.9052409054451948,0.840976481836999,0.9557104383105749,1.0,0.9401082621667811,0.9224735954950923,0.7609520367085797
12,-550.0426776629914,7.346799058446222,7.232472331832799,7.049134807672518,6.8069551321809145,6.51894854253746,6.1998963506844005,5.865141378395183,5.529371909132387,5.205506258156294,4.903778577469936,4.6311052588692725,4.390782514941968,4.182532391814711,4.002880022013983,3.8458128630197552,3.7036462049939676,3.568000973112871,3.430791520562508,3.285123383386554,-0.012641082128033753,0.04420293375976865,0.005612052329685452,0.009073122925955112,0.007778733535256962,0.05221382544669904,0.8070531441703266,0.7473506106491018,1.0,0.8611876937153485,0.7709008289307702,0.7119857518358558,0.7131405830862865,0.7787139399370214,0.8053712035946274,0.9019719840551534,0.8602719635430002,0.8180569004059419
