seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-461.8554699828449,63.454836914746636,33.55305569124462,19.782178003381816,13.228033554116351,1.116974519124324,-5.126055593355211,1.3542124204071104,7.851370974547845,7.4541931398127925,7.278400898498017,9.800464777937744,8.817862552544188,2.876099239096865,-0.9296052359871476,2.338317336704838,7.705941676484466,8.120477927972349,5.376979855702795,4.614295713553149,-0.030253290542972492,0.016335262895910828,0.07617443516281278,0.08561441430526466,0.029571377605224745,0.04006632992079474,0.6981746740683773,0.7866092377637957,0.7767024239803509,0.8644291399903878,0.8808132770802691,0.9352831481542636,1.0,0.9928629528220376,0.8734326261083106,0.5988033580547266,0.6107506817466339,0.6537241482629449
1,-470.5693449393134,56.619335129762916,33.76736131981839,18.965422935285805,10.178336116625946,0.969448101751706,-3.05470074758051,1.2556304709888821,6.227596328415216,7.9244933103208695,10.024671393592117,11.745496389575187,8.357108168387061,1.8004909268609202,-1.2331721815686352,1.2492116184190438,5.466442984855478,6.979132509892562,4.755187724248733,1.8794272321563001,-0.020162528561889017,0.03256366685089816,0.11148868880106305,0.11539480083230494,0.03321451828833326,0.02513120411224655,0.48097434279806944,0.5848942622110564,0.6248682090902782,0.6766554557660389,0.7512622666638651,0.8050811428238807,0.8526300703386701,1.0,0.8905982731441818,0.4926114519833287,0.4576247072796647,0.5318621095562216
2,-502.24188199375277,22.20867240323286,17.250085513427138,11.202068755191238,6.09696944597262,3.1607651009856523,2.545773980903692,3.579865951698435,5.1701770896835715,6.184325225252412,5.8533585468398375,4.150717596447418,1.8682212769772646,0.16938887041078693,-0.16529616902074057,0.7724342646966531,2.1927668094005006,3.252303102538914,3.578731140482615,3.288670042322254,-0.01820116488291295,0.07562476543434526,0.1307583518136705,0.15090865186719707,0.05747679567813214,0.05507681887789355,0.3299524521964426,0.3468044833671316,0.333046041615485,0.3481102638484132,0.43147374094235513,0.5178711272033363,0.6476657076599036,0.987100555470308,1.0,0.4938741568769932,0.3597387063334845,0.47285399746767004
3,-514.6892929451999,6.383968765956238,5.981708655068145,5.39316044174533,4.711507650702536,4.021714609191096,3.3801421689060693,2.80977487592856,2.3102179687447126,1.8745128381148102,1.5023699458699853,1.2026471439993391,0.9847745922311368,0.8454480415223691,0.7596767608091113,0.6828029609195126,0.563921594629609,0.3647108100443588,0.07453571058063013,-0.28557002911099,-0.009086586135583762,0.09111806892193103,0.14642707424253926,0.1526860130215806,0.05218331837846418,0.05585364489120936,0.6960778952630579,0.770479140423328,0.433363469285921,0.3789466066307635,0.2779279219853578,0.36236755464782333,0.7917032519306386,1.0,0.9172824989292863,0.7816495126626987,0.6292599532400662,0.7591069039287759
4,-503.8829312035654,19.404228418883008,13.443091946707685,6.601314695643383,1.241446747948531,-1.1451772247699032,-0.07289982029190423,3.39183778569668,6.917399942377058,8.567635411808972,7.9127355643713315,5.484550181562113,2.1156267050042743,-0.9229966793761191,-2.29559708189558,-1.781746488324797,-0.4199967893279225,0.7860159825790922,1.5727108726133656,1.8350155804674386,-0.0058486668389595075,0.07065836099178306,0.14928149889014064,0.14451856019603293,0.03128866463552871,0.04915189509501609,0.3279027115831356,0.3272315045158698,0.23534960868389243,0.20536112447207824,0.2896502145648378,0.38391791325154,0.5451906862382316,0.8282142820464518,1.0,0.5362293965903154,0.33598085075511525,0.5737285977470525
5,-492.42173766562706,31.28137538314419,18.83295383602529,10.852113914818897,6.330033973313904,1.9569520769134252,0.2914155339151109,2.5214606010566927,5.062000651082345,5.972875965498419,6.260259130355788,5.36866150856406,1.625729414262934,-3.16133441746726,-4.084318971783761,-0.1723374250438357,2.8094835461412733,1.085583082705262,-1.0094321222014364,0.1505773935004019,-0.013593664772696598,0.04234415644309279,0.1383523883655278,0.13882550544163041,0.021611370800002614,0.04163753651348948,0.5405512088570466,0.5829013029385678,0.370250225481686,0.3204438200915974,0.26459674848942083,0.34135701128769,0.6728513783810571,0.9670918434716685,1.0,0.6737923048645359,0.47563631058574574,0.6931333956909757
6,-482.3098606671185,41.61190845189526,22.580090192936275,12.968543569970931,11.030145806854048,8.09741001721002,4.807743603353041,3.667213167445643,3.0911119367304543,3.77608101391444,7.239081693301525,9.011415281838962,4.342987492508329,-2.5895251367384144,-3.62504156098354,1.832973358705782,6.431487459242193,5.29009384984205,1.326954035532526,-1.1513266954471417,-0.025091746582679344,0.03262944148856118,0.10148953490276627,0.11725886371830685,0.01764246935526423,0.032955927637794806,0.44194200925991145,0.4603214800698254,0.41845115739799565,0.4377147727918239,0.30781012513830935,0.35824439714938094,0.6971161252899593,1.0,0.9758195206729893,0.662511379585623,0.47990963528350583,0.5355937252511255
7,-456.07146568414544,61.921559488345736,22.02139131858473,13.359013741463787,11.962082320096098,1.9809977015003875,3.168871953088047,10.03117023728625,5.721437892204877,4.2016956393089835,12.923190954101674,14.141715470348823,5.9425349417130935,0.5270334799371483,-2.451023313598802,-1.7627168940970985,6.859212600286566,11.397978524663284,4.24638884306221,-0.6728589248982819,-0.010177706215559941,0.026669869799007297,0.08239589630103861,0.10590589864256843,0.020299256763141794,0.011738723100823772,0.4780656331391711,0.4578104449736046,0.43941171561104897,0.5341411233422249,0.7409537386521229,0.7434147422301873,0.773267805663842,0.9477263009903694,1.0,0.6845961700573091,0.5585458493742429,0.729587999185991
8,-424.72008902346784,89.17321338177794,26.270749784820303,14.84370599517489,12.954111092706484,-3.334382724225974,-0.37075501171460434,13.530428299090211,10.923026846679218,8.529544835837097,16.312397073642757,14.782179462437115,6.345270345857365,3.6404309493282834,-0.9980552843926886,-3.679861097570067,6.5162862272341275,12.273283033970976,3.662281054456337,-0.3918933960420503,-0.01370390996884943,0.025749993699402673,0.042949753131477614,0.10330871199101772,0.010589702341247734,-0.0023055689370777357,0.5688844207655863,0.6287773031318721,0.6735764945724487,0.711381406809714,0.7867227000394668,0.841734801073814,0.8115670097813308,0.910236965281481,1.0,0.7622561497129475,0.5734484161649629,0.6263272093960821
9,-421.2213960982195,95.56925728797157,28.324906347906023,9.377469647222728,13.26154043671678,5.3290089546532124,3.487259196358565,13.083568665032068,14.86884298937957,11.240657276214655,11.779588471504182,10.804153834845504,7.333387939284871,4.8253426648115365,0.4222826955396204,-1.143820075041738,5.899929523836441,10.352036680995585,5.091998363601559,1.070644083873132,-0.009071074036732766,0.040080777483843276,0.04405216023554907,0.0665402280193436,0.00628434137801662,-0.004092101062334083,0.6292554519042015,0.5378789003317285,0.5691832643117618,0.5910017871450873,0.6592782144283009,0.7514469917608757,0.7580883772717513,0.8268805733589002,0.9759908342743447,1.0,0.8389131063842397,0.7346736480218874
