seq,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12
0,-549.3223581615072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036800548760802895,0.050427459713559074,-0.179442849348648,0.11301397462411701,0.03325312445395391,0.01322646680311794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-549.3223581615072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07803443241993217,0.06379750499351397,-0.17637935365495258,0.09223447872077552,0.019000237444966074,0.021644663824221866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-549.3223581615072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07886231998073083,0.07437737830470446,-0.1711502760084863,0.03847330428381049,0.014861352904679596,0.043712421894095604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-549.3223581615072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023174399586454585,0.04799905102849412,-0.09594075760209986,0.009781751499507321,0.015393355657031062,0.04956450104654251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-549.3223581615072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060119642472025656,0.02638152119091433,-0.03233471359901258,0.016437605082425755,0.019855092508309486,0.04435943458675661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-549.3223581615072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007486902092097347,0.03507739489513656,-0.006043350291756205,0.03254492227332074,0.02569949303297253,0.02961805446796676,0.9047774185791647,0.8683715698017215,0.8966723530244227,1.0,0.8782503637242071,0.4958563523469637,0.3628379040506241,0.3172478663255382,0.3907518913154412,0.3958872331645915,0.5319662363601688,0.6335610144298484
6,-549.3223581615072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005176845572457771,0.057999537248892966,-0.01608210772687163,0.06704528134956964,0.026383601892814048,0.01687746721746298,0.6855739678599626,0.7740669068009225,0.6672061003063472,0.8735339977553289,0.8817659686451851,0.6786353721030723,0.668737777810538,0.5004072739957032,0.6632548601176523,0.7839105224095438,1.0,0.6204350086897964
7,-549.3223581615072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014100631479643745,0.08735571548143269,-0.026314522460313905,0.07354757046807521,0.0212004993391527,-0.0026078314890711635,0.6884821968910376,0.7029458118446757,0.724638308947811,0.9185687079619681,0.7210143748383372,0.7341883561765938,0.834780146262024,0.7105573691353255,0.8929114595629272,0.9866603424467398,1.0,0.6300733568407683
8,-548.1283812018169,1.683098606415285,1.6668287165748243,1.6398767811650181,1.602487815829015,1.555001251490466,1.4978473914565011,1.4315429243254725,1.3566855426623499,1.2739477273185582,1.184069766497234,1.0878520870916057,0.9861469833574994,0.8798498345346081,0.7698899085309767,0.6572208531678629,0.5428109797005354,0.42763344534738107,0.31265644235496154,0.19883350069363115,-0.02534853747714271,0.045542479987828344,-0.024590863632005272,0.0497161338403099,0.01695128433674914,-0.0032337121887662454,0.8447551589177124,0.9156443270349993,1.0,0.9790848770356705,0.9586227849087257,0.8955088427759722,0.7774652660741045,0.6762473589923677,0.7167307021179593,0.7831937456167589,0.8289423032146872,0.832912269861044
9,-539.6386328027983,13.593627424228648,13.293055782396053,12.802363129765812,12.13653302634144,11.315746813615075,10.36462798548931,9.311325823809216,8.186476262565083,7.022082795023995,5.850363201193783,4.702608829155854,3.6081020852161974,2.593134739827238,1.6801647935293988,0.8871432059958098,0.2270340777764821,-0.2924567503165244,-0.6689388522632405,-0.905183530350169,-0.01659130385596244,0.027228328477518656,-0.008737285912180481,0.027887218230113243,0.0076754327052305105,-0.007040533965010157,0.9869270379774029,1.0,0.9491312122951979,0.8361146880438052,0.7758660085843373,0.7021013286520956,0.6555201538295234,0.6261845205257184,0.6556315289147171,0.7121110245663913,0.8504389326042991,0.9579527281788692
